Row ID;Row Name;Loadscreen Category ID;Knowledge ID;Unk1;Unk2
1;;0;0;0;1
2;;0;0;0;2
3;;0;0;0;3
4;;0;0;0;4
5;;0;0;0;5
6;;0;0;0;6
7;;0;0;0;7
8;;0;0;0;8
9;;0;0;0;9
10;;0;0;0;10
11;;0;0;0;11
12;;0;0;0;12
13;;0;0;0;13
14;;0;0;0;14
15;;0;0;0;15
16;;0;0;0;16
50;;0;0;0;50
52;;0;0;0;52
53;;0;0;0;53
54;;0;0;0;54
55;;0;0;0;55
56;;0;0;0;56
57;;0;0;0;57
58;;0;0;0;58
59;;0;0;0;59
60;;1;0;0;60
61;;0;0;0;61
62;;1;0;0;62
64;;0;0;0;64
65;;0;0;0;65
66;;0;0;0;66
67;;1;0;0;67
68;;0;0;0;68
70;;1;0;0;70
71;;1;0;0;71
72;;1;0;0;72
73;;1;0;0;73
74;;1;0;0;74
75;;1;0;0;75
76;;1;0;0;76
77;;0;0;0;77
100;;0;0;0;100
101;;0;0;0;101
102;;0;0;0;102
103;;0;0;0;103
104;;0;0;0;104
105;;0;0;0;105
106;;0;0;0;106
107;;0;0;0;107
108;;0;0;0;108
109;;0;0;0;109
110;;0;0;0;110
111;;0;0;0;111
112;;0;0;0;112
113;;0;0;0;113
114;;0;0;0;114
115;;0;0;0;115
116;;0;0;0;116
117;;0;0;0;117
118;;0;0;0;118
150;;0;0;0;150
151;;0;0;0;151
152;;0;0;0;152
153;;1;0;0;153
200;;0;0;0;200
