Row ID;Row Name;Value;Caption ID;Icon ID
0;;1;0;0
1;;2;0;0
2;;3;0;0
100;Build - Standard;0;421110;0
101;Build - Slim;1;421111;0
102;Build - Very Slim;2;421112;0
103;Build - Burly;3;421113;0
104;Build - Very Burly;4;421114;0
105;Build - Burly Upper-body;5;421115;0
106;Build - Burly Lower-body;6;421116;0
107;Build - Small Head;7;421117;0
108;Build - Big Head;8;421118;0
120;Musculature - Standard;0;297170;0
121;Musculature - Muscular;1;297171;0
130;Body Hair - Type 1;0;0;180
131;Body Hair - Type 2;1;0;181
132;Body Hair - Type 3;2;0;182
133;Body Hair - Type 4;3;0;183
134;Body Hair - Type 5;4;0;184
135;Body Hair - Type 6;5;0;185
240;Base Template - Warrior;1000;297200;110
241;Base Template - Truth-Seeker;1001;297201;111
242;Base Template - Aristocrat;1002;297202;112
243;Base Template - Loner;1003;297203;113
244;Base Template - Northerner;1004;297204;114
245;Base Template - Seafarer;1005;297205;115
246;Base Template - Reedlander;1006;297206;116
247;Base Template - Draconian;1007;297207;117
248;Base Template - Nightfolk;1008;297208;118
249;Base Template - Numen;1009;297209;119
260;Base Template - Warrior (Female);2000;297220;130
261;Base Template - Truth-Seeker (Female);2001;297221;131
262;Base Template - Aristocrat (Female);2002;297222;132
263;Base Template - Loner (Female);2003;297223;133
264;Base Template - Northerner (Female);2004;297224;134
265;Base Template - Seafarer (Female);2005;297225;135
266;Base Template - Reedlander (Female);2006;297226;136
267;Base Template - Draconian (Female);2007;297227;137
268;Base Template - Nightfolk (Female);2008;297228;138
269;Base Template - Numen (Female);2009;297229;139
300;Right Eye - Normal Eye (Medium);0;0;1
301;Right Eye - Normal Eye (Small);1;0;2
302;Right Eye - Normal Eye (Large);2;0;3
303;Right Eye - All Sclera (Medium);3;0;4
304;Right Eye - All Sclera (Small);4;0;5
305;Right Eye - All Sclera (Large);5;0;6
306;Right Eye - All Pupil (Medium);6;0;7
307;Right Eye - All Pupil (Small);7;0;8
308;Right Eye - All Pupil (Large);8;0;9
400;Left Eye - Normal Eye (Medium);0;0;1
401;Left Eye - Normal Eye (Small);1;0;2
402;Left Eye - Normal Eye (Large);2;0;3
403;Left Eye - All Sclera (Medium);3;0;4
404;Left Eye - All Sclera (Small);4;0;5
405;Left Eye - All Sclera (Large);5;0;6
406;Left Eye - All Pupil (Medium);6;0;7
407;Left Eye - All Pupil (Small);7;0;8
408;Left Eye - All Pupil (Large);8;0;9
500;Eyebrows - Type 1;0;0;10
501;Eyebrows - Type 2;1;0;11
502;Eyebrows - Type 3;2;0;12
