Row ID;Row Name;Disable Param - Network Test;Dialog Message ID;Ignore Usage Restriction - SpEffect ID;Sort ID;Requirement: ARC;AI Interrupt Type;FP Consumption - Default;Stamina Consumption - Default;Icon ID;Behavior ID;Material Item ID;Replace Magic ID;Number of Uses;Reference Category [1];Dexterity over Start Value;Reference Category [2];Slot Usage;Requirement: INT;Requirement: FTH;Casting Speed - DEX Start Range;Casting Speed - DEX End Range;Magic School Type;Reference Category [3];SpEffect Category;Animation Category;Open Menu Type;Reference Category [4];Has SpEffect Type;Replace Category;Use Limit Category;Vow Type [0];Vow Type [1];Vow Type [2];Vow Type [3];Vow Type [4];Vow Type [5];Vow Type [6];Vow Type [7];Allow in Multiplayer;Allow only in Multiplayer;Is Weapon Enchantment;Is Shield Enchantment;Enable Live;Enable Gray;Enable White;Enable Black;Disable Offline;Cast Resonance Magic;Is Toughness Perfomed if Poise is Initial Value;Is Blocked by Warp Forbidden Effect;Usable while Riding;Not Usable while Riding;Usable in No Attack Region;Blank;Vow Type [8];Vow Type [9];Vow Type [10];Vow Type [11];Vow Type [12];Vow Type [13];Vow Type [14];Vow Type [15];SFX ID - Cast;SFX ID - Fire;SFX ID - Effect;Toughness Correction;Replacement Status Type;Replacement Status [1];Replacement Status [2];Replacement Status [3];Replacement Status [4];Reference Category [5];Poise Consumption;Replacement Magic ID [1];Replacement Magic ID [2];Replacement Magic ID [3];Replacement Magic ID [4];FP Consumption - Charged;Stamina Consumption - Charged;Create Limit Group ID;Reference Category [6];Conditional Weapon Effect 1;Conditional Weapon Effect 2;Reference Category [7];Reference Category [8];Reference Category [9];Reference Category [10];Reference ID [1];Reference ID [2];Reference ID [3];AI Usage Judgment ID;Reference ID [4];Reference ID [5];Reference ID [6];Reference ID [7];Reference ID [8];Reference ID [9];Reference ID [10];Consumption Type [1];Consumption Type [2];Consumption Type [3];Consumption Type [4];Consumption Type [5];Consumption Type [6];Consumption Type [7];Consumption Type [8];Consumption Type [9];Consumption Type [10];FP Consumption Loop - For Menu Display
4000;[Sorcery] Glintstone Pebble;False;0;-1;4000;0;0;7;20;4000;0;-1;-1;-1;1;99;1;1;10;0;10;70;0;0;3;1;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523000;523001;510010;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;10400000;10400099;-1;10000100;-1;-1;-1;-1;-1;-1;-1;0;2;0;0;0;0;0;0;0;0;-1
4001;[Sorcery] Great Glintstone Shard;True;0;-1;4000;0;0;12;26;4001;0;-1;-1;-1;1;99;1;1;16;0;10;70;0;0;3;1;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523000;523001;510020;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;10400100;10400199;-1;10000100;-1;-1;-1;-1;-1;-1;-1;0;2;0;0;0;0;0;0;0;0;-1
4010;[Sorcery] Swift Glintstone Shard;True;0;-1;4010;0;0;5;9;4130;0;-1;-1;-1;1;99;0;1;12;0;10;70;0;0;3;79;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;522000;522001;510000;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;10401000;-1;-1;10000100;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;-1
4020;[Sorcery] Glintstone Cometshard;True;0;-1;4020;0;0;19;30;4006;0;-1;-1;-1;1;99;1;1;36;0;10;70;0;0;3;2;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523060;523061;523064;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;19;39;0;0;6;0;0;0;0;0;10402000;10402050;-1;10000200;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;0;0;0;0;0;0;-1
4021;[Sorcery] Comet;True;0;-1;4021;0;0;26;35;4007;0;-1;-1;-1;1;99;1;1;52;0;10;70;0;0;3;2;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523070;523071;523064;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;26;46;0;0;6;0;0;0;0;0;10402100;10402150;-1;10000200;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;0;0;0;0;0;0;-1
4030;[Sorcery] Shard Spiral;True;0;-1;4030;0;0;14;28;4007;0;-1;-1;-1;1;99;1;1;27;0;10;70;0;0;3;2;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523070;523071;523064;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;14;36;0;0;0;0;0;0;0;0;10403000;10403050;-1;10000000;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;0;0;0;0;0;0;-1
4040;[Sorcery] Glintstone Stars;False;0;-1;4090;0;0;14;21;4060;0;-1;-1;-1;1;99;1;1;12;0;10;70;0;1;3;107;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523850;523851;523856;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;14;27;0;0;7;0;0;0;0;0;10404000;10404050;10404099;10000200;-1;-1;-1;-1;-1;-1;-1;0;1;2;0;0;0;0;0;0;0;-1
4050;[Sorcery] Star Shower;True;0;-1;4090;0;0;23;26;4060;0;-1;-1;-1;1;99;1;1;24;0;10;70;0;1;3;107;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523850;523851;523859;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;23;34;0;0;7;0;0;0;0;0;10405000;10405050;10404099;10000200;-1;-1;-1;-1;-1;-1;-1;0;1;2;0;0;0;0;0;0;0;-1
4060;[Sorcery] Crystal Barrage;True;0;-1;4080;0;0;14;26;4059;0;-1;-1;-1;1;99;1;1;23;0;10;70;0;1;3;4;0;1;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;523720;523721;-1;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;2;0;0;0;0;0;0;0;0;0;10406000;10999999;10406099;10000200;10406001;-1;-1;-1;-1;-1;-1;2;0;1;2;0;0;0;0;0;0;2
4070;[Sorcery] Glintstone Arc;False;0;-1;4000;0;0;10;18;4000;0;-1;-1;-1;1;99;1;1;13;0;10;70;0;0;3;16;0;0;0;0;0;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;530150;530151;-1;0;3;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;10407000;10407099;-1;10000100;-1;-1;-1;-1;-1;-1;-1;0;2;0;0;0;0;0;0;0;0;-1
