Row ID;Row Name;Item ID 1;Item ID 2;Item ID 3;Item ID 4;Item ID 5;Item ID 6;Item ID 7;Item ID 8;Item Category 1;Item Category 2;Item Category 3;Item Category 4;Item Category 5;Item Category 6;Item Category 7;Item Category 8;Item Chance 1;Item Chance 2;Item Chance 3;Item Chance 4;Item Chance 5;Item Chance 6;Item Chance 7;Item Chance 8;Cumulative Chance 1;Cumulative Chance 2;Cumulative Chance 3;Cumulative Chance 4;Cumulative Chance 5;Cumulative Chance 6;Cumulative Chance 7;Cumulative Chance 8;Get Item Flag 1;Get Item Flag 2;Get Item Flag 3;Get Item Flag 4;Get Item Flag 5;Get Item Flag 6;Get Item Flag 7;Get Item Flag 8;Get Item Flag ID;Cumulative Number Flag ID;Cumulative Number Max;Rarity;Item Amount 1;Item Amount 2;Item Amount 3;Item Amount 4;Item Amount 5;Item Amount 6;Item Amount 7;Item Amount 8;Enable Luck 1;Enable Luck 2;Enable Luck 3;Enable Luck 4;Enable Luck 5;Enable Luck 6;Enable Luck 7;Enable Luck 8;Cumulative Reset 1;Cumulative Reset 2;Cumulative Reset 3;Cumulative Reset 4;Cumulative Reset 5;Cumulative Reset 6;Cumulative Reset 7;Cumulative Reset 8;Game Clear Offset;Can Friendly Phantom Pickup;Can Hostile Phantom Pickup
0;Head;100000;10000;240;101000;11000;0;0;0;2;3;1;2;3;0;0;0;100;50;100;50;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;2;99;1;2;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;False
1;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
2;Flask of Crimson Tears +5, Flask of Crimson Tears +5, Flask of Crimson Tears +6, Flask of Crimson Tears +6, Flask of Crimson Tears +11, Flask of Crimson Tears, Flask of Crimson Tears;0;1010;1010;1013;1013;1023;1001;1001;0;1;1;1;1;1;1;1;375;20;30;20;30;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;2;1;2;1;1;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
10;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
20;Old Fang;15040;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
30;Miranda's Prayer;3020;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
40;Golden Seed;10010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
50;Pure Smithing Stone;10503;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
60;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
70;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
80;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
90;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
100;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
110;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;False;False
22200000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
30100000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
30200000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
31600000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
31800000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
34300000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
70010000;;386;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53000700;0;0;-1;1;0;0;0;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;True;False
80000000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;True;False
