Row ID;Row Name;Disable Param - Network Test;ReverbType;BGM Behavior Type On Start;One-shot BGM Behavior Type On Start;Post Play SE ID;Post Play SE ID for Skip;Enter Map Mute Stop Time on Draw Cutscene
0;;False;0;0;0;-1;-1;-1
10000010;;False;1;2;0;-1;-1;1
10000020;;True;1;2;0;-1;-1;1
10000030;;True;1;2;0;-1;-1;1
10000040;;True;1;2;0;999999002;999999002;-1
10000050;;True;1;0;0;-1;-1;1
10010000;;True;1;2;0;999999003;999999003;-1
10010001;;True;1;2;0;999999003;999999003;-1
10010010;;True;1;2;0;999999003;999999003;-1
11000040;;True;1;2;0;-1;-1;1
11050010;;True;1;2;0;-1;-1;1
11050020;;True;1;2;0;-1;-1;1
12010000;;True;5;2;0;999999002;999999002;1
12010001;;True;5;2;0;999999100;999999100;1
12020000;;True;5;2;0;999999002;999999002;1
12020001;;True;5;2;0;999999100;999999100;1
12020020;;True;5;2;0;-1;-1;1
12020021;;True;5;2;0;-1;-1;1
12020022;;True;5;2;0;-1;-1;1
12030010;;True;5;2;0;999999002;999999002;1
12030011;;True;5;2;0;999999100;999999100;1
12030020;;True;5;2;0;-1;-1;1
12030021;;True;5;2;0;-1;-1;1
12050020;;True;5;2;0;-1;-1;1
12060000;;True;5;2;0;-1;-1;1
13000010;;True;1;2;0;-1;-1;1
13000040;;True;1;2;0;-1;555555556;1
13000050;;True;1;2;0;999999000;999999010;1
13000052;;True;1;2;0;-1;-1;1
13000054;;True;1;2;0;-1;-1;1
13000055;;True;1;2;0;-1;-1;1
13000056;;True;1;2;0;-1;-1;1
13000058;;True;1;2;0;-1;-1;1
13000060;;True;1;2;0;-1;-1;1
14000000;;True;5;2;0;-1;-1;1
14000001;;True;5;2;0;-1;-1;1
14000010;;True;5;2;0;-1;-1;1
15000000;;True;1;2;0;-1;-1;1
15000010;;True;1;2;0;-1;-1;1
15000020;;True;1;2;0;-1;-1;1
16000000;;True;1;2;0;-1;-1;1
16000010;;True;1;2;0;-1;-1;1
16000020;;True;1;2;0;-1;-1;1
19000000;;True;1;2;0;-1;-1;1
19000010;;True;5;2;0;999999005;999999015;-1
19000011;;True;1;2;0;999999005;999999015;-1
19000015;;True;1;2;0;999999005;999999015;-1
19000019;;True;1;2;0;999999005;999999015;-1
19000020;;True;5;2;0;999999005;999999015;-1
19000021;;True;5;2;0;999999005;999999015;-1
19000030;;True;5;2;0;999999005;999999015;-1
19000031;;True;1;2;0;999999005;999999015;-1
19000032;;True;1;2;0;999999005;999999015;-1
19000034;;True;1;2;0;999999005;999999015;-1
19000040;;True;1;2;0;-1;-1;1
19000050;;True;1;2;0;-1;-1;1
19000060;;True;1;2;0;999999005;999999015;-1
19000061;;True;1;2;0;999999005;999999015;-1
19000069;;True;1;2;0;999999005;999999015;-1
19000070;;True;1;2;0;999999005;999999015;-1
19000071;;True;1;2;0;999999005;999999015;-1
19000079;;True;1;2;0;999999005;999999015;-1
19000080;;True;1;2;0;999999005;999999015;-1
19000081;;True;1;2;0;999999005;999999015;-1
19000089;;True;1;2;0;999999005;999999015;-1
31000000;;True;5;2;0;-1;-1;1
31000001;;True;5;2;0;-1;-1;1
34100000;;True;1;2;0;-1;-1;1
34100002;;True;1;2;0;-1;-1;1
34110000;;True;1;2;0;-1;-1;1
34110001;;True;1;2;0;-1;-1;1
34110010;;True;1;2;0;-1;-1;1
34130000;;True;1;2;0;-1;-1;1
34130002;;True;1;2;0;-1;-1;1
35000000;;True;1;2;0;-1;-1;1
35000010;;True;1;0;0;-1;-1;1
35000020;;True;1;0;0;-1;-1;1
60370000;;True;1;2;0;-1;-1;1
60380000;;True;1;2;0;999999012;999999012;1
60380001;;True;1;2;0;999999100;999999100;1
60380010;;True;1;2;0;999999012;999999012;1
60380011;;True;1;2;0;999999100;999999100;1
60420000;;False;1;2;0;-1;-1;1
60420001;;False;1;2;0;-1;-1;1
60420002;;False;1;2;0;-1;-1;1
60420003;;False;1;2;0;-1;-1;1
60420004;;False;1;2;0;-1;-1;1
60420005;;False;1;2;0;-1;-1;1
60420006;;False;1;2;0;-1;-1;1
60420007;;False;1;2;0;-1;-1;1
60430000;;True;5;2;0;999999100;999999100;-1
60490000;;True;1;2;0;999999012;999999012;1
60490001;;True;1;2;0;999999100;999999100;1
60490010;;True;1;2;0;999999012;999999012;1
60490011;;True;1;2;0;999999100;999999100;1
60490020;;True;1;2;0;999999012;999999012;1
60490021;;True;1;2;0;999999100;999999100;1
60490030;;True;1;2;0;999999012;999999012;1
60490031;;True;1;2;0;999999100;999999100;1
60500000;;True;1;0;0;-1;-1;1
60510000;;True;1;2;0;-1;-1;1
60510010;;True;1;2;0;-1;-1;1
60510011;;True;1;2;0;-1;-1;1
60520010;;True;1;2;0;-1;-1;1
60540000;;True;1;2;0;999999000;999999010;1
60540001;;True;1;2;0;999999000;999999010;1
60540010;;True;1;2;0;999999100;999999100;1
60540011;;True;1;2;0;999999100;999999100;1
90000010;;True;1;0;0;-1;-1;1
90009999;;True;1;0;0;-1;-1;1
