Row ID;Row Name;Disable Param - Network Test;Menu Type;Trigger Type;Repeat Type;Image ID;Unlock Event Flag ID;Text ID;Display Minimum Time;Display Time
0;;False;0;0;0;0;0;-1;1;3
1;;False;100;0;0;0;0;1;1;3
2;;False;0;0;0;0;0;2;1;3
1000;;False;0;0;0;0;710000;101000;1;4.5
1010;;False;1;0;1;0;710010;201010;1;3.5
1020;;False;100;0;1;3;710020;301020;1;4.5
1030;;False;0;0;1;0;710030;101030;1;2.5
1040;;False;0;0;1;0;710040;101040;1;4.5
1050;;False;0;0;1;0;710050;101050;1;2.5
1060;;False;100;0;1;7;710060;301060;1;4.5
1070;;False;100;0;1;16;710070;302410;1;4.5
1080;;False;0;0;1;0;710080;101080;1;4.5
1090;;False;0;0;1;0;710090;101090;1;4.5
1100;;False;100;0;1;133;710100;201100;1;4.5
1110;;False;0;0;1;0;710110;101110;1;4.5
1120;;False;0;0;1;0;710120;101120;1;4.5
1130;;False;100;0;1;14;710130;301130;1;4.5
1140;;False;100;0;1;15;710140;301140;1;4.5
1150;;False;0;0;1;0;710150;101150;1;4.5
1160;;False;100;0;1;17;710160;301160;1;4.5
1170;;False;0;0;1;0;710170;101170;1;4.5
1180;;False;100;0;1;18;710180;302400;1;4.5
1190;;False;100;0;1;105;710190;301540;1;4.5
1200;;False;100;0;1;19;710200;302430;1;4.5
1210;;False;100;0;1;131;710210;302490;1;4.5
1500;;False;100;0;0;100;710500;301500;1;3
1510;;False;100;0;0;102;710510;301510;1;3
1520;;False;100;0;0;103;710520;301520;1;3
1530;;False;100;0;0;104;710530;301530;1;3
1550;;False;100;0;0;106;710550;301550;1;3
1560;;False;100;0;0;107;710560;301560;1;3
1570;;False;100;0;0;108;710570;301570;1;3
1580;;False;100;0;0;109;710580;301580;1;3
1590;;False;100;0;0;110;710590;301590;1;3
1600;;True;100;0;0;121;710600;301600;1;3
1610;;False;100;0;0;112;710610;301610;1;3
1620;;False;100;0;0;113;710620;301620;1;3
1630;;False;100;0;0;123;710630;301630;1;3
1640;;False;100;0;0;115;710640;301640;1;3
1650;;True;100;0;0;116;710650;301650;1;3
1660;;True;100;0;0;117;710660;301660;1;3
1670;;True;100;0;0;118;710670;301670;1;3
1680;;True;100;0;0;119;710680;301680;1;3
1690;;False;100;0;0;120;710690;301690;1;3
1700;;True;100;0;0;124;710700;302380;1;3
1710;;False;100;0;0;126;710710;302390;1;3
1720;;True;100;0;0;125;710720;302420;1;3
1730;;False;100;0;0;127;710730;302440;1;3
1740;;False;100;0;0;128;710740;302450;1;3
1750;;True;100;0;0;122;710600;302000;1;3
1760;;False;100;0;0;200;710760;309000;1;3
1770;;True;100;0;0;130;710770;302480;1;3
1780;;True;100;0;0;129;710780;302460;1;3
1800;;True;0;0;0;0;710800;101180;1;4.5
1810;;True;100;0;0;132;710810;302500;1;3
2000;;False;100;2;0;0;720000;402000;1;3
2010;;False;100;3;0;0;720010;402010;1;3
2020;;False;100;4;0;0;720020;402020;1;3
2030;;False;100;5;0;0;720030;402030;1;3
2040;;False;100;6;0;0;720040;402040;1;3
2050;;False;100;7;0;0;720050;402050;1;3
2060;;False;100;9;0;0;720060;402200;1;3
2090;;False;100;12;0;0;720090;402230;1;3
2100;;False;100;13;0;0;720100;402240;1;3
2110;;False;100;14;0;0;720110;402250;1;3
2120;;False;100;32;0;0;720120;402300;1;3
2140;;False;100;39;0;0;720140;402320;1;3
2150;;True;100;40;0;0;720150;402330;1;3
2160;;True;100;35;0;0;720160;402400;1;3
2170;;True;100;64;0;0;720170;402350;1;3
2180;;False;100;65;0;0;720180;402360;1;3
2190;;True;100;70;0;0;720190;402370;1;3
2200;;True;100;37;0;0;720200;402380;1;3
2210;;False;100;8;0;0;720210;402100;1;3
2220;;False;100;41;0;0;720220;402390;1;3
