Row ID;Row Name;Disable Param - Network Test;Disable Param - Debug;Play Map ID;Require Map ID 0;Require Map ID 1;Require Map ID 2;Hit Part ID for Reference Camera;Client Load View - Progress Bar Time;Hit Parts [0];Hit Parts [1]
0;;False;False;0;0;0;0;-1;0;-1;-1
10000010;;False;False;10000000;0;0;0;1200;75;20000;-1
10000020;;True;False;10000000;0;0;0;14000;61;14000;-1
10000030;;True;False;10000000;0;0;0;14000;57;14000;-1
10000040;;True;False;10010000;0;0;0;-1;30;20100;-1
10000050;;True;False;10000000;0;0;0;-1;5;-1;-1
10010000;;True;False;10010000;0;0;0;-1;30;-1;-1
10010001;;True;False;10010000;0;0;0;-1;30;-1;-1
11000040;;True;False;11000000;0;0;0;20100;100;25100;-1
11050010;;True;False;11050000;0;0;0;20100;110;25200;-1
11050020;;True;False;11050000;0;0;0;20100;93;25000;-1
12010000;;True;False;12010000;0;0;0;16200;34;16200;-1
12010001;;True;False;12040000;0;0;0;20500;37;25000;-1
12020000;;True;False;12020000;0;0;0;16700;46;25000;-1
12020001;;True;False;12030000;0;0;0;2300;44;20000;-1
12030010;;True;False;12030000;0;0;0;4800;34;4800;-1
12030011;;True;False;12010000;0;0;0;6000;37;6000;-1
12030020;;True;False;12030000;0;0;0;-1;4;-1;-1
12030021;;True;False;12030000;0;0;0;-1;3;-1;-1
12050020;;True;False;12050000;0;0;0;5900;101;20000;-1
12060000;;True;False;60354200;0;0;0;354201;57;-1;-1
13000010;;True;False;13000000;0;0;0;-1;104;20000;-1
13000040;;True;False;13000000;0;0;0;17000;73;20200;-1
13000050;;True;False;13000000;0;0;0;-1;30;-1;-1
13000060;;True;False;11050000;0;0;0;-1;30;-1;-1
14000000;;True;False;14000000;0;0;0;9100;63;9100;-1
14000010;;True;False;14000000;0;0;0;9100;96;9100;-1
15000000;;True;False;15000000;0;0;0;15000;114;25000;-1
15000010;;True;False;15000000;0;0;0;15000;103;25100;-1
16000000;;True;False;16000000;0;0;0;7500;51;19000;-1
16000010;;True;False;16000000;0;0;0;-1;14;-1;-1
16000020;;True;False;16000000;0;0;0;16000;78;18000;-1
19000000;;True;False;19000000;0;0;0;900000;88;20100;-1
19000010;;True;False;19000000;0;0;0;-1;30;-1;-1
19000011;;True;False;11710000;0;0;0;-1;30;100;-1
19000020;;True;False;19000000;0;0;0;-1;30;-1;-1
19000021;;True;False;19000000;0;0;0;-1;30;20200;-1
19000030;;True;False;19000000;0;0;0;-1;30;20300;-1
19000031;;True;False;19000000;0;0;0;-1;30;20300;-1
19000040;;True;False;19000000;0;0;0;900000;93;25300;-1
19000050;;True;False;19000000;0;0;0;-1;30;-1;-1
19000060;;True;False;19000000;0;0;0;-1;30;-1;-1
19000061;;True;False;11710000;0;0;0;-1;30;100;-1
19000070;;True;False;19000000;0;0;0;-1;30;-1;-1
19000071;;True;False;11710000;0;0;0;-1;30;300;-1
19000080;;True;False;19000000;0;0;0;-1;30;-1;-1
19000081;;True;False;11710000;0;0;0;-1;30;100;-1
31000000;;True;False;31000000;0;0;0;-1;18;-1;-1
31000001;;True;False;31000000;0;0;0;-1;18;-1;-1
34110000;;True;False;34110000;0;0;0;-1;42;100;-1
34110001;;True;False;34110000;0;0;0;-1;34;100;-1
34110010;;True;False;34110000;0;0;0;-1;26;900;-1
35000000;;True;False;35000000;0;0;0;-1;103;9000;-1
35000010;;True;False;35000000;0;0;0;-1;19;-1;-1
35000020;;True;False;35000000;0;0;0;-1;35;-1;-1
60370000;;True;False;60375400;0;0;0;375400;40;-1;-1
60380000;;True;False;60385000;0;0;0;-1;30;-1;-1
60380001;;True;False;60385000;0;0;0;-1;30;-1;-1
60380010;;True;False;60385000;0;0;0;-1;30;-1;-1
60380011;;True;False;60385000;0;0;0;-1;30;-1;-1
60420000;;False;False;60423600;0;0;0;-1;30;-1;-1
60420001;;False;False;60433700;0;0;0;-1;30;-1;-1
60420002;;True;False;60463800;0;0;0;-1;30;-1;-1
60420003;;False;False;60413800;0;0;0;-1;30;-1;-1
60420004;;False;False;60443500;0;0;0;-1;30;-1;-1
60420005;;False;False;60423700;0;0;0;-1;30;-1;-1
60420006;;True;False;60443400;0;0;0;-1;30;-1;-1
60420007;;False;False;60433500;0;0;0;-1;30;-1;-1
60430000;;True;False;18000000;0;0;0;1300;30;20000;-1
60490000;;True;False;60495300;0;0;0;-1;30;-1;-1
60490001;;True;False;60495300;0;0;0;-1;30;-1;-1
60490010;;True;False;60495300;0;0;0;-1;30;-1;-1
60490011;;True;False;60495300;0;0;0;-1;30;-1;-1
60490020;;True;False;60495300;0;0;0;-1;30;-1;-1
60490021;;True;False;60495300;0;0;0;-1;30;-1;-1
60490030;;True;False;60495300;0;0;0;-1;30;-1;-1
60490031;;True;False;60495300;0;0;0;-1;30;-1;-1
60500000;;True;False;60503800;0;0;0;-1;11;-1;-1
60510000;;True;False;60513600;0;0;0;-1;66;-1;-1
60510010;;True;False;60523900;0;0;0;523900;30;-1;-1
60510011;;True;False;60513800;0;0;0;513801;30;-1;-1
60520010;;True;False;60525300;0;0;0;525200;62;-1;-1
60540000;;True;False;60545300;0;0;0;-1;30;-1;-1
60540001;;True;False;60545300;0;0;0;-1;30;-1;-1
60540010;;True;False;13000000;0;0;0;-1;30;20100;-1
60540011;;True;False;13000000;0;0;0;-1;30;20100;-1
