Row ID;Row Name;Disable Param - Network Test;Reference ID [0];SFX Variation ID;Weight;Basic Price;Sell Value;Behavior ID;Replace Item ID;Sort ID;Appearance Replace Item ID;Dialog Message ID;Use Enable SpEffect Type;Pot Group ID;Icon ID;Model ID;Shop Level;Achivement ID;Achivement Sequential ID;Max Amount;Consume Humanity;Over Dexterity;Goods Type;Reference Type;Effect Category;Goods Use Animation;Interaction Menu Type;Use Limit Category;Replace Category;Enable Host Player;Enable as Phantom;Enable as Friendly Phantom;Enable as Hostile Phantom;Enable in Multiplayer;Enable Online Only;Is Equippable;Is Consumed;Is Auto Equipped;Is Guidance Item;Is Unique Item;Can Discard;Can Deposit;Disable if Right Hand is Empty;Remove Item on Game Clear;Is Regenerative Item;Is Full Regenerative Item;Is Enhancement Item;Can Repair Item;Disable Dropping in Multiplayer;Disable Usage in Multiplayer Arena;Disable Usage outside of Multiplayer Arena;Can Cancel Application Early;Apply SpEffect Modifiers;Synchronized Item Usage ID;SpEffect ID - Left Hand;Weapon Reference ID;Vagrant Item Lot ID;Vagrant Enemy Item Lot ID;Vagrant Bonus Item Lot ID;Usage VFX - Cast;Usage VFX  - Fire;Usage VFX - Effect;Usable with Great Rune Active;Is Bonfire Warp Item;Enable on Ladder;Usable before Multiplayer Session;Usable in Multiplayer;Is Shield Enchantment;Is Warp Forbidden;Usable if Disconnect Penalty is Active;Regenerative Item Type;Auto Replenishment Type;Can be Dropped;Show Log Condition Type;Is Horse Summon;Show Dialog Condition Type [0];Show Dialog Condition Type [1];Is Sleep Collection Item;Enabled while Riding;Disabled while Riding;Max Number Stored in Itembox;Sort Group ID;Enabled in No Attack Region;Sale Value;Rarity;Use Limit - Spirit Summon;Use Limit - SpEffect Type;AI Usage Judgment ID;FP Cost;HP Cost;Reinforcement Goods ID;Reinforcement Material ID;Reinforcement Cost;Use Level - Vow Level [0];Use Level - Vow Level [1];Use Level - Vow Level [2];Use Level - Vow Level [3];Use Level - Vow Level [4];Use Level - Vow Level [5];Use Level - Vow Level [6];Use Level - Vow Level [7];Use Level - Vow Level [8];Use Level - Vow Level [9];Use Level - Vow Level [10];Use Level - Vow Level [11];Use Level - Vow Level [12];Use Level - Vow Level [13];Use Level - Vow Level [14];Use Level - Vow Level [15];Use Level;Item Get Tutorial Flag ID
0;;False;-1;-1;0;0;0;0;-1;-1;-1;-1;0;-1;0;0;0;-1;-1;1;0;0;0;0;0;0;0;0;0;True;True;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;0;-1;-1;0;0;0;-1;-1;-1;False;False;False;False;False;False;False;False;0;0;True;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;;True;501050;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;99;0;50;0;2;0;6;0;0;0;True;True;True;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;302060;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;True;501051;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;99;0;50;0;2;0;14;0;0;0;True;True;True;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;True;81;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;2;0;6;0;0;0;True;True;True;True;True;False;True;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;True;False;False;True;False;False;False;False;0;0;False;True;True;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;True;8060;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;2;0;14;0;0;0;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;301000;-1;301002;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;;True;8061;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;2;0;14;0;0;0;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;301000;-1;301002;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;;True;8062;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;2;0;14;0;0;0;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;301000;-1;301002;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;;True;8070;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;2;0;14;0;0;0;True;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;301000;-1;301002;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;;True;124;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;0;0;-1;-1;-1;1;0;50;0;1;0;2;0;0;0;True;True;True;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;0;-1;-1;-1;-1;-1;302000;-1;-1;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;;True;-1;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;4121;0;-1;-1;-1;99;0;0;5;0;0;0;0;0;0;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;True;False;False;True;False;False;False;False;0;0;False;True;False;False;True;False;True;False;0;255;True;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
