Row ID;Row Name;Disable Param - Network Test;Disable Param - Debug;SpEffect ID [0];SFX Variation ID;Weight;Behavior ID;Basic Price;Sell Value;Sort ID;QWC ID;Equip Model ID;Icon ID;Shop Level;Achievement Grade ID;Achievement Sequential ID;Equip Model Category;Equip Model Gender;Accessory Type;Reference Type;SpEffect Category;Sort Group ID;Vagrant Item Lot ID;Vagrant Bonus Item Lot ID;Vagrant Enemy Item Lot ID;Is Depositable;Is Destroyed on Unequip;Is Dropping Disabled in Multiplayer;Is Discardable;Is Droppable;Show Log Condition Type;Show Dialog Condition Type [1];Show Dialog Condition Type [2];Rarity;Sale Price;Accessory Group;Number of Completed Achievement ID;SpEffect ID [1];SpEffect ID [2];SpEffect ID [3];SpEffect ID [4]
1000;Crimson Amber Medallion;False;False;310000;-1;0.3;0;0;100;400000;0;0;18000;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1000;-1;0;0;0;0
1001;Crimson Amber Medallion +1;True;False;310010;-1;0.3;0;0;500;400010;0;0;18001;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1000;-1;0;0;0;0
1002;Crimson Amber Medallion +2;True;False;310020;-1;0.3;0;0;1000;400020;0;0;18002;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1000;-1;0;0;0;0
1010;Cerulean Amber Medallion;True;False;310100;-1;0.3;0;0;100;400050;0;0;18010;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1010;-1;0;0;0;0
1011;Cerulean Amber Medallion +1;True;False;310110;-1;0.3;0;0;500;400060;0;0;18011;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1010;-1;0;0;0;0
1012;Cerulean Amber Medallion +2;True;False;310120;-1;0.3;0;0;1000;400070;0;0;18012;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1010;-1;0;0;0;0
1020;Viridian Amber Medallion;False;False;310200;-1;0.3;0;0;100;400090;0;0;18020;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1020;-1;0;0;0;0
1021;Viridian Amber Medallion +1;True;False;310210;-1;0.3;0;0;500;400100;0;0;18021;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1020;-1;0;0;0;0
1022;Viridian Amber Medallion +2;True;False;310220;-1;0.3;0;0;1000;400110;0;0;18022;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1020;-1;0;0;0;0
1030;Arsenal Charm;False;False;310300;-1;1.5;0;0;100;400130;0;0;18030;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1030;-1;0;0;0;0
1031;Arsenal Charm +1;True;False;310310;-1;1.5;0;0;500;400140;0;0;18031;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1030;-1;0;0;0;0
1032;Great-Jar's Arsenal;True;False;310320;-1;1.5;0;0;1000;400150;0;0;18032;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1030;-1;0;0;0;0
1040;Erdtree's Favor;True;False;310400;-1;1.5;0;0;500;400160;0;0;18040;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1040;-1;0;0;0;0
1041;Erdtree's Favor +1;True;False;310410;-1;1.5;0;0;1500;400170;0;0;18041;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;2;0;1040;-1;0;0;0;0
1042;Erdtree's Favor +2;True;False;310420;-1;1.5;0;0;3000;400180;0;0;18042;-1;-1;-1;0;0;0;2;0;10;-1;-1;-1;True;False;False;True;True;True;False;True;3;0;1040;17;0;0;0;0
