Row ID;Row Name;Disable Param - Network Test;Param String
0;;False;Env_000_Green
10;;True;Env_010_Lake
20;;True;Env_020_Mountain
30;;True;Env_030_Plain
40;;True;Env_040_Snow
100;;False;Env_100_Castle
110;;True;Env_110_KingCity
120;;True;Env_120_UgLabyrinth
130;;True;Env_130_Remains
140;;True;Env_140_Academy
150;;True;Env_150_RottenBigTree
160;;True;Env_160_VolcanoPrison
180;;False;Env_180_Tutorial
190;;True;Env_190_Ritual
300;;False;Env_300_Catacombs
310;;False;Env_310_Cave
320;;False;Env_320_Tunnel
340;;True;Env_340_Tower
350;;True;Env_350_UgKingCity
390;;True;Env_390_CliffTunnel
500;;True;Env_500_Fortress
