Row ID;Row Name;Asset ID [0];Asset ID [1];Asset ID [2];Asset ID [3];Asset ID [4];Asset ID [5];Asset ID [6];Asset ID [7];Create Weight [0];Create Weight [1];Create Weight [2];Create Weight [3];Create Weight [4];Create Weight [5];Create Weight [6];Create Weight [7]
60081002;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60081102;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60081202;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60091002;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60091102;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60091202;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0
60100702;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
60100802;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
60100902;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
60110702;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
60110802;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
60110902;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
