Row ID;Row Name;Draw Distance Level 0;Draw Distance Level 1;Draw Distance Level 2;Draw Distance Level 3;Draw Distance Level 4;Draw Distance Level 5;Draw Distance Level 6;Draw Distance Level 7;Draw Distance Level 8;Draw Distance Level 9;Draw Distance Level 10;Draw Distance Level 11;Draw Distance Level 12;Draw Distance Level 13;Draw Distance Level 14;Draw Distance Level 15;Draw Distance Level 16;Draw Distance Level 17;Draw Distance Level 18;Draw Distance Level 19;Draw Distance Level 20
0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
101;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
102;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
103;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
104;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
105;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
106;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
107;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
108;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
109;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
110;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
