Row ID;Row Name;Disable Param - Network Test;Unlock Flag ID;Invalid Flag ID;Message ID
1;;False;0;0;1
2;;False;0;0;2
3;;False;0;0;3
4;;False;0;0;4
5;;False;0;0;5
6;;False;0;0;6
7;;False;0;0;7
8;;False;0;0;8
9;;False;0;0;9
10;;False;0;0;10
11;;False;0;0;11
12;;False;0;0;12
13;;False;0;0;13
14;;False;0;0;14
15;;False;0;0;15
16;;False;0;0;16
50;;False;0;0;50
52;;False;0;0;52
53;;False;0;0;53
54;;False;0;0;54
55;;False;0;0;55
56;;False;0;0;56
57;;False;0;0;57
58;;False;0;0;58
59;;False;0;0;59
60;;True;0;0;60
61;;False;0;0;61
62;;True;0;0;62
64;;False;0;0;64
65;;False;0;0;65
66;;False;0;0;66
67;;True;0;0;67
68;;False;0;0;68
70;;True;0;0;70
71;;True;0;0;71
72;;True;0;0;72
73;;True;0;0;73
74;;True;0;0;74
75;;True;0;0;75
76;;True;0;0;76
77;;False;0;0;77
100;;False;0;0;100
101;;False;0;0;101
102;;False;0;0;102
103;;False;0;0;103
104;;False;0;0;104
105;;False;0;0;105
106;;False;0;0;106
107;;False;0;0;107
108;;False;0;0;108
109;;False;0;0;109
110;;False;0;0;110
111;;False;0;0;111
112;;False;0;0;112
113;;False;0;0;113
114;;False;0;0;114
115;;False;0;0;115
116;;False;0;0;116
117;;False;0;0;117
118;;False;0;0;118
150;;False;0;0;150
151;;False;0;0;151
152;;False;0;0;152
153;;True;0;0;153
200;;False;0;0;200
