Row ID;Row Name;Base FP Recovery Time;Base Stamina Recovery Time;Characer Head Land - Damage Reduction;Runes;Equipped Weapon: Right Primary;Equipped Weapon: Right Secondary;Equipped Weapon: Left Primary;Equipped Weapon: Left Secondary;Equipped Armor: Head;Equipped Armor: Chest;Equipped Armor: Arms;Equipped Armor: Legs;Equipped Ammunition: Arrow Primary;Equipped Ammunition: Bolt Primary;Equipped Ammunition: Arrow Secondary;Equipped Ammunition: Bolt Secondary;Equipped Accessory: Slot 1;Equipped Accessory: Slot 2;Equipped Accessory: Slot 3;Equipped Accessory: Slot 4;Elixir Material 1;Elixir Material 2;Elixir Material 3;Equipped Spell: Slot 1;Equipped Spell: Slot 2;Equipped Spell: Slot 3;Equipped Spell: Slot 4;Equipped Spell: Slot 5;Equipped Spell: Slot 6;Equipped Spell: Slot 7;Equipped Item: Slot 1;Equipped Item: Slot 2;Equipped Item: Slot 3;Equipped Item: Slot 4;Equipped Item: Slot 5;Equipped Item: Slot 6;Equipped Item: Slot 7;Equipped Item: Slot 8;Equipped Item: Slot 9;Equipped Item: Slot 10;NPC Player - Face Gen ID;NPC Player - Think ID;Base HP;Base FP;Base Stamina;Equipped Ammunition: Arrow Primary Count;Equipped Ammunition: Bolt Primary Count;Equipped Ammunition: Arrow Secondary Count;Equipped Ammunition: Bolt Secondary Count;Level;Vigor;Attunement;Endurance;Strength;Dexterity;Intelligence;Faith;Arcane;Humanity;Vitality;Equipped Item: Slot 1 Amount;Equipped Item: Slot 2 Amount;Equipped Item: Slot 3 Amount;Equipped Item: Slot 4 Amount;Equipped Item: Slot 5 Amount;Equipped Item: Slot 6 Amount;Equipped Item: Slot 7 Amount;Equipped Item: Slot 8 Amount;Equipped Item: Slot 9 Amount;Equipped Item: Slot 10 Amount;Equipped Gesture: Slot 1;Equipped Gesture: Slot 2;Equipped Gesture: Slot 3;Equipped Gesture: Slot 4;Equipped Gesture: Slot 5;Equipped Gesture: Slot 6;Equipped Gesture: Slot 7;NPC Player - Type;NPC Player - Draw Type;NPC Player - Sex;Vow Type: 1;Vow Type: 2;Vow Type: 3;Vow Type: 4;Is Sync Target;Weapon Param Type - Right Primary;Weapon Param Type - Right Secondary;Weapon Param Type - Right Tertiary;Weapon Param Type - Left Primary;Weapon Param Type - Left Secondary;Weapon Param Type - Left Tertiary;Equipped Weapon: Right Tertiary;Equipped Weapon: Left Tertiary;Stored Item: Slot 1;Stored Item: Slot 2;Stored Item: Slot 3;Stored Item: Slot 4;Stored Item: Slot 5;Stored Item: Slot 6;Stored Item: Slot 1 Count;Stored Item: Slot 2 Count;Stored Item: Slot 3 Count;Stored Item: Slot 4 Count;Stored Item: Slot 5 Count;Stored Item: Slot 6 Count;HP Flask - Max Possession Limit;FP Flask - Max Possession Limit;Voice Type
10;;0;0;0;50000;13020000;20030000;24000000;20060000;290000;90100;580200;290300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;325;50;50;50;50;50;50;50;50;2;50;2;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;20070000;20000000;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
11;;0;0;0;50000;13020000;20030000;24000000;20060000;290000;90100;580200;290300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;325;50;50;50;50;50;50;50;50;2;50;2;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;20070000;20000000;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
12;;0;0;0;50000;13000000;20020000;24000000;13030000;201000;800100;581200;670300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;325;50;50;50;50;50;50;50;50;2;50;2;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;20050000;13040000;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
13;;0;0;0;50000;16020000;13010000;24000000;13020000;690000;430100;120200;240300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;325;50;50;50;50;50;50;50;50;2;50;2;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;13000000;41060000;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
20;;0;0;0;0;2000000;-1;24000000;-1;670000;670100;670200;670300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;-1;-1;-1;-1;-1;-1;-1;20;0;0;0;0;0;0;0;0;20;11;14;11;14;17;12;10;10;0;7;2;2;1;0;0;0;0;0;0;0;0;7;50;70;80;92;53;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
21;;0;0;0;0;16000000;-1;24000000;31000000;980000;981100;980200;980300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4000;4220;-1;-1;-1;-1;-1;1001;1051;130;-1;-1;-1;-1;-1;-1;-1;22;0;0;0;0;0;0;0;0;20;13;15;12;15;13;16;7;8;0;7;2;2;1;0;0;0;0;0;0;0;2;7;50;70;80;92;53;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
22;;0;0;0;0;11000000;34040000;24000000;-1;620000;620100;-1;620300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5510;6020;-1;-1;-1;-1;-1;1001;1051;130;-1;-1;-1;-1;-1;-1;-1;24;0;0;0;0;0;0;0;0;20;12;17;9;13;12;10;17;9;0;7;2;2;1;0;0;0;0;0;0;0;1;7;50;70;80;92;101;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
23;;0;0;0;0;14000000;-1;24000000;30070000;730000;730100;730200;730300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7320;-1;-1;-1;-1;-1;-1;1001;1051;130;-1;-1;-1;-1;-1;-1;-1;26;0;0;0;0;0;0;0;0;20;15;11;14;16;10;7;11;15;0;7;2;2;1;0;0;0;0;0;0;0;9;7;50;70;80;92;54;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
100;;0;0;0;50000;12000;-1;31000000;-1;40000;40100;40200;40300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;23;17;13;14;19;14;9;9;7;0;16;7;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;7;3;0
110;;0;0;0;50000;11000;16000000;31000000;11000;40000;40100;40200;40300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;12;11500;292;310;240;330;-1;-1;1;0;0;0;0;99;99;99;99;285;50;50;14;50;50;50;50;50;2;50;2;1;1;1;10;10;1;99;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;0;0;0;0;0;0;15000000;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1000;;0;0;0;0;500;-1;500;30000000;670000;670100;670200;670300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;20;0;0;0;0;0;0;0;0;5;12;10;13;11;15;9;7;10;0;7;2;2;0;0;0;0;0;0;0;0;0;7;50;70;80;53;92;0;0;1;False;False;False;False;False;1;0;0;1;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
