Row ID;Row Name;Disable Param - Network Test;Chr Init Param ID - Class;Chr Init Param ID - Origin;Image ID;Text ID
1000;[CNT] Knight;False;1000;1000;1;288050
1001;[CNT] Enchanted Knight;False;1010;1010;2;288051
1002;[CNT] Prophet;False;1020;1020;3;288052
1003;[CNT] Champion;False;1030;1030;4;288053
1004;[CNT] Bloody Wolf;False;1040;1040;5;288054
2000;Vagabond;True;3100;3000;6;288100
2001;Warrior;True;3102;3001;7;288101
2002;Hero;True;3104;3002;8;288102
2003;Bandit;True;3106;3003;9;288103
2004;Astrologer;True;3108;3004;10;288104
2005;Prophet;True;3110;3005;11;288105
2006;Samurai;True;3114;3007;13;288107
2007;Prisoner;True;3116;3008;14;288108
2008;Confessor;True;3112;3006;12;288106
2009;Wretch;True;3118;3009;15;288109
2010;Battlemage;True;3100;3010;1;288110
2011;Black Knife Assassin;True;3100;3011;2;288111
2012;Blackflame Monk;True;3100;3012;3;288112
2013;Bloodhound Knight;True;3100;3013;4;288113
2014;Dominula Celebrant;True;3100;3014;5;288114
2015;Malenia's Chosen;True;3100;3015;5;288115
2016;Ancient Knight;True;3100;3016;5;288116
2017;Depraved Perfumer;True;3100;3017;5;288117
2018;Deathbed Companion;True;3100;3018;5;288118
2019;Fingerprint Knight;True;3100;3019;5;288119
2020;Erdtree Guardian;True;3100;3020;5;288120
2021;Lost Marionette;True;3100;3021;5;288121
2022;Night's Cavalry;True;3100;3022;5;288122
2023;Errant Sorcerer;True;3100;3023;5;288123
2024;Beholder of Death;True;3100;3024;5;288124
