Row ID;Row Name;regionType;category;padding1;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;padding2;allowAngle;spotDummyPoly;textBoxType;padding3;padding5;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;padding4;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime;padding6
0;;0;0;[0|0];1;1;1;1;1;1;1;1;0;[0|0|0];1;-1;0;[0|0];0;0;0;0;0;0;-1;1;1;-1;1;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1;;0;0;[0|0];-1;-1;0;180;0;0;0;0;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;-1;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1000;Retrieve lost runes;0;0;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000200;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1010;;0;0;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000205;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1020;Touch bloodstain;0;8;[0|0];-1;-1;1;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1050;;0;5;[0|0];-1;-1;1.5;180;0;0;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;1850;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
1100;Ride;0;12;[0|0];-1;-1;0;180;0;0;0;0;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;8100;6001;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
2000;Touch gold summon sign;0;7;[0|0];-1;-1;1;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
2001;Touch red summon sign;0;7;[0|0];-1;-1;1;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000001;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
2010;Check your summon sign;0;6;[0|0];-1;-1;1;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000400;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
3000;Read message;0;10;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000210;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
3010;Check your message;0;9;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000500;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
3020;Read message;0;10;[0|0];-1;-1;1;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000210;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4000;Pick up item;0;3;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4100;Pillage corpse;0;2;[0|0];-1;-1;1.5;180;0;0;2.4;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2010;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4110;Pick up item;0;2;[0|0];-1;-1;1.5;180;0;0;2.4;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4200;Pillage remains;0;2;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2020;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4201;Pillage remains;0;2;[0|0];-1;-1;1.5;180;0;0;2.5;-1.75;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2020;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4202;Pillage remains;0;2;[0|0];90;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2020;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4250;Pick up item;0;2;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4251;Pick up item;0;2;[0|0];-1;-1;1.5;180;0;0;2;-1.25;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4252;Pick up item;0;2;[0|0];-1;-1;2;180;0;0;2;-2.5;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4253;Pick up item;0;2;[0|0];-1;-1;2;180;0;0;3.5;-2.5;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4260;Pick up item;0;2;[0|0];90;-1;2;180;0;0;2.5;-1.75;0;[0|0|0];60;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4270;Pick up item;0;2;[0|0];90;-1;2;180;0;0;3.5;-2.5;0;[0|0|0];60;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4280;Pick up item;0;2;[0|0];90;-1;2.1;180;0;0;2.5;-1.8;0;[0|0|0];60;90;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4300;Search treasure chest;0;2;[0|0];-1;-1;1.5;180;0;0;1;-0.25;0;[0|0|0];180;90;0;[0|0];0;0;0;0;0;0;2030;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
4350;Pick up item;0;2;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
