Row ID, Field: Equip ID, Field: Equip Type
1,240,3
30000,150,3
30100,300,3
30101,301,3
30102,302,3
30103,320,3
30104,321,3
30105,330,3
30106,340,3
30107,350,3
30108,351,3
30109,360,3
30110,370,3
30111,380,3
30112,390,3
30113,391,3
30114,400,3
30115,420,3
30116,430,3
30117,440,3
30118,450,3
30119,460,3
30120,470,3
30122,490,3
30123,510,3
30124,600,3
30125,610,3
30126,630,3
30127,640,3
30128,650,3
30129,660,3
30130,661,3
30131,670,3
30200,810,3
30201,811,3
30202,812,3
30300,900,3
30301,910,3
30302,920,3
30303,930,3
30304,940,3
30305,950,3
30306,960,3
30400,1100,3
30401,1110,3
30402,1120,3
30403,1130,3
30404,1140,3
30405,1150,3
30406,1160,3
30407,1170,3
30408,1180,3
30409,1190,3
30410,1200,3
30411,1210,3
30413,1310,3
30414,1320,3
30415,1330,3
30416,1340,3
30500,1400,3
30501,1410,3
30502,1420,3
30503,1430,3
30504,1440,3
30505,1450,3
30506,1460,3
30507,1470,3
30508,1480,3
30509,1490,3
30510,1500,3
30511,1510,3
30512,1520,3
30513,1530,3
30514,1540,3
30515,1550,3
30516,1560,3
30518,1590,3
30519,1690,3
30600,1710,3
30601,1720,3
30602,1740,3
30700,2020,3
30701,2030,3
30702,2050,3
30703,2100,3
30704,2120,3
30800,3030,3
30801,3310,3
30802,3311,3
30803,3320,3
30804,3350,3
30900,3500,3
30901,3510,3
30902,3520,3
30903,3550,3
30904,3580,3
30905,3610,3
32000,50030000,0
32001,50110000,0
32002,50130000,0
32003,50140000,0
32004,50150000,0
32005,50160000,0
32006,50170000,0
32007,50180000,0
32008,50190000,0
32009,50200000,0
32010,50210000,0
32011,50220000,0
32012,50230000,0
32013,50260000,0
32014,50270000,0
32015,50280000,0
32016,50290000,0
32017,50300000,0
32018,50310000,0
32019,50320000,0
32020,50330000,0
32021,50340000,0
32022,50350000,0
32100,51050000,0
32101,51060000,0
32200,52090000,0
32201,52100000,0
32202,52110000,0
32203,52120000,0
32204,52130000,0
32205,52140000,0
32206,52150000,0
32207,52160000,0
32208,52170000,0
32209,52180000,0
32300,53030000,0
