Row ID,Row Name,UnkC
1100,,0
1200,,0
1210,,0
1220,,0
1230,,0
1240,,0
1250,,0
1260,,0
1400,,0
1410,,0
1420,,0
1430,,0
1500,,0
1600,,0
1700,,0
1800,,0
1900,,0
2000,,0
2100,,0
2200,,0
11000,,19
12000,,14
13000,,14
100000,,5
100100,,5
100200,,5
100300,,5
100400,,5
100500,,5
100600,,5
100700,,5
100800,,5
100900,,5
101000,,5
110000,Unarmed,1
170000,Throwing Dagger,0
171000,Bone Dart,0
172000,Poisonbone Dart,0
173000,Kukri,0
174000,Crystal Dart,0
175000,Fan Daggers,0
176000,Ruin Fragment,0
183000,Explosive Stone,0
183100,Explosive Stone Clump,0
184000,Poisoned Stone,0
184100,Poisoned Stone Clump,0
300000,Ancestral Infant's Head,0
301000,Omen Bairn,0
301100,Regal Omen Bairn,0
302000,Miranda's Prayer,0
303000,Cuckoo Glintstone,0
305000,Glintstone Scrap,0
305100,Large Glintstone Scrap,0
306000,Gravity Stone Fan,0
307000,Gravity Stone Chunk,0
308000,Wraith Calling Bell,0
351000,Spark Aromatic,0
358000,Poison Spraymist,0
361000,Acid Spraymist,0
830000,Fire Pot,0
830100,Redmane Fire Pot,0
830200,Giantsflame Fire Pot,0
832000,Lightning Pot,0
832100,Ancient Dragonbolt Pot,0
833000,Fetid Pot,0
834000,Swarm Pot,0
835000,Holy Water Pot,0
835100,Sacred Order Pot,0
836000,,0
837000,Poison Pot,0
840000,Roped Fire Pot,0
842000,Roped Lightning Pot,0
843000,Roped Fetid Pot,0
844000,Roped Poison Pot,0
846000,Roped Magic Pot,0
847000,Roped Fly Pot,0
848000,,0
849000,Roped Volcano Pot,0
851000,Roped Holy Water Pot,0
860000,Volcano Pot,0
864000,Sleep Pot,0
865000,Rancor Pot,0
866000,Magic Pot,0
866100,Academy Magic Pot,0
867000,,0
1000000,Dagger,3
1000100,Heavy Dagger,3
1000200,Keen Dagger,3
1000300,Quality Dagger,3
1000400,Fire Dagger,3
1000500,Flame Art Dagger,3
1000600,Lightning Dagger,3
1000700,Sacred Dagger,3
1000800,Magic Dagger,3
1000900,Cold Dagger,3
1001000,Poison Dagger,3
1001100,Blood Dagger,3
1001200,Occult Dagger,3
1010000,Black Knife,3
1020000,Parrying Dagger,3
1020100,Heavy Parrying Dagger,3
1020200,Keen Parrying Dagger,3
1020300,Quality Parrying Dagger,3
1020400,Fire Parrying Dagger,3
1020500,Flame Art Parrying Dagger,3
1020600,Lightning Parrying Dagger,3
1020700,Sacred Parrying Dagger,3
1020800,Magic Parrying Dagger,3
1020900,Cold Parrying Dagger,3
1021000,Poison Parrying Dagger,3
1021100,Blood Parrying Dagger,3
1021200,Occult Parrying Dagger,3
1030000,Misericorde,3
1030100,Heavy Misericorde,3
1030200,Keen Misericorde,3
1030300,Quality Misericorde,3
1030400,Fire Misericorde,3
1030500,Flame Art Misericorde,3
1030600,Lightning Misericorde,3
1030700,Sacred Misericorde,3
1030800,Magic Misericorde,3
1030900,Cold Misericorde,3
1031000,Poison Misericorde,3
1031100,Blood Misericorde,3
1031200,Occult Misericorde,3
1040000,Reduvia,3
1050000,Crystal Knife,3
1060000,Celebrant's Sickle,3
1060100,Celebrant's Heavy Sickle,3
1060200,Celebrant's Keen Sickle,3
1060300,Celebrant's Quality Sickle,3
1060400,Celebrant's Fire Sickle,3
1060500,Celebrant's Flame Art Sickle,3
1060600,Celebrant's Lightning Sickle,3
1060700,Celebrant's Sacred Sickle,3
1060800,Celebrant's Magic Sickle,3
1060900,Celebrant's Cold Sickle,3
1061000,Celebrant's Poison Sickle,3
1061100,Celebrant's Blood Sickle,3
1061200,Celebrant's Occult Sickle,3
1070000,Glintstone Kris,3
1080000,Scorpion's Stinger,3
1090000,Great Knife,3
1090100,Heavy Great Knife,3
1090200,Keen Great Knife,3
1090300,Quality Great Knife,3
1090400,Fire Great Knife,3
1090500,Flame Art Great Knife,3
1090600,Lightning Great Knife,3
1090700,Sacred Great Knife,3
1090800,Magic Great Knife,3
1090900,Cold Great Knife,3
1091000,Poison Great Knife,3
1091100,Blood Great Knife,3
1091200,Occult Great Knife,3
1100000,Wakizashi,3
1100100,Heavy Wakizashi,3
1100200,Keen Wakizashi,3
1100300,Quality Wakizashi,3
1100400,Fire Wakizashi,3
1100500,Flame Art Wakizashi,3
1100600,Lightning Wakizashi,3
1100700,Sacred Wakizashi,3
1100800,Magic Wakizashi,3
1100900,Cold Wakizashi,3
1101000,Poison Wakizashi,3
1101100,Blood Wakizashi,3
1101200,Occult Wakizashi,3
1110000,Cinquedea,3
1130000,Ivory Sickle,3
1140000,Bloodstained Dagger,3
1140100,Heavy Bloodstained Dagger,3
1140200,Keen Bloodstained Dagger,3
1140300,Quality Bloodstained Dagger,3
1140400,Fire Bloodstained Dagger,3
1140500,Flame Art Bloodstained Dagger,3
1140600,Lightning Bloodstained Dagger,3
1140700,Sacred Bloodstained Dagger,3
1140800,Magic Bloodstained Dagger,3
1140900,Cold Bloodstained Dagger,3
1141000,Poison Bloodstained Dagger,3
1141100,Blood Bloodstained Dagger,3
1141200,Occult Bloodstained Dagger,3
1150000,Erdsteel Dagger,3
1150100,Heavy Erdsteel Dagger,3
1150200,Keen Erdsteel Dagger,3
1150300,Quality Erdsteel Dagger,3
1150400,Fire Erdsteel Dagger,3
1150500,Flame Art Erdsteel Dagger,3
1150600,Lightning Erdsteel Dagger,3
1150700,Sacred Erdsteel Dagger,3
1150800,Magic Erdsteel Dagger,3
1150900,Cold Erdsteel Dagger,3
1151000,Poison Erdsteel Dagger,3
1151100,Blood Erdsteel Dagger,3
1151200,Occult Erdsteel Dagger,3
1160000,Blade of Calling,3
1190000,,3
