Row ID;Row Name;disableParam_NT;ReverbType;BgmBehaviorTypeOnStart;OneShotBgmBehaviorOnStart;PostPlaySeId;PostPlaySeIdForSkip;EnterMapMuteStopTimeOnDrawCutscene
0;;0;0;0;0;-1;-1;-1;
10000010;;0;1;2;0;-1;-1;1;
10000020;;1;1;2;0;-1;-1;1;
10000030;;1;1;2;0;-1;-1;1;
10000040;;1;1;2;0;999999002;999999002;-1;
10000050;;1;1;0;0;-1;-1;1;
10010000;;1;1;2;0;999999003;999999003;-1;
10010001;;1;1;2;0;999999003;999999003;-1;
10010010;;1;1;2;0;999999003;999999003;-1;
11000040;;1;1;2;0;-1;-1;1;
11050010;;1;1;2;0;-1;-1;1;
11050020;;1;1;2;0;-1;-1;1;
12010000;;1;5;2;0;999999002;999999002;1;
12010001;;1;5;2;0;999999100;999999100;1;
12020000;;1;5;2;0;999999002;999999002;1;
12020001;;1;5;2;0;999999100;999999100;1;
12020020;;1;5;2;0;-1;-1;1;
12020021;;1;5;2;0;-1;-1;1;
12020022;;1;5;2;0;-1;-1;1;
12030010;;1;5;2;0;999999002;999999002;1;
12030011;;1;5;2;0;999999100;999999100;1;
12030020;;1;5;2;0;-1;-1;1;
12030021;;1;5;2;0;-1;-1;1;
12050020;;1;5;2;0;-1;-1;1;
12060000;;1;5;2;0;-1;-1;1;
13000010;;1;1;2;0;-1;-1;1;
13000040;;1;1;2;0;-1;555555556;1;
13000050;;1;1;2;0;999999000;999999010;1;
13000052;;1;1;2;0;-1;-1;1;
13000054;;1;1;2;0;-1;-1;1;
13000055;;1;1;2;0;-1;-1;1;
13000056;;1;1;2;0;-1;-1;1;
13000058;;1;1;2;0;-1;-1;1;
13000060;;1;1;2;0;-1;-1;1;
14000000;;1;5;2;0;-1;-1;1;
14000001;;1;5;2;0;-1;-1;1;
14000010;;1;5;2;0;-1;-1;1;
15000000;;1;1;2;0;-1;-1;1;
15000010;;1;1;2;0;-1;-1;1;
15000020;;1;1;2;0;-1;-1;1;
16000000;;1;1;2;0;-1;-1;1;
16000010;;1;1;2;0;-1;-1;1;
16000020;;1;1;2;0;-1;-1;1;
19000000;;1;1;2;0;-1;-1;1;
19000010;;1;5;2;0;999999005;999999015;-1;
19000011;;1;1;2;0;999999005;999999015;-1;
19000015;;1;1;2;0;999999005;999999015;-1;
19000019;;1;1;2;0;999999005;999999015;-1;
19000020;;1;5;2;0;999999005;999999015;-1;
19000021;;1;5;2;0;999999005;999999015;-1;
19000030;;1;5;2;0;999999005;999999015;-1;
19000031;;1;1;2;0;999999005;999999015;-1;
19000032;;1;1;2;0;999999005;999999015;-1;
19000034;;1;1;2;0;999999005;999999015;-1;
19000040;;1;1;2;0;-1;-1;1;
19000050;;1;1;2;0;-1;-1;1;
19000060;;1;1;2;0;999999005;999999015;-1;
19000061;;1;1;2;0;999999005;999999015;-1;
19000069;;1;1;2;0;999999005;999999015;-1;
19000070;;1;1;2;0;999999005;999999015;-1;
19000071;;1;1;2;0;999999005;999999015;-1;
19000079;;1;1;2;0;999999005;999999015;-1;
19000080;;1;1;2;0;999999005;999999015;-1;
19000081;;1;1;2;0;999999005;999999015;-1;
19000089;;1;1;2;0;999999005;999999015;-1;
31000000;;1;5;2;0;-1;-1;1;
31000001;;1;5;2;0;-1;-1;1;
34100000;;1;1;2;0;-1;-1;1;
34100002;;1;1;2;0;-1;-1;1;
34110000;;1;1;2;0;-1;-1;1;
34110001;;1;1;2;0;-1;-1;1;
34110010;;1;1;2;0;-1;-1;1;
34130000;;1;1;2;0;-1;-1;1;
34130002;;1;1;2;0;-1;-1;1;
35000000;;1;1;2;0;-1;-1;1;
35000010;;1;1;0;0;-1;-1;1;
35000020;;1;1;0;0;-1;-1;1;
60370000;;1;1;2;0;-1;-1;1;
60380000;;1;1;2;0;999999012;999999012;1;
60380001;;1;1;2;0;999999100;999999100;1;
60380010;;1;1;2;0;999999012;999999012;1;
60380011;;1;1;2;0;999999100;999999100;1;
60420000;;0;1;2;0;-1;-1;1;
60420001;;0;1;2;0;-1;-1;1;
60420002;;0;1;2;0;-1;-1;1;
60420003;;0;1;2;0;-1;-1;1;
60420004;;0;1;2;0;-1;-1;1;
60420005;;0;1;2;0;-1;-1;1;
60420006;;0;1;2;0;-1;-1;1;
60420007;;0;1;2;0;-1;-1;1;
60430000;;1;5;2;0;999999100;999999100;-1;
60490000;;1;1;2;0;999999012;999999012;1;
60490001;;1;1;2;0;999999100;999999100;1;
60490010;;1;1;2;0;999999012;999999012;1;
60490011;;1;1;2;0;999999100;999999100;1;
60490020;;1;1;2;0;999999012;999999012;1;
60490021;;1;1;2;0;999999100;999999100;1;
60490030;;1;1;2;0;999999012;999999012;1;
60490031;;1;1;2;0;999999100;999999100;1;
60500000;;1;1;0;0;-1;-1;1;
60510000;;1;1;2;0;-1;-1;1;
60510010;;1;1;2;0;-1;-1;1;
60510011;;1;1;2;0;-1;-1;1;
60520010;;1;1;2;0;-1;-1;1;
60540000;;1;1;2;0;999999000;999999010;1;
60540001;;1;1;2;0;999999000;999999010;1;
60540010;;1;1;2;0;999999100;999999100;1;
60540011;;1;1;2;0;999999100;999999100;1;
90000010;;1;1;0;0;-1;-1;1;
90009999;;1;1;0;0;-1;-1;1;
