Row ID;Row Name;Equip ID;Value;Material ID;Event Flag;QWC ID;Quantity Available;Shop Type;Equip Type;Value (SAN);Quantity Produced;Unk2;Unk3;Price Rate;Unk4;Shop Description Item;Unk5;Unk6;Unk7;Unk8;Unk9
1;;240;100;-1;0;0;-1;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
1000;;290;100000;-1;0;0;-1;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
1001;;292;100000;-1;0;0;-1;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
1002;;240;100000;-1;0;0;-1;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
1003;;201000;100000;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100000;[Gatekeeper Gostoc] Festering Bloody Finger;111;1000;-1;100000;0;2;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100002;[Gatekeeper Gostoc] Ruin Fragment;1760;100;-1;100020;0;5;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100004;[Gatekeeper Gostoc] Buckler;30000000;1500;-1;100040;0;1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100009;[Gatekeeper Gostoc] Furlcalling Finger Remedy;150;1000;-1;100090;0;4;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100010;[Gatekeeper Gostoc] Silver-Pickled Fowl Foot;1190;2000;-1;100100;0;3;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100011;[Gatekeeper Gostoc] Stormhawk Feather;15430;500;-1;100110;0;5;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100012;[Gatekeeper Gostoc] Caestus;21000000;800;-1;100120;0;1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100013;[Gatekeeper Gostoc] Great Arrow;51000000;300;-1;100130;0;5;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100014;[Gatekeeper Gostoc] Ballista Bolt;53000000;300;-1;100140;0;5;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100015;[Gatekeeper Gostoc] Bandit Manchettes;930200;1000;-1;100150;0;1;0;1;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100016;[Gatekeeper Gostoc] Bandit Boots;930300;1000;-1;100160;0;1;0;1;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100017;[Gatekeeper Gostoc] Bandit Garb;931100;1500;-1;100170;0;1;0;1;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
100018;;10140;20000;-1;100180;10009516;1;0;3;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
