Row ID;Row Name;Unk0;Sort ID;Unk1;Display Category ID;Unk3;Unk4;Unk5;Unk6;Sword Arts ID;Unk7;Unk8;Unk9;Unk10;Unk11;Base Affinity Set;Additional Affinity;Available: Dagger;Available: Straight Sword;Available: Greatsword;Available: Colossal Sword;Available: Curved Sword;Available: Curved Greatsword;Available: Katana;Available: Twinblade;Available: Thrusting Sword;Available: Heavy Thrusting Sword;Available: Hammer;Available: Great Hammer;Available: Axe;Available: Greataxe;Available: Flail;Available: Spear;Available: Unknown 1;Available: Great Spear;Available: Halberd;Available: Reaper;Available: Fist;Available: Claw;Available: Whip;Available: Colossal Weapon;Available: Light Bow;Available: Bow;Available: Greatbow;Available: Crossbow;Available: Unknown 2;Available: Staff;Available: Unknown 3;Available: Unknown 4;Available: Small Shield;Available: Medium Shield;Available: Greatshield;Available: Torch;Unk94;Unk95;Unk96;Unk97;Unk16;Unk17;Unk18;Unk19;Unk20;Compatibility - Text ID;Unk22;Unk23
10;test gem 1;1;0;0;255;-1;-1;-1;0;101;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
20;test gem 2;1;0;0;255;100;-1;-1;0;-1;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
30;test gem 3;1;0;0;255;-1;-1;-1;0;-1;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
40;Ash of War: Lion's Claw;1;21000;0;255;2300;2810;-1;710600;100;0;100;0;999999;-1;67583;103;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;2300;2810;-1;-1;-1;-1;0;0
41;Ash of War: Lion's Claw;1;21001;0;255;-1;-1;-1;710600;100;0;100;0;999999;-1;67583;103;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;6405;6505;6405;6505;-1;-1;0;0
80;Ash of War: Lion's Claw;1;0;0;255;-1;-1;-1;0;100;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
81;Ash of War: Lion's Claw;1;0;0;255;-1;-1;-1;0;100;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
82;Ash of War: Lion's Claw;1;0;0;255;-1;-1;-1;0;100;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
83;Ash of War: Lion's Claw;1;0;0;255;-1;-1;-1;0;100;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
84;Ash of War: Lion's Claw;1;0;0;255;-1;-1;-1;0;100;0;0;-1;999999;-1;2047;98;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;-1;-1;-1;-1;-1;-1;0;0
