Row ID,Row Name,AtkParam ID,Projectile FX ID,Impact FX ID,Flick FX ID,Duration,Attenuation Range,Shoot Interval,Gravity: In Range,Gravity: Out of Range,Homing Stop Range,Initial Velocity,Acceleration: In Range,Acceleration: Out of Range,Max Velocity,Min Velocity,Acceleration Duration,Homing Start Distance,Initial Hit Radius,Final Hit Radius,Radius Spread Time,Explosion Delay,Homing Offset Range,Hitbox Duration,External Force,Owner SpEffect ID,Bullet AI,Hit Bullet ID,Target SpEffect ID 0,Target SpEffect ID 1,Target SpEffect ID 2,Target SpEffect ID 3,Target SpEffect ID 4,Bullet Count,Homing Angle,Horizontal Shoot Angle,Shoot Angle - Horizontal Interval,Shoot Angle - Vertical Interval,Damage Falloff: Physical,Damage Falloff: Magic,Damage Falloff: Fire,Damage Falloff: Lightning,Damage Falloff: Stamina,Damage Falloff: Knockback,Vertical Shoot Angle,Lock Shoot Limit Angle,Is Object Penetration,Previous Velocity Direction Rate,Attack Attribute,Effect Attribute,Material Attack Type,Material Attack Material,Material Size,Launch Condition Type,Follow Type: Soulmass,Follow Type: Catalyst,Follow Type: Follow Floor,Emitter Type: Player Feet,Emitter Type: Parent Bullet,Emitter Type: Nearest Enemy Feet,Persistent Attack FX,Continuous Hitbox,Penetrate Map,Hit Both Teams,Use Shared Hit List,Use Multiple Model Points,Attach Effect Type 0,Attach Effect Type 1,Can be Deflected by Magic,Ignore FX On Water Hit,Ignore State Transition On Water Hit,Can Be Deflected By Bullet Deflection,Transfer Effect to Child Bullet,Transfer Speed to Child Bullet,Is Lock Module,Is Search For Target,Is Emitted Bullet,Transfer Duration to Child Bullet,Damage Falloff: Dark Damage,Bullet Hit Type 0,Bullet Hit Type 1,Sp Homing Y Angle,Emitted Bullet - Random Angle XZ,Emitted Bullet - Random Angle Y,Bullet Emitter: Bullet ID,Bullet Emitter: Shoot Interval 1,Bullet Emitter: Initial Shoot Interval,Sp Homing Y Angle For Enemy,Bullet Emitter: Shoot Interval 2,Launch Type,Limit Bullet Param ID,Counter Hit Type,Is Position Hit Bullet,Is Attach Attack SFX,Is Sp Correction 0,Is Sp Correction 1,Is Penetrate Target,Is Sp Correction 2,Is Disable Int Scale,Unk1,Emitter Position Radius,Hit Object ID,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12a,Unk12b,Unk13,Unk14,Unk15,Unk16a,Unk16b,Unk17,Unk18,Unk19,Unk20,Unk21
0,,0,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,0,0,254,254,0,6,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
1,,200000,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,0,0,3,10,0,6,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
2,,1001,21313,-1,-1,-1,30,0,0,0,0,15,0,0,1,1,0,0,0.3,-1,0,0,0,0,0,0,80100000,101,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,45,0,0,3,10,0,6,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
3,,362,15139,-1,-1,1,0,0,0,0,0,25,0,0,50,0,0,0,0.5,3.5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-30,0,0,0,0,0,0,0,0,0,45,0,0,3,11,0,6,3,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
4,,4,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3,254,0,6,3,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
10,,0,300111,300112,-1,-1,99999,0,10,10,0,25,0,0,999,0,0,0,0.08,-1,0,0,0,0,0,0,0,116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,15,0,0,3,11,0,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,1,0,-1,-1,-1,-1,60,80,20,30,-1,0,-1,0,1,0,0,0
65,,994,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
66,,995,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
67,,996,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
68,,997,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
