Row ID;Row Name;SpEffect 4
1200020;;7060
1200030;;7080
1200041;;7080
10006050;;7120
20108562;Baleful Shadow;7110
20109010;Blaidd the Half-Wolf;7010
20109020;Blaidd the Half-Wolf;7060
20109040;Blaidd the Half-Wolf;7070
20109064;Blaidd the Half-Wolf;7060
20109110;Blaidd the Half-Wolf;7010
20109120;Blaidd the Half-Wolf;7110
20109140;Blaidd the Half-Wolf;13941
20109210;Blaidd the Half-Wolf;7090
20109240;Blaidd the Half-Wolf;7070
20109310;Blaidd the Half-Wolf;7010
20109410;Blaidd the Half-Wolf;7010
20300024;Rennala, Queen of the Full Moon;7070
20300124;Rennala, Queen of the Full Moon;7070
20310024;Rennala, Queen of the Full Moon;7070
20310124;Rennala, Queen of the Full Moon;7070
20400024;Rennala Student;7070
20401024;Rennala Student;7070
20402024;Rennala Student;7070
20402124;Rennala Student;7070
20402224;Rennala Student;7070
20403024;Rennala Student;7070
20404024;Rennala Student;7070
20410040;Rennala Student - Bug Form;7070
20410056;Rennala Student - Bug Form;7190
20500010;Rennai the Witch;7010
20500020;Ranni the Witch;7060
20500122;Ranni the Witch;7130
20500178;Ranni the Witch;7160
20501022;Ranni the Witch;7130
20501122;Ranni the Witch;7130
21000034;Black Knife Assassin;7100
21000052;Black Knife Assassin;7160
21000735;Black Knife Assassin;7130
21000820;Black Knife Assassin;7060
21000830;Black Knife Assassin;7100
21000930;Black Knife Assassin;7080
21001010;Black Knife Assassin;7010
21002922;Black Knife Assassin;7150
21009020;Black Knife Assassin;7060
21100072;Beast Clergyman;7150
21101072;Beast Clergyman;7150
21109042;Gurranq, Beast Clergyman;7150
21200056;Malenia, Blade of Miquella;7200
21202056;Malenia, Blade of Miquella;7200
21203056;Malenia, Blade of Miquella;7200
21300014;Morgott;7030
21300033;Morgott;7090
21300534;Morgott;7110
21310034;Morgott - Dead;7100
21400012;Omen Monstrosity;7020
21400030;Omen Monstrosity;7080
21400034;Omen Monstrosity;7100
21400035;Omen Monstrosity;7130
