Row ID;Row Name;Weapon Effect Conditional 1
1010;Impact;108
1011;;108
1012;;108
1013;;108
1020;;108
1021;;108
1022;;108
1023;;108
1024;;108
1025;;108
1030;;108
1031;;108
1032;;108
1033;;108
1040;;108
1041;;108
1042;;108
1043;;108
1044;;108
1045;;108
1070;;108
1071;;108
1072;;108
1080;;108
1081;;108
1090;;108
1091;;108
1100;;108
1101;;108
1102;;108
1110;;108
1111;;108
1120;;108
1125;;108
1130;;108
1131;;108
1135;;108
1140;;108
1141;;108
1142;;108
1145;;108
1400;;108
1401;;108
1403;;108
1410;;108
1800;;109
1810;;109
1820;;109
40201;Comet;110
40211;Comet;110
40212;Comet [Hit];110
40301;Shard Spiral [Hit];110
40405;Glintstone Stars;110
40406;Glintstone Stars;110
40407;Glintstone Stars;110
40510;Star Shower;110
40511;Star Shower;110
40512;Star Shower;110
40513;Star Shower;110
40514;Star Shower;110
40515;Star Shower;110
40805;Cannon of Haima;110
40806;Cannon of Haima;110
40905;Crystal Burst;110
42105;Founding Rain of Stars;110
42210;Stars of Ruin;110
42211;Stars of Ruin;110
42212;Stars of Ruin;110
42213;Stars of Ruin;110
42214;Stars of Ruin;110
42215;Stars of Ruin;110
42216;Stars of Ruin;110
42217;Stars of Ruin;110
43706;Magic Downpour;110
43707;Magic Downpour;110
43708;Magic Downpour;110
43709;Magic Downpour;110
43710;Magic Downpour;110
43711;Magic Downpour;110
43805;Loretta's Greatbow;110
43806;Loretta's Greatbow;110
43815;Loretta's Mastery;110
43816;Loretta's Mastery;110
43905;Magic Glintblade;110
44105;Zamor Ice Storm;110
44106;Zamor Ice Storm;110
44205;Freezing Mist;110
44505;Carian Piercer;110
44506;Carian Piercer;110
45005;Shattering Crystal;110
45006;Shattering Crystal;110
45007;Shattering Crystal;110
46201;Night Comet;110
46202;Night Comet;110
47205;Gravity Well;110
47215;Collapsing Stars;110
47216;Collapsing Stars;110
48005;Magma Shot;110
48006;Magma Shot;110
48007;Magma Shot;110
48210;Roiling Magma;110
48211;Roiling Magma;110
48212;Roiling Magma;110
48213;Roiling Magma;110
48214;Roiling Magma;110
48215;Roiling Magma;110
48216;Roiling Magma;110
50005;Rancorcall;110
50015;Ancient Death Rancor;110
50016;Ancient Death Rancor;110
50205;Fia's Mist;110
50405;Death Lightning;110
