Row ID;Row Name;Unk39
1000;;0
1100;;0
1200;;10
1210;;10
1220;;10
1230;;10
1240;;10
1250;;10
1260;;10
1400;;10
1410;;10
1420;;10
1430;;10
1500;;10
1600;;10
1700;;10
1800;;10
1900;;10
2000;;10
2100;;10
2200;;0
11000;;7
12000;;7
13000;;7
100000;;7
100100;;7
100200;;7
100300;;7
100400;;7
100500;;7
100600;;7
100700;;7
100800;;7
100900;;7
101000;;7
110000;Unarmed;10
170000;Throwing Dagger;10
171000;Bone Dart;10
172000;Poisonbone Dart;10
173000;Kukri;10
174000;Crystal Dart;10
175000;Fan Daggers;10
176000;Ruin Fragment;10
183000;Explosive Stone;10
183100;Explosive Stone Clump;10
184000;Poisoned Stone;10
184100;Poisoned Stone Clump;10
300000;Ancestral Infant's Head;10
301000;Omen Bairn;10
301100;Regal Omen Bairn;10
302000;Miranda's Prayer;10
303000;Cuckoo Glintstone;10
305000;Glintstone Scrap;10
305100;Large Glintstone Scrap;10
306000;Gravity Stone Fan;10
307000;Gravity Stone Chunk;10
308000;Wraith Calling Bell;10
351000;Spark Aromatic;10
358000;Poison Spraymist;10
361000;Acid Spraymist;10
830000;Fire Pot;10
830100;Redmane Fire Pot;10
830200;Giantsflame Fire Pot;10
832000;Lightning Pot;10
832100;Ancient Dragonbolt Pot;10
833000;Fetid Pot;10
834000;Swarm Pot;10
835000;Holy Water Pot;10
835100;Sacred Order Pot;10
836000;;10
837000;Poison Pot;10
840000;Roped Fire Pot;10
842000;Roped Lightning Pot;10
843000;Roped Fetid Pot;10
844000;Roped Poison Pot;10
846000;Roped Magic Pot;10
847000;Roped Fly Pot;10
848000;;10
849000;Roped Volcano Pot;10
851000;Roped Holy Water Pot;10
860000;Volcano Pot;10
864000;Sleep Pot;10
865000;Rancor Pot;10
866000;Magic Pot;10
866100;Academy Magic Pot;10
867000;;10
1000000;Dagger;6
1000100;Heavy Dagger;6
1000200;Keen Dagger;6
1000300;Quality Dagger;6
1000400;Fire Dagger;6
1000500;Flame Art Dagger;6
1000600;Lightning Dagger;6
1000700;Sacred Dagger;6
1000800;Magic Dagger;6
1000900;Cold Dagger;6
1001000;Poison Dagger;6
1001100;Blood Dagger;6
1001200;Occult Dagger;6
1010000;Black Knife;6
1020000;Parrying Dagger;6
1020100;Heavy Parrying Dagger;6
1020200;Keen Parrying Dagger;6
1020300;Quality Parrying Dagger;6
1020400;Fire Parrying Dagger;6
1020500;Flame Art Parrying Dagger;6
1020600;Lightning Parrying Dagger;6
1020700;Sacred Parrying Dagger;6
1020800;Magic Parrying Dagger;6
1020900;Cold Parrying Dagger;6
1021000;Poison Parrying Dagger;6
1021100;Blood Parrying Dagger;6
1021200;Occult Parrying Dagger;6
1030000;Misericorde;6
1030100;Heavy Misericorde;6
1030200;Keen Misericorde;6
1030300;Quality Misericorde;6
1030400;Fire Misericorde;6
1030500;Flame Art Misericorde;6
1030600;Lightning Misericorde;6
1030700;Sacred Misericorde;6
1030800;Magic Misericorde;6
1030900;Cold Misericorde;6
1031000;Poison Misericorde;6
1031100;Blood Misericorde;6
1031200;Occult Misericorde;6
1040000;Reduvia;6
1040001;;6
1050000;Crystal Knife;6
1060000;Celebrant's Sickle;6
1060100;Celebrant's Heavy Sickle;6
1060200;Celebrant's Keen Sickle;6
1060300;Celebrant's Quality Sickle;6
1060400;Celebrant's Fire Sickle;6
1060500;Celebrant's Flame Art Sickle;6
1060600;Celebrant's Lightning Sickle;6
1060700;Celebrant's Sacred Sickle;6
1060800;Celebrant's Magic Sickle;6
1060900;Celebrant's Cold Sickle;6
1061000;Celebrant's Poison Sickle;6
1061100;Celebrant's Blood Sickle;6
