Row ID;Row Name;a000_leftArmFB;a000_leftWristFB;a000_leftWristIO;a002_leftArmFB;a002_leftWristFB;a002_leftWristIO;a003_leftArmFB;a003_leftWristFB;a003_leftWristIO
0;;0;0;0;0;0;0;0;0;0;
1;;-10;25;5;-10;25;5;-10;25;5;
2;;0;0;0;0;0;0;0;0;0;
3;;0;0;0;0;0;0;0;0;0;
4;;-5;15;10;-5;15;10;-5;15;10;
5;;5;-25;15;5;-25;15;5;-25;15;
6;;-10;40;-20;-10;40;-20;-10;40;-20;
7;;-10;15;5;-10;15;5;-10;15;5;
8;;-10;20;10;-10;20;10;-10;20;10;
9;;0;0;0;0;0;0;0;0;0;
100;;0;0;0;0;0;0;0;0;0;
101;;0;0;0;0;0;0;0;0;0;
102;;0;0;0;0;0;0;0;0;0;
103;;0;0;0;0;0;0;0;0;0;
104;;0;0;0;0;0;0;0;0;0;
105;;0;0;0;0;0;0;0;0;0;
106;;0;0;0;0;0;0;0;0;0;
107;;0;0;0;0;0;0;0;0;0;
108;;0;0;0;0;0;0;0;0;0;
109;;0;0;0;0;0;0;0;0;0;
200;;0;0;0;0;0;0;0;0;0;
201;;-10;25;5;-10;25;5;-10;25;5;
202;;0;0;0;0;0;0;0;0;0;
203;;-20;60;-20;-20;60;-20;-20;60;-20;
204;;10;-6;10;10;-6;10;10;-6;10;
205;;5;-15;15;5;-15;15;5;-15;15;
206;;-10;35;0;-10;35;0;-10;35;0;
207;;-10;15;0;-10;15;0;-10;15;0;
208;;-10;20;10;-10;20;10;-10;20;10;
209;;0;0;0;0;0;0;0;0;0;
