Row ID;Row Name;lodRange;lod0ClusterType;lod1ClusterType;lod2ClusterType;distributionType;baseDensity;model0Name;flatTextureName;billboardTextureName;normalInfluence;inclinationMax;inclinationJitter;scaleBaseMin;scaleBaseMax;scaleHeightMin;scaleHeightMax;colorShade1_r;colorShade1_g;colorShade1_b;colorShade2_r;colorShade2_g;colorShade2_b;flatSplitType;flatBladeCount;flatSlant;flatRadius;castShadow;windAmplitude;windCycle;orientationAngle;orientationRange;spacing;dithering;simpleModelName;model1Name
2;;0;1;3;2;0;1;AEG001_254;AET005_004_a;AET005_004_a;90;30;10;90;120;90;130;255;255;255;255;255;255;0;3;0;0;1;80;40;-1;-1;0;0;;;
3;;0;4;4;2;0;1;AEG001_264;AET005_004_a;AET005_004_a;95;30;5;90;120;90;150;255;255;255;255;255;255;0;2;0;0;1;80;40;-1;-1;0;0;AEG001_264;;
3;;0;1;2;0;0;1;AEG001_254;AET005_004_a;AET005_004_a;85;30;5;90;120;90;110;255;255;255;255;255;255;0;4;0;0;1;80;40;-1;-1;0;0;;;
4;;0;3;2;0;0;1;AEG001_254;AET005_004_a;AET005_004_a;90;30;5;90;120;90;120;255;255;255;255;255;255;1;4;-30;0.4;1;80;40;-1;-1;0;0;;;
5;;0;3;2;0;0;1;AEG001_254;AET005_004_a;AET005_004_a;90;30;5;90;120;90;120;255;255;255;255;255;255;1;3;30;0.4;1;80;40;-1;-1;0;0;;;
6;;0;1;2;0;1;1;AEG001_254;AET005_004_a;AET005_004_a;90;30;5;90;120;90;120;255;255;255;255;255;255;0;2;0;0;1;80;40;-1;-1;2;0;;;
7;;10;1;5;0;0;1;AEG001_254;AET005_004_a;AET005_004_a;90;30;0;85;110;75;150;180;180;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;AEG001_254;AEG001_255;
8;;11;1;5;0;0;1;AEG001_245;AET005_004_a;AET005_004_a;90;30;0;60;110;20;105;180;180;100;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;AEG001_284;AEG001_256;
9;;2;1;2;0;0;1;AEG001_266;AET005_004_a;AET005_004_a;90;30;0;95;105;95;105;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
10;;0;1;2;0;0;2;AEG001_267;AET005_031_a;AET005_031_a;98;5;0;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
11;;0;1;2;0;0;2;AEG001_268;AET005_031_a;AET005_031_a;98;5;0;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
12;;0;1;2;0;0;2;AEG001_269;AET005_031_a;AET005_031_a;100;0;0;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
13;;0;1;2;0;0;1;AEG001_270;AET005_031_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
14;;0;1;2;0;0;1;AEG001_271;AET005_031_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
15;;0;1;2;0;0;1;AEG001_272;AET005_031_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
16;;0;1;2;0;0;1;AEG001_273;AET005_031_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
17;;0;1;2;0;0;1;AEG001_274;AET005_007_a;AET005_013_a;100;30;5;65;85;65;85;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
18;;0;1;2;0;0;1;AEG001_275;AET005_008_a;AET005_014_a;100;30;5;65;80;65;80;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
19;;0;1;2;0;0;1;AEG001_276;AET005_006_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
20;;0;1;2;0;0;1;AEG001_278;AET005_007_a;AET005_013_a;100;30;5;65;85;65;85;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
21;;0;1;2;0;0;1;AEG001_279;AET005_008_a;AET005_014_a;100;30;5;65;80;65;80;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
22;;0;1;2;0;0;1;AEG001_282;AET005_004_a;AET005_004_a;90;30;0;95;105;95;105;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
23;;0;1;2;0;0;1;AEG001_283;AET005_004_a;AET005_004_a;90;30;0;95;105;95;105;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
24;;0;1;2;0;0;1;AEG001_240;AET003_904_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
25;;0;1;2;0;0;5;AEG001_240;AET003_904_a;AET005_031_a;100;30;5;65;100;65;100;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
26;;0;1;2;0;0;1;AEG001_003;AET005_020_a;AET005_021_a;90;30;0;95;105;95;105;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
27;;0;1;2;0;0;1;AEG001_250;AET005_015_a;AET005_016_a;90;30;0;95;105;95;105;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
28;;0;1;2;0;0;1;AEG001_251;AET005_017_a;AET005_018_a;100;30;5;65;80;65;80;255;255;255;255;255;255;0;2;0;0;0;80;40;-1;-1;0;0;;;
