Row ID;Row Name;Weather SFX ID;Wind SFX ID;Ground Hit SFX ID;Sound ID;Wet Time;GPARAM ID;Next Weather Lot - Min Duration;Next Weather Lot - Max Duration;Wet SpEffect [0];Wet SpEffect [1];Wet SpEffect [2];Wet SpEffect [3];Wet SpEffect [4];Weather SFX - Indoors Only - SFX ID;Weather SFX - Outdoors Only - SFX ID;AI Sight Rate;Overwrite Weight Valuue in Distant View Camera
0;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
1;;-1;808006;-1;-1;-1;1;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
10;;-1;808006;-1;-1;-1;10;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
11;;-1;808006;-1;-1;-1;11;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
20;;806100;808006;1004010;806100;20;20;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
21;;806100;808006;1004010;806100;20;20;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
30;;806130;808004;1004010;806130;20;30;2400;5200;4652;4602;-1;-1;-1;-1;806132;0.8;0.3
31;;-1;808007;-1;-1;-1;31;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.05
40;;806120;808006;-1;-1;20;40;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
41;;806121;808006;-1;-1;20;40;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
50;;-1;808006;-1;-1;-1;50;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
51;;-1;808006;-1;-1;-1;51;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
52;;806100;808006;1004010;806100;20;51;3600;7200;4650;4600;-1;-1;-1;-1;-1;0.8;0.3
60;;-1;808004;-1;-1;-1;60;2400;5200;-1;-1;-1;-1;-1;-1;-1;1;-1
81;;806125;808006;-1;-1;20;81;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
82;;806130;808006;1004010;806120;20;82;3600;7200;-1;-1;-1;-1;-1;-1;806132;1;0.3
83;;806120;808006;-1;-1;20;83;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
99;;-1;808006;-1;-1;-1;99;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
1001;;-1;808006;-1;-1;-1;621;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
1010;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
1011;;-1;808006;-1;-1;-1;622;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
1020;;806100;808006;1004010;806100;20;623;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
1021;;806100;808006;1004010;806100;20;623;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
1040;;806170;808006;-1;-1;-1;624;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
1050;;-1;808006;-1;-1;-1;625;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
1051;;-1;808006;-1;-1;-1;626;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
1052;;806100;808006;1004010;806100;20;626;3600;7200;4650;4600;-1;-1;-1;-1;-1;0.8;0.3
2010;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
2011;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
2020;;806100;808006;1004010;806100;20;642;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
2021;;806100;808006;1004010;806100;20;642;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
2110;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
2111;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3010;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3011;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3101;;-1;808006;-1;-1;-1;671;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3110;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3111;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
3120;;806102;808006;1004010;806100;20;672;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;-1
4000;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4010;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4011;;816021;808006;-1;-1;-1;682;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4040;;806120;808006;-1;-1;20;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
