Row ID;Row Name;Disable Param - Network Test;Map Region ID
10000000;;False;1000
10010000;;True;1001
11000000;;True;1100
11050000;;True;1105
11100000;;True;1110
11710000;;True;1171
12010000;;True;1201
12020000;;True;1202
12030000;;True;1203
12040000;;True;1204
12050000;;True;1205
12060000;;True;1206
12070000;;True;1207
12080000;;True;1208
13000000;;True;1300
14000000;;True;1400
15000000;;True;1500
16000000;;True;1600
18000000;;False;1800
19000000;;True;1900
30000000;;True;3000
30010000;;True;3001
30020000;;False;3002
30030000;;True;3003
30040000;;False;3004
30050000;;True;3005
30060000;;True;3006
30070000;;True;3007
30080000;;True;3008
30090000;;True;3009
30100000;;True;3010
30110000;;True;3011
30120000;;True;3012
30130000;;True;3013
30140000;;True;3014
30150000;;True;3015
30160000;;True;3016
30170000;;True;3017
30180000;;True;3018
30190000;;True;3019
30200000;;True;3020
31000000;;True;3100
31010000;;True;3101
31020000;;True;3102
31030000;;False;3103
31040000;;True;3104
31050000;;True;3105
31060000;;True;3106
31070000;;True;3107
31080000;;True;3108
31090000;;True;3109
31100000;;True;3110
31110000;;True;3111
31120000;;True;3112
31130000;;True;3113
31140000;;True;3114
31150000;;False;3115
31170000;;True;3117
31180000;;True;3118
31190000;;True;3119
31200000;;True;3120
31210000;;True;3121
31220000;;True;3122
32000000;;True;3200
32010000;;False;3201
32020000;;True;3202
32030000;;True;3203
32040000;;True;3204
32050000;;True;3205
32060000;;True;3206
32070000;;True;3207
32080000;;True;3208
32090000;;True;3209
32100000;;True;3210
32110000;;True;3211
32120000;;True;3212
34100000;;True;3410
34110000;;True;3411
34120000;;True;3412
34130000;;True;3413
34140000;;True;3414
34150000;;True;3415
34160000;;True;3416
35000000;;True;3500
39200000;;True;3920
50523700;;True;31
60081002;;True;10
60081102;;True;10
60081202;;True;10
60091002;;True;10
60091102;;True;10
60182401;;True;10
60191901;;True;10
60192401;;True;10
60202001;;True;10
60202201;;True;10
60232001;;True;30
60241801;;True;30
60241901;;True;30
60242001;;True;30
60251701;;True;30
60251801;;True;30
60251901;;True;30
60252001;;True;30
60252101;;True;30
60252201;;True;30
60261701;;True;30
60261801;;True;31
60261901;;True;31
60262001;;True;30
60262101;;True;30
60262201;;True;30
60345200;;True;21
60345300;;True;21
60345400;;True;21
60345500;;True;21
60355200;;True;21
60355300;;True;21
60355400;;True;21
60355500;;True;21
60365000;;True;10
60365100;;True;20
60365200;;True;21
60365300;;True;21
60365400;;True;21
60365500;;True;21
60375000;;True;10
60375100;;True;20
60375200;;True;21
60375300;;True;21
60375400;;True;21
60375500;;True;21
60385000;;True;10
60385100;;True;20
60385200;;True;20
60385300;;True;21
60385400;;True;21
60385500;;True;21
60395000;;True;20
60395100;;True;20
60395200;;True;20
60395300;;True;20
60395400;;True;20
60395500;;True;20
60405000;;True;20
60405100;;True;20
60405200;;True;20
60405300;;True;20
60405400;;True;20
60405500;;True;20
60414900;;True;20
60415000;;True;20
60415100;;True;20
60415200;;True;20
60415300;;True;20
60415400;;True;20
60415500;;True;20
60424900;;True;20
60425000;;True;20
60425100;;True;20
60425200;;True;20
60425300;;True;20
60425400;;True;20
60425500;;True;20
60434900;;True;20
60435000;;True;20
60435100;;True;20
60435200;;True;20
60435300;;True;20
60435400;;True;20
60435500;;True;20
60444900;;True;20
60445000;;True;20
60445100;;True;20
60445200;;True;20
60445300;;True;20
60445400;;True;20
60445500;;True;20
60454900;;True;20
60455000;;True;20
60455100;;True;20
60455200;;True;20
60455300;;True;20
60455400;;True;20
60455500;;True;20
60464900;;True;20
60465000;;True;21
60465100;;True;20
60465200;;True;20
60465300;;True;20
60465500;;True;41
60465600;;True;41
60465700;;True;41
60465800;;True;41
60473600;;True;30
60473700;;True;30
60473800;;True;30
60473900;;True;30
60474200;;True;30
60474900;;True;20
60475000;;True;20
60475100;;True;42
60475400;;True;41
60475500;;True;41
60475600;;True;41
60475700;;True;41
60475800;;True;41
60485000;;True;42
60485100;;True;42
60485200;;True;42
60485300;;True;41
60485400;;True;41
60485500;;True;41
60485600;;True;41
60485700;;True;41
60485800;;True;41
60495000;;True;42
60495100;;True;42
60495200;;True;42
60495300;;True;40
60495400;;True;41
60495500;;True;41
60495600;;True;41
60495700;;True;41
60495800;;True;41
60505000;;True;42
60505200;;True;40
60505300;;True;40
60505400;;True;40
60505500;;True;40
60505600;;True;40
60505700;;True;40
60505800;;True;41
60515200;;True;40
60515300;;True;40
60515400;;True;40
60515500;;True;40
60515600;;True;40
60515700;;True;40
60515800;;True;40
60523800;;True;31
60523900;;True;31
60524000;;True;31
60525200;;True;40
60525300;;True;40
60525400;;True;40
60525500;;True;40
60525600;;True;40
60525700;;True;40
60525800;;True;40
60533700;;True;31
60533800;;True;31
60533900;;True;31
60535200;;True;40
60535300;;True;40
60535400;;True;40
60535500;;True;40
60535600;;True;40
60535700;;True;40
60535800;;True;40
60545200;;True;40
60545300;;True;40
60545400;;True;40
60545500;;True;40
60545600;;True;40
60545700;;True;40
60545800;;True;40
60555500;;True;40
60555600;;True;40
60555700;;True;40
