Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk14;Unk14;Unk14;Unk15
1000100;;10000099;0;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000101;;10000099;1;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000110;;10000099;10;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000111;;10000099;11;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000120;;10000099;20;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000121;;10000099;21;0;0;-1;-1;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000130;;10000099;30;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000131;;10000099;31;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000140;;10000099;40;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000141;;10000099;41;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000150;;10000099;50;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000151;;10000099;51;0;0;-1;-1;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000152;;10000099;52;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000160;;10000099;60;0;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000199;;10000099;99;0;0;96101;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000200;;10000099;0;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000201;;10000099;1;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000210;;10000099;10;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000211;;10000099;11;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000220;;10000099;20;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000221;;10000099;21;1;0;-1;-1;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000230;;10000099;30;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000231;;10000099;31;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000240;;10000099;40;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000241;;10000099;41;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000250;;10000099;50;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000251;;10000099;51;1;0;-1;-1;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000252;;10000099;52;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
1000260;;10000099;60;1;0;-1;96603;-1;96611;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0
