Row ID;Row Name;Sound Object - Enable Distance
3362;;8
9200;;35
27002;;8
27005;;8
99005;;35
390000;;8
600000;;8
600001;;8
700000;;8
800000;;55
800001;;55
800002;;55
800003;;55
800004;;55
800005;;55
800006;;55
800007;;55
800008;;70
800009;;70
800010;;70
800011;;70
800012;;55
800013;;55
810000;;45
810001;;35
810002;;35
810003;;35
810004;;45
810005;;45
810006;;45
810007;;35
810008;;45
810009;;35
810020;;35
810021;;35
810022;;35
810023;;35
815000;;55
815001;;55
815002;;55
815003;;55
815004;;35
815005;;35
815006;;35
815007;;35
815008;;55
815009;;55
815010;;55
820000;;55
820001;;55
820002;;55
820003;;55
820004;;55
820005;;35
820006;;35
820007;;70
820008;;70
820009;;70
820010;;55
820011;;55
820012;;55
820020;;35
820021;;50
820022;;80
820023;;80
820024;;80
820025;;110
820026;;55
830000;;55
830001;;55
830002;;55
830003;;55
830004;;55
830005;;55
830006;;55
830007;;55
830008;;55
830020;;55
840000;;35
840001;;55
840002;;35
840003;;55
840004;;55
840005;;25
850000;;35
850001;;55
850002;;55
850003;;55
850004;;55
850005;;55
850006;;55
880000;;100
890000;;100
890001;;100
890002;;100
890003;;100
900000;;80
900010;;70
900011;;110
900012;;100
900013;;100
900014;;55
900015;;100
900016;;70
900030;;190
900031;;100
900032;;55
900035;;55
930001;;55
930002;;100
930003;;70
930004;;110
930005;;-1
930006;;55
930007;;90
930008;;60
930009;;320
950000;;35
950001;;35
950002;;35
950003;;35
950004;;35
980000;;55
980001;;70
