Row ID;Row Name;Disable Param - Network Test;Contact Land on Death - SE ID;Contact Land on Death - Additional SE ID;Contact Land on Death - Play Count;Enable Play Count per Rigid Body Unit;Contact Land on Death - Min Impulse;Contact Land on Death - Min Speed;Contact Player on Death - SE ID;Contact Player on Death - Min Impulse;Contact Player on Death - Min Speed;Contact Check Rigid Index [0];Contact Check Rigid Index [1];Contact Check Rigid Index [2];Contact Check Rigid Index [4];Contact Check Rigid Index [5];Contact Check Rigid Index [6];Contact Check Rigid Index [7];Contact Check Rigid Index [8];Contact Check Rigid Index [10];Contact Check Rigid Index [11];Contact Check Rigid Index [12];Contact Check Rigid Index [13];Contact Check Rigid Index [14];Contact Check Rigid Index [15]
3350;;True;-1;-1;1;False;20;0;888804431;10;0;1;2;4;5;6;12;13;14;15;16;17;-1;-1;-1
3450;;True;999994100;99903000;1;False;0;0;-1;20;0;0;1;3;3;4;7;13;14;20;21;24;29;45;47
4200;;False;420004001;99903000;1;False;10;1;-1;20;0;0;11;23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
4201;;True;420104001;99903000;1;False;10;1;-1;20;0;0;7;11;20;23;-1;-1;-1;-1;-1;-1;-1;-1;-1
4210;;True;421103000;99903000;1;False;10;1;-1;20;0;0;1;2;11;18;-1;-1;-1;-1;-1;-1;-1;-1;-1
4430;;True;888804430;-1;2;True;90;0;888804431;5;0;1;2;3;4;5;6;7;8;9;10;11;-1;-1;-1
4490;;True;-1;-1;3;True;10;0;-1;5;0;5;6;7;8;9;10;11;12;13;14;15;20;-1;-1
4491;;True;-1;-1;2;True;20;0;-1;10;0;7;8;9;10;11;12;13;14;15;20;-1;-1;-1;-1
6000;;False;999994006;99903000;1;False;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6040;;False;999994006;99903000;1;False;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6070;;False;999994006;99903000;1;False;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6072;;False;607104000;99903000;1;False;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
