Row ID;Row Name;Disable Param - Network Test;Talk Chr Entity ID;Eliminate Target Entity ID;Summoned Event Flag ID;Is Special Monument;Buddy ID;Applied SpEffect ID;Activation Range;Overwrite Return Range;Overwrite Activation Region Entity ID;Warn Region Entity ID
0;;False;0;0;0;False;0;-1;100;-1;0;0
10000100;Stormveil Castle;True;10000100;10005100;10002100;False;0;-1;999;-1;10002150;0
10000102;Stormveil Castle;False;10000102;10005102;10002102;False;0;-1;999;-1;10002152;0
10000104;Stormveil Castle;True;10000104;10005104;10002104;False;0;-1;999;-1;10002154;0
10000106;Stormveil Castle;True;10000106;10005106;10002106;False;0;-1;999;-1;10002156;0
10000108;Stormveil Castle;False;10000108;10005108;10002108;False;0;-1;999;-1;10002158;0
11000100;Leyndell, Royal Capital;True;11000100;11005100;11002100;False;0;-1;999;-1;11002150;0
11000102;Leyndell, Royal Capital;True;11000102;11005102;11002102;False;0;-1;999;-1;11002152;0
11000104;Leyndell, Royal Capital;True;11000104;11005104;11002104;False;0;-1;999;-1;11002154;0
11000106;Leyndell, Royal Capital;True;11000106;11005106;11002106;False;0;-1;999;-1;11002156;0
11050100;Leyndell, Ashen Capital;True;11050100;11055100;11052100;False;0;-1;999;-1;11052100;0
11050102;Leyndell, Ashen Capital;True;11050102;11055102;11052102;False;0;-1;999;-1;11052102;0
12010100;Ainsel River;True;12010100;12015100;12012100;False;0;-1;999;-1;12012300;0
12010102;Ainsel River;True;12010102;12015102;12012102;False;0;-1;999;-1;12012810;0
12010104;Ainsel River;True;12010104;12015104;12012104;False;0;-1;100;-1;0;0
12010106;Ainsel River;True;12010106;12015106;12012106;False;0;-1;999;-1;12012486;0
12010108;Ainsel River;True;12010108;12015108;12012108;False;0;-1;999;-1;12012488;0
12010110;Ainsel River;True;12010110;12015110;12012110;False;0;-1;999;-1;12012490;0
12020102;Siofra River;True;12020102;12025102;12022102;False;0;-1;100;-1;0;0
12020110;Siofra River;True;12020110;12025110;12022110;False;0;-1;100;-1;0;0
12020112;Siofra River;True;12020112;12025112;12022112;False;0;-1;999;-1;12022112;0
12020114;Siofra River;True;12020114;12025114;12022114;False;0;-1;999;-1;12022114;0
12020116;Siofra River;True;12020116;12025116;12022116;False;0;-1;999;-1;12022880;0
12020118;Siofra River;True;12020118;12025118;12022118;False;0;-1;999;-1;12022118;0
12030100;Deeproot Depths;True;12030100;12035100;12032100;False;0;-1;999;-1;12032100;0
12030102;Deeproot Depths;True;12030102;12035102;12032102;False;0;-1;100;-1;0;0
12030104;Deeproot Depths;True;12030104;12035104;12032104;False;0;-1;999;-1;12032830;0
12030106;Deeproot Depths;True;12030106;12035106;12032106;False;0;-1;999;-1;12032880;0
12030108;Deeproot Depths;True;12030108;12035108;12032108;False;0;-1;999;-1;12032108;0
12040100;Ainsel River - Boss;True;12040100;12045100;12042100;False;0;-1;999;-1;12042830;0
12050100;Mohgwyn Palace;True;12050100;12055100;12052100;False;0;-1;999;-1;12052100;0
12050102;Mohgwyn Palace;True;12050102;12055102;12052102;False;0;-1;999;-1;12052102;0
12050104;Mohgwyn Palace;True;12050104;12055104;12052104;False;0;-1;999;-1;12052830;0
12070100;Siofra River Bank;True;12070100;12075100;12072100;False;0;-1;999;-1;12072100;0
