Row ID;Row Name;Disable Param - Network Test;Open - Event Flag ID;Open - Traversal Area - X Min;Open - Traversal Area - X Max;Open - Traversal Area - Y Min;Open - Traversal Area - Y Max;Acquisition - Event Flag ID;Acquisition - Display Scale;Acquisition - Center X Coordinate;Acquisition - Center Y Coordinate;Acquisition - Display Resource Scale;Acquisition - Resource Offset X;Acquisition - Resource Offset Y
0;;False;62010;1877;4895;5922;7902;63010;1;0;0;1;0;0
1;;True;62011;3041;5089;7341;9096;63011;1;0;0;1;0;0
2;;True;62012;3982;5544;5669;7718;63012;1;0;0;1;0;0
3;;True;62020;1907;4154;3344;6688;63020;1;0;0;1;0;0
4;;True;62021;1392;2784;3954;5834;63021;1;0;0;1;0;0
5;;True;62022;150;2629;3155;6640;63022;1;0;0;1;0;0
6;;True;62030;2607;4377;1971;4810;63030;1;0;0;1;0;0
7;;True;62031;3432;4979;2687;5636;63031;1;0;0;1;0;0
8;;True;62032;1354;3194;1694;3701;63032;1;0;0;1;0;0
9;;True;62040;4724;7194;6002;7956;63040;1;0;0;1;0;0
10;;True;62041;4644;7189;4979;6646;63041;1;0;0;1;0;0
11;;True;62050;4559;7659;1644;5701;63050;1;0;0;1;0;0
12;;True;62051;5719;8704;519;4356;63051;1;0;0;1;0;0
13;;True;62052;2674;7499;0;3316;63052;1;0;0;1;0;0
14;;True;62053;2674;7499;0;3316;63053;1;0;0;1;0;0
15;;True;62004;4154;7189;3954;6646;63004;1;0;0;1;0;0
16;;True;62005;0;4154;3954;9112;0;1;0;0;1;0;0
17;;True;62006;0;3432;0;4979;0;1;0;0;1;0;0
18;;True;62007;3982;9648;3954;9112;0;1;0;0;1;0;0
19;;True;62008;5544;9648;0;5834;0;1;0;0;1;0;0
20;;True;62009;2784;8704;0;2687;0;1;0;0;1;0;0
70;;False;62000;3561;4036;6957;7588;0;1;0;0;1;0;0
100;;True;62060;876;3779;2750;6056;63060;1;0;0;1;0;0
101;;True;62061;216;2444;3350;6696;63061;1;0;0;1;0;0
102;;True;62062;3526;6889;6175;8493;63062;1;0;0;1;0;0
103;;True;62063;3467;6834;4814;7333;63063;1;0;0;1;0;0
104;;True;62064;2187;5779;1455;5063;63064;1;0;0;1;0;0
105;;True;62065;4558;6784;1345;4070;63065;1;0;0;1;0;0
