Row ID;Row Name;Disable Param - Network Test;Sheath Position Type;Is Skeleton Bind;Right Hand - Dummy Poly - Model [0];Left Hand - Dummy Poly - Model [0];Both Hand - Dummy Poly - Model [0];Left Sheath - Dummy Poly - Model [0];Right Sheath - Dummy Poly - Model [0];Right Hand - Dummy Poly - Model [1];Left Hand - Dummy Poly - Model [1];Both Hand - Dummy Poly - Model [1];Left Sheath - Dummy Poly - Model [1];Right Sheath - Dummy Poly - Model [1];Right Hand - Dummy Poly - Model [2];Left Hand - Dummy Poly - Model [2];Both Hand - Dummy Poly - Model [2];Left Sheath - Dummy Poly - Model [2];Right Sheath - Dummy Poly - Model [2];Right Hand - Dummy Poly - Model [3];Left Hand - Dummy Poly - Model [3];Both Hand - Dummy Poly - Model [3];Left Sheath - Dummy Poly - Model [3];Right Sheath - Dummy Poly - Model [3];Hidden Type - Model [0];Hidden Type - Model [1];Hidden Type - Model [2];Hidden Type - Model [3];Left Both-Hand - Dummy Poly - Model [0];Left Both-Hand - Dummy Poly - Model [1];Left Both-Hand - Dummy Poly - Model [2];Left Both-Hand - Dummy Poly - Model [3];Display Position - Right Hand - Model [0];Display Position - Left Hand - Model [0];Display Position - Right Both-hand - Model [0];Display Position - Left Both-Hand - Model [0];Display Position - Right Sheath - Model [0];Display Position - Left Sheath - Model [0];Display Position - Right Hand - Model [1];Display Position - Left Hand - Model [1];Display Position - Right Both-hand - Model [1];Display Position - Left Both-Hand - Model [1];Display Position - Right Sheath - Model [1];Display Position - Left Sheath - Model [1];Display Position - Right Hand - Model [2];Display Position - Left Hand - Model [2];Display Position - Right Both-hand - Model [2];Display Position - Left Both-Hand - Model [2];Display Position - Right Sheath - Model [2];Display Position - Left Sheath - Model [2];Display Position - Right Hand - Model [3];Display Position - Left Hand - Model [3];Display Position - Right Both-hand - Model [3];Display Position - Left Both-Hand - Model [3];Display Position - Right Sheath - Model [3];Display Position - Left Sheath - Model [3]
0;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;False;1;False;400;401;400;403;402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;400;-1;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2;;False;1;False;404;405;410;2407;2406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;410;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;;False;1;False;404;405;410;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;410;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
4;;False;1;False;20;405;21;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;;False;1;False;20;405;21;409;408;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
6;;False;1;False;20;405;21;409;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
7;;False;1;False;20;405;21;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
