Row ID;Row Name;Move Direction;Key [1];Key [2];Key [3];Handle Move Direction as Long Press;Handle Key [1] Hold as Long Press;Handle Key [2] Hold as Long Press;Handle Key [3] Hold as Long Press;Gesture ID;AI Goal Waits For Duration End
0;;0;8;0;0;False;False;False;False;0;False
1;;0;8;0;0;False;False;False;False;0;True
2;;0;9;0;0;False;False;False;False;0;False
3;;0;9;0;0;False;False;False;False;0;True
4;;0;5;0;0;False;False;False;False;0;False
6;;0;5;0;0;False;False;False;False;0;True
7;;0;6;0;0;False;False;False;False;0;False
8;;0;6;0;0;False;False;False;False;0;True
10;;1;8;18;0;False;False;False;False;0;False
11;;1;9;19;0;False;False;False;False;0;False
12;;0;11;0;0;False;False;False;False;0;False
13;;0;3;0;0;False;False;False;False;0;False
14;;0;4;0;0;False;False;False;False;0;False
15;;0;16;0;0;False;False;False;False;0;False
16;;0;12;0;0;False;False;False;False;0;False
17;;0;13;0;0;False;False;False;False;0;False
18;;1;0;0;0;True;False;False;False;0;False
19;;2;0;0;0;True;False;False;False;0;False
20;;3;0;0;0;True;False;False;False;0;False
21;;4;0;0;0;True;False;False;False;0;False
22;;5;0;0;0;True;False;False;False;0;False
23;;6;0;0;0;True;False;False;False;0;False
24;;7;0;0;0;True;False;False;False;0;False
25;;8;0;0;0;True;False;False;False;0;False
26;;1;5;0;0;True;False;False;False;0;False
27;;2;5;0;0;True;False;False;False;0;False
28;;3;5;0;0;True;False;False;False;0;False
29;;4;5;0;0;True;False;False;False;0;False
30;;5;5;0;0;True;False;False;False;0;False
31;;6;5;0;0;True;False;False;False;0;False
32;;7;5;0;0;True;False;False;False;0;False
33;;8;5;0;0;True;False;False;False;0;False
34;;1;15;0;0;True;False;False;False;0;False
35;;1;15;5;0;True;False;False;False;0;False
36;;1;17;0;0;True;False;False;False;0;False
37;;2;17;0;0;True;False;False;False;0;False
38;;3;17;0;0;True;False;False;False;0;False
39;;4;17;0;0;True;False;False;False;0;False
40;;5;17;0;0;True;False;False;False;0;False
41;;6;17;0;0;True;False;False;False;0;False
42;;7;17;0;0;True;False;False;False;0;False
43;;8;17;0;0;True;False;False;False;0;False
48;;0;6;8;0;False;False;False;False;0;False
49;;0;6;9;0;False;False;False;False;0;False
50;;1;6;0;0;True;False;False;False;0;False
51;;2;6;0;0;True;False;False;False;0;False
52;;3;6;0;0;True;False;False;False;0;False
53;;4;6;0;0;True;False;False;False;0;False
54;;5;6;0;0;True;False;False;False;0;False
55;;6;6;0;0;True;False;False;False;0;False
56;;7;6;0;0;True;False;False;False;0;False
57;;8;6;0;0;True;False;False;False;0;False
58;;1;6;0;0;True;False;False;False;0;False
59;;2;6;0;0;True;False;False;False;0;False
60;;3;6;0;0;True;False;False;False;0;False
61;;4;6;0;0;True;False;False;False;0;False
62;;5;6;0;0;True;False;False;False;0;False
63;;6;6;0;0;True;False;False;False;0;False
64;;7;6;0;0;True;False;False;False;0;False
65;;8;6;0;0;True;False;False;False;0;False
66;;1;6;8;0;True;False;False;False;0;False
67;;2;6;8;0;True;False;False;False;0;False
68;;3;6;8;0;True;False;False;False;0;False
69;;4;6;8;0;True;False;False;False;0;False
70;;5;6;8;0;True;False;False;False;0;False
71;;6;6;8;0;True;False;False;False;0;False
72;;7;6;8;0;True;False;False;False;0;False
73;;8;6;8;0;True;False;False;False;0;False
74;;1;6;9;0;True;False;False;False;0;False
75;;2;6;9;0;True;False;False;False;0;False
76;;3;6;9;0;True;False;False;False;0;False
77;;4;6;9;0;True;False;False;False;0;False
78;;5;6;9;0;True;False;False;False;0;False
79;;6;6;9;0;True;False;False;False;0;False
80;;7;6;9;0;True;False;False;False;0;False
81;;8;6;9;0;True;False;False;False;0;False
82;;0;5;8;0;False;False;False;False;0;False
83;;0;5;9;0;False;False;False;False;0;False
84;;1;15;8;0;True;False;False;False;0;False
85;;1;15;9;0;True;False;False;False;0;False
86;;1;15;5;0;True;False;False;False;0;False
90;;0;20;0;0;False;False;False;False;0;False
91;;0;21;0;0;False;False;False;False;0;False
92;;0;11;0;0;False;False;False;False;0;False
93;;0;4;0;0;False;False;False;False;0;False
94;;0;4;0;0;False;False;False;False;0;False
96;;0;7;0;0;False;False;False;False;0;False
97;;1;1;0;0;True;False;False;False;0;False
98;;0;15;0;0;False;False;False;False;0;False
99;;0;23;0;0;False;False;False;False;0;False
100;;0;1;0;0;False;False;False;False;0;False
101;;1;1;0;0;True;False;False;False;0;False
102;;2;1;0;0;True;False;False;False;0;False
103;;3;1;0;0;True;False;False;False;0;False
104;;4;1;0;0;True;False;False;False;0;False
105;;5;1;0;0;True;False;False;False;0;False
106;;6;1;0;0;True;False;False;False;0;False
107;;7;1;0;0;True;False;False;False;0;False
