Row ID;Row Name;Draw Distance - Level Start;Draw Distance - Level End;Draw Distance - Scale Start;Draw Distance - Scale End;Shadow Draw Distance - Level Start;Shadow Draw Distance - Level End;Shadow Draw Distance - Scale Start;Shadow Draw Distance - Scale Start
0;;21;21;1;1;21;21;1;1
1;;21;21;1;1;21;21;1;1
2;;1;20;1;1;1;20;1;1
3;;1;20;1;1;1;20;1;1
4;;1;20;1;1;1;20;1;1
5;;1;20;1;1;1;20;1;1
6;;1;20;1;1;1;20;1;1
7;;1;20;1;1;1;20;1;1
8;;1;20;1;1;1;20;1;1
10;;1;20;1;1;1;20;1;1
11;;1;20;1;1;1;20;1;1
12;;21;21;1;1;21;21;1;1
13;;21;21;1;1;21;21;1;1
20;;21;21;1;1;21;21;1;1
