Row ID;Row Name;Disable Param - Network Test;Match Area ID
0;;False;0
10000040;;False;1000
10000041;;False;1400
10000042;;False;1400
10000043;;False;1400
10000044;;False;1400
10000045;;False;1400
11000040;;False;3400
11000041;;False;3400
11000042;;False;3400
11000043;;False;3400
11000044;;False;3400
11050040;;False;7000
11050041;;False;7000
12010040;;False;6000
12010041;;False;6000
12010042;;False;6000
12010043;;False;6200
12010044;;False;6200
12010045;;False;6200
12010046;;False;6200
12020040;;False;6400
12020041;;False;6400
12020042;;False;6500
12020043;;False;6500
12020044;;False;6500
12020045;;False;6500
12020046;;False;6400
12030040;;False;6600
12030041;;False;6600
12030042;;False;6600
12030043;;False;6600
12030044;;False;6600
12050040;;False;6800
12050041;;False;6800
12050042;;False;6800
12070040;;False;6400
12070041;;False;6500
13000040;;False;7200
13000041;;False;7200
13000042;;False;7200
13000043;;False;7200
13000044;;False;7200
13000045;;False;7200
13000046;;False;7200
13000047;;False;7200
14000040;;False;2400
14000041;;False;2400
14000042;;False;2400
14000043;;False;2400
15000040;;False;5400
15000041;;False;5400
15000042;;False;5400
15000044;;False;5400
15000045;;False;5600
15000046;;False;5600
15000047;;False;5600
15000049;;False;5600
16000040;;False;3600
16000041;;False;3600
16000042;;False;3600
16000043;;False;3600
16000044;;False;3600
19000040;;False;7800
30000040;;False;1200
30010040;;False;1200
30020040;;False;1000
30030040;;False;2000
30040040;;False;1000
30050040;;False;2000
30060040;;False;2000
30070040;;False;3200
30080040;;False;3000
30090040;;False;3200
30100040;;False;3300
30110040;;False;1000
30120040;;False;3200
30140040;;False;4000
30150040;;False;4000
30160040;;False;4200
30170040;;False;5000
30180040;;False;5000
30190040;;False;5200
30200040;;False;5200
31000040;;False;1000
31010040;;False;1200
31020040;;False;1200
31030040;;False;1000
31040040;;False;2000
31050040;;False;2000
31060040;;False;2000
31070040;;False;3200
31090040;;False;3200
31100040;;False;4200
31110040;;False;4000
31120040;;False;5200
31150040;;False;1000
31170040;;False;1000
31180040;;False;3000
31190040;;False;3200
31200040;;False;4000
31210040;;False;4000
31220040;;False;5000
32000040;;False;1200
32010040;;False;1000
32020040;;False;2000
32040040;;False;3200
32050040;;False;3000
32070040;;False;4000
32080040;;False;4000
32110040;;False;5200
34100040;;False;1000
34110040;;False;2000
34120040;;False;3300
34120041;;False;3300
34130040;;False;4200
35000040;;False;3500
35000041;;False;3500
35000042;;False;3500
39200040;;False;2600
39200041;;False;2600
1035530040;;False;3200
1036520040;;False;3200
1036540040;;False;3200
1036540041;;False;3200
1037530040;;False;3200
1038520040;;False;3000
1039540040;;False;3200
1040530040;;False;3000
1042540040;;False;3000
1044530040;;False;3300
1045520040;;False;3300
1046400040;;False;4000
1047400040;;False;4000
1047510840;;False;5000
1048370040;;False;4000
1049380040;;False;4000
1049380041;;False;4000
1049560840;;False;5200
1049570840;;False;5200
1050400040;;False;4200
1051360040;;False;4000
1051370040;;False;4000
1051400040;;False;4200
1051570840;;False;5000
1051570841;;False;5000
1052410040;;False;4200
1052530840;;False;5000
1052570840;;False;5000
1053570840;;False;5000
1060330040;;False;2000
1060340040;;False;2000
1060340041;;False;2000
1060340043;;False;2000
1060350040;;False;2000
1060380040;;False;2000
1060410040;;False;1200
1060420040;;False;1000
1060430040;;False;1000
1060430041;;False;1000
1060430042;;False;1200
1060430043;;False;1200
1060440040;;False;1000
