Row ID;Row Name;Disable Param - Network Test;Param String
203000;;True;c2030
203001;;True;c2030_B
211000;;True;c2110
212000;;True;c2120
213000;;False;c2130_A
213001;;True;c2130_B
219000;;True;c2190
356000;;True;c3560
451000;;True;c4510
452000;;True;c4520
467000;;True;c4670
471000;;True;c4710
472000;;True;c4720
472001;;True;c4720_B
473000;;True;c4730
475000;;True;c4750
476000;;True;c4760
480000;;True;c4800
920100;;True;MidBoss_DeathGenus
920200;;False;MidBoss_TreeKnights
920300;;False;MidBoss_Wyvern
920400;;True;MidBoss_UgRemains
920500;;True;MidBoss_CarianRoyal
920600;;True;MidBoss_TreeDaemon
920700;;True;MidBoss_Aster
920800;;True;MidBoss_MeteoricIronBeast
920900;;False;MidBoss_BasementRoom
921000;;True;MidBoss_DarkKnights
921100;;True;MidBoss_NewCircle
921200;;True;MidBoss_Creepy
921300;;True;MidBoss_FieldDragon
921400;;True;MidBoss_Wolf
921500;;True;MidBoss_BlackSword
921600;;True;MidBoss_DaemonPhantom
921700;;True;MidBoss_DeepBlood
925000;;False;MidBoss_CircleEvent
930000;;False;MidBoss_Catacombs
931000;;False;MidBoss_Cave
932000;;False;MidBoss_Tunnel
950000;;True;MidBoss_Fortress
10000000;;True;None
10000001;;True;_BgmSilent
10000002;;True;c2030
10000003;;True;c2120
10000004;;True;c2130_A
10000005;;True;c2130_B
10000006;;True;c3560
10000007;;True;c4670
10000008;;True;c4720
10000009;;True;c4730
10000010;;True;c4750
10000011;;True;MidBoss_Catacombs
10000012;;True;MidBoss_Cave
10000013;;True;MidBoss_Fortress
10000014;;True;FieldStrongEnemyA
10000015;;True;FieldStrongEnemyB
10000016;;True;MidBoss_Tunnel
10000017;;True;MidBoss_DeathGenus
10000018;;True;MidBoss_TreeKnights
10000019;;True;_BgmSilent_MistWall
10000020;;True;MidBoss_CircleEvent
10000021;;True;c4710
10000022;;True;MidBoss_Wyvern
10000023;;True;MidBoss_UgRemains
10000024;;True;c4720_B
10000025;;True;c2030_B
10000026;;True;c4800
10000027;;True;c4510
10000028;;True;MidBoss_TreeDaemon
10000029;;True;MidBoss_Aster
10000030;;True;MidBoss_MeteoricIronBeast
10000031;;True;MidBoss_BasementRoom
10000032;;True;c2110
10000033;;True;c2190
10000034;;True;c4520
10000035;;True;c4760
10000036;;True;MidBoss_CarianRoyal
10000037;;True;MidBoss_DarkKnights
10000038;;True;MidBoss_NewCircle
10000039;;True;MidBoss_Creepy
10000040;;True;MidBoss_FieldDragon
10000041;;True;MidBoss_Wolf
10000042;;True;MidBoss_BlackSword
10000043;;True;MidBoss_DaemonPhantom
10000044;;True;MidBoss_DeepBlood
10000045;;True;EventBoss_Reserved08
10000046;;True;EventBoss_Reserved09
10000047;;True;EventBoss_Reserved10
10000048;;True;EventBoss_Reserved11
10000049;;True;EventBoss_Reserved12
10000050;;True;EventBoss_Reserved13
10000051;;True;EventBoss_Reserved14
10000052;;True;EventBoss_Reserved15
10000053;;True;FieldBoss_Lv02
10000054;;True;FieldBoss_Lv03
10000055;;True;FieldBoss_Lv04
10000056;;True;FieldBoss_Lv05
10000057;;True;FieldBoss_Lv06
10000058;;True;FieldBoss_Lv07
10000059;;True;FieldBoss_Lv08
10000060;;True;FieldBoss_Lv09
10000061;;True;FieldBoss_Lv10
10000062;;True;FieldBoss_Lv11
10000063;;True;FieldBoss_Lv12
10000064;;True;FieldBoss_Lv13
10000065;;True;FieldBoss_Lv14
10000066;;True;FieldBoss_Lv15
10000067;;True;FieldBoss_Lv16
10000068;;True;FieldBoss_Lv17
10000069;;True;FieldBoss_Lv18
10000070;;True;FieldBoss_Lv19
10000071;;True;FieldBoss_Lv20
10000072;;True;FieldBoss_Lv21
10000073;;True;FieldBoss_Lv22
10000074;;True;FieldBoss_Lv23
10000075;;True;FieldBoss_Lv24
10000076;;True;FieldBoss_Lv25
10000077;;True;FieldBoss_Lv26
10000078;;True;FieldBoss_Lv27
10000079;;True;FieldBoss_Lv28
10000080;;True;FieldBoss_Lv29
10000081;;True;FieldBoss_Lv30
10000082;;True;FieldBoss_Lv31
10000083;;True;MultiHostile_00
10000084;;True;MultiHostile_01
10000085;;True;MultiHostile_02
10000086;;True;MultiHostile_03
10000087;;True;MultiHostile_04
10000088;;True;MultiHostile_05
10000089;;True;Invalid
11000000;;True;Bgm_000_Green
11000001;;True;Bgm_010_Lake
11000002;;True;Bgm_020_Mountain
11000003;;True;Bgm_030_Plain
11000004;;True;Bgm_040_Snow
11000005;;True;Bgm_100_Castle
11000006;;True;Bgm_110_KingCity
11000007;;True;Bgm_120_UgLabyrinth
11000008;;True;Bgm_121_UgLabyrinth_Ruins
11000009;;True;Bgm_130_Remains
11000010;;True;Bgm_140_Academy
11000011;;True;Bgm_150_RottenBigTree
11000012;;True;Bgm_160_VolcanoPrison
11000013;;True;Bgm_180_Tutorial
11000014;;True;Bgm_190_Ritual
11000015;;True;Bgm_300_Catacombs
11000016;;True;Bgm_310_Cave
11000017;;True;Bgm_320_Tunnel
11000018;;True;Bgm_340_Tower
11000019;;True;Bgm_350_UgKingCity
11000020;;True;Bgm_351_UgKingCity_Tomb
11000021;;True;Bgm_390_CliffTunnel
11000022;;True;Bgm_500_Fortress
11000023;;True;Bgm_999_None
11000024;;True;Bgm_021_Volcano
11000025;;True;Bgm_041_SnowUnder
11000026;;True;Bgm_111_Hub
11000027;;True;Bgm_161_VolcanoHall
11000028;;True;Bgm_151_RottenBigTreeLatter
11000029;;True;Bgm_501_FortressPlain
11000030;;True;Bgm_502_FortressPlainFes
