Row ID;Row Name;Text ID;Key;Allow Unassignment;Allow Pad Config;Allow Mouse Config;Group;Mapping Text ID;View Pad;View Keyboard/Mouse
1;;280010;-1;True;False;False;1;0;True;False
2;;280100;0;True;False;False;0;280100;False;False
3;;280101;1;True;False;False;0;280110;True;False
4;;280102;2;True;False;False;0;0;True;False
5;;280103;3;True;False;False;0;0;True;False
6;;280104;4;True;False;False;0;0;True;False
7;;280105;6;True;False;False;1;280105;True;False
8;;280106;7;True;False;False;1;280106;True;False
9;;280107;5;True;False;False;1;280107;True;False
10;;280020;-1;True;False;False;1;0;True;False
11;;280200;8;True;False;False;0;280199;True;False
12;;280201;9;True;False;False;0;0;True;False
13;;280202;10;True;False;False;0;0;True;False
14;;280203;11;True;False;False;0;0;True;False
15;;280204;12;True;False;False;1;280204;True;False
16;;280030;-1;True;False;False;1;0;True;False
17;;280303;13;True;False;False;1;280303;True;False
18;;280300;14;True;False;False;1;280300;True;False
19;;280301;15;True;False;False;1;280301;True;False
20;;280302;16;True;False;False;1;280302;True;False
21;;280040;-1;True;False;False;1;0;True;False
22;;280400;17;True;False;False;1;280400;True;False
23;;280401;18;True;False;False;1;280401;True;False
24;;280402;19;True;False;False;1;280402;True;False
25;;280403;20;True;False;False;1;280403;True;False
26;;280405;21;True;False;False;1;280405;True;False
27;;280404;22;False;False;False;1;280404;True;False
28;;0;24;True;False;False;1;280500;False;False
29;;0;25;True;False;False;1;280501;False;False
30;;0;41;True;False;False;1;0;False;False
31;;0;42;True;False;False;1;0;False;False
