Row ID;Row Name;Replace Texture ID - By Material
0;;False
10;;False
20;;False
30;;False
40;;False
100010;;False
100020;;False
300010;;False
300011;;False
300020;;False
300030;;False
300031;;False
300040;;False
360000;;False
400000;;False
400010;;False
400011;;False
400012;;False
400020;;False
400040;;False
400050;;False
400060;;False
400070;;False
400080;;False
400090;;False
400100;;False
400110;;False
400130;;False
421500;;False
421501;;False
421502;;False
430700;;False
431800;;False
433000;;False
435500;;False
435505;;False
436610;;False
436611;;False
436612;;False
436613;;False
436620;;False
436621;;False
436622;;False
436623;;False
438000;;False
439500;;False
440200;;False
440400;;False
440401;;False
440402;;False
441300;;False
441301;;False
441908;;False
441909;;False
441910;;False
442200;;False
442201;;False
442202;;False
442203;;False
442204;;False
442600;;False
442601;;False
442701;;False
442800;;False
442801;;False
442802;;False
443001;;False
443200;;False
443400;;False
443800;;False
443801;;False
443802;;False
443803;;False
443810;;False
443812;;False
443850;;False
445000;;False
445002;;False
445004;;False
445006;;False
445100;;False
445101;;False
445700;;False
445800;;False
446000;;False
446400;;False
446600;;False
446601;;False
446602;;False
447500;;False
447501;;False
447502;;False
447600;;False
447601;;False
447602;;False
447603;;False
447604;;False
447605;;False
447606;;False
448000;;False
448100;;False
449000;;False
449001;;False
449100;;False
471000;;False
471001;;False
471002;;False
471003;;False
610001;;False
610002;;False
610003;;False
610004;;False
611520;;False
611521;;False
611522;;False
611523;;False
611524;;False
611701;;False
613001;;False
619000;;False
619001;;False
619002;;False
619003;;False
619004;;False
619005;;False
619006;;False
619007;;False
619008;;False
619010;;False
619011;;False
619012;;False
660520;;False
810001;;False
810101;;False
811201;;False
811211;;False
820001;;False
820101;;False
821200;;False
821201;;False
821210;;False
821211;;False
821220;;False
821221;;False
100300020;;False
100360000;;False
100400010;;False
100400011;;False
100400012;;False
100435505;;False
100800001;;False
100801001;;False
100812001;;False
100812011;;False
100820001;;False
100820101;;False
100821200;;False
100821201;;False
100821210;;False
100821211;;False
100821220;;False
100821221;;False
300003101;;False
300003111;;False
300003121;;False
300005101;;False
300005111;;False
300005121;;False
300013101;;False
300013111;;False
300013121;;False
300021101;;False
300021111;;False
300021121;;False
300043100;;False
300043101;;False
300043102;;False
300043103;;False
300043104;;False
300043105;;False
300043106;;False
300043111;;False
300043121;;False
300044101;;False
300044111;;False
300044121;;False
300045101;;False
300045111;;False
300045121;;False
600101000;;False
600101001;;False
600101002;;False
600101003;;False
600101004;;False
600101100;;False
600101101;;False
600101102;;False
600101103;;False
600101104;;False
600109000;;False
600109001;;False
600109002;;False
600109003;;False
600109004;;False
600109100;;False
600109101;;False
600109102;;False
600109103;;False
600109104;;False
600110000;;False
600110001;;False
600110002;;False
600110003;;False
600110004;;False
600110100;;False
600110101;;False
600110102;;False
600110103;;False
600110104;;False
600111000;;False
600111001;;False
600111002;;False
600111003;;False
600111004;;False
600111100;;False
600111101;;False
600111102;;False
600111103;;False
600111104;;False
600118000;;False
600118001;;False
600118002;;False
600118003;;False
600118004;;False
600118100;;False
600118101;;False
600118102;;False
600118103;;False
600118104;;False
600119000;;False
600119001;;False
600119002;;False
600119003;;False
600119004;;False
600119100;;False
600119101;;False
600119102;;False
600119103;;False
600119104;;False
600120000;;False
600120001;;False
600120002;;False
600120003;;False
600120004;;False
600120100;;False
600120101;;False
600120102;;False
600120103;;False
600120104;;False
600121000;;False
600121001;;False
600121002;;False
600121003;;False
600121004;;False
600121100;;False
600121101;;False
600121102;;False
600121103;;False
600121104;;False
600126000;;False
600126001;;False
600126002;;False
600126003;;False
600126004;;False
600126100;;False
600126101;;False
600126102;;False
600126103;;False
600126104;;False
600145000;;False
600145001;;False
600145002;;False
600145003;;False
600145004;;False
600145100;;False
600145101;;False
600145102;;False
600145103;;False
600145104;;False
600146000;;False
600146001;;False
600146002;;False
600146003;;False
600146004;;False
600146100;;False
600146101;;False
600146102;;False
600146103;;False
600146104;;False
600147000;;False
600147001;;False
600147002;;False
600147003;;False
600147004;;False
600147100;;False
600147101;;False
600147102;;False
600147103;;False
600147104;;False
600148000;;False
600148001;;False
600148002;;False
600148003;;False
600148004;;False
600148100;;False
600148101;;False
600148102;;False
600148103;;False
600148104;;False
600169000;;False
600169001;;False
600169002;;False
600169003;;False
600169004;;False
600169100;;False
600169101;;False
600169102;;False
600169103;;False
600169104;;False
600170000;;False
600170001;;False
600170002;;False
600170003;;False
600170004;;False
600170100;;False
600170101;;False
600170102;;False
600170103;;False
600170104;;False
600171000;;False
600171001;;False
600171002;;False
