Row ID;Row Name;Equipped Weapon: Left Secondary
10;;20060000
11;;20060000
12;;13030000
13;;13020000
21;;31000000
23;;30070000
110;;11000
1000;;30000000
1001;;30000000
1010;;31190000
1011;;31190000
1030;;30070000
1031;;30070000
1078;;2396
1079;;2501
1100;;33210000
1101;;33210000
1102;;33210000
1103;;34000000
1104;;34000000
1105;;34000000
1106;;30090000
1151;;1030000
1152;;2000000
1153;;3000000
1154;;7000000
1155;;9010000
1156;;10000000
1157;;16010000
1158;;11010000
1159;;14000000
1160;;17060000
1161;;30030000
1162;;30200000
1163;;31030000
1164;;31230000
1165;;40020000
1166;;40020000
1167;;40020000
1168;;33000000
1169;;34000000
1500;;1000000
1501;;2000000
1502;;3000000
1503;;4010000
1504;;5020000
1505;;6020000
1506;;7000000
1507;;8020000
1508;;9000000
1509;;10000000
1510;;11000000
1511;;11010000
1512;;12060000
1513;;13010000
1514;;14000000
1515;;14080000
1516;;15000000
1517;;16000000
1518;;17060000
1519;;18010000
1520;;19010000
1521;;20000000
1522;;21000000
1523;;22020000
1524;;23040000
1525;;24000000
1526;;148
1528;;31000000
1529;;40000000
1530;;41000000
1531;;42000000
1532;;43000000
1533;;44000000
1602;;4010000
1701;;34000000
1702;;4010000
1703;;114
1800;;2000000
3001;Class - Warrior;30090000
3003;Class - Bandit;40000000
3005;Class - Prophet;30030000
3006;Class - Samurai;34000000
3007;Class - Prisoner;30070000
3008;Class - Confessor;30110000
3021;Class - Lost Marionette;40000000
3102;;30090000
3103;;30090000
3106;;40000000
3107;;40000000
3110;;30030000
3111;;30030000
3112;;34000000
3113;;34000000
3114;;30070000
3115;;30070000
3116;;30110000
3117;;30110000
4000;;1000000
4001;;31000000
4002;;2000000
4003;;31000000
4004;;3000000
4005;;31000000
4006;;4000000
4007;;31000000
4008;;5000000
4009;;31000000
4010;;6000000
4011;;31000000
4012;;7000000
4013;;7010000
4014;;31000000
4015;;8020000
4016;;31000000
4017;;9000000
4018;;31000000
4019;;10000000
4020;;31000000
4021;;11000000
4022;;31000000
4023;;12060000
4024;;31000000
4025;;13000000
4026;;31000000
4027;;14000000
4028;;31000000
4029;;15030000
4030;;31000000
4031;;23900000
4032;;31000000
4033;;16000000
4034;;31000000
4035;;17060000
4036;;31000000
4037;;18000000
4038;;31000000
4039;;19010000
4040;;31000000
4041;;20000000
4042;;31000000
4043;;21000000
4044;;31000000
4045;;22000000
4046;;31000000
4047;;24000000
4048;;31000000
4049;;41000000
4050;;31000000
4051;;41000000
4053;;31000000
4054;;41000000
4055;;31000000
4056;;31000000
4057;;31000000
4058;;31000000
4059;;31000000
4060;;31000000
4061;;31000000
4062;;31000000
4063;;31000000
4064;;31000000
4065;;31000000
4066;;31000000
4067;;31000000
4068;;31000000
4069;;31000000
4070;;31000000
4071;;31000000
4072;;44010000
4100;;1000000
4101;;1010000
4102;;1020000
4103;;1030000
4104;;1040000
4105;;1050000
4106;;1060000
4107;;1070000
4108;;1080000
4109;;1090000
4110;;1100000
4111;;1110000
4113;;1130000
4114;;1140000
4115;;1150000
4116;;1160000
4150;;2000000
4151;;2010000
4152;;2020000
4153;;2030000
4154;;2040000
4155;;2050000
4156;;2060000
4157;;2070000
4158;;2080000
4159;;2090000
4161;;2110000
4164;;2140000
4165;;2150000
4168;;2180000
4169;;2190000
4170;;2200000
4171;;2210000
4172;;2220000
4173;;2230000
4174;;2240000
4175;;2260000
4176;;2250000
4200;;3000000
4201;;3010000
4202;;3020000
4203;;3030000
4204;;3040000
4205;;3050000
4206;;3060000
4207;;3070000
4208;;3080000
4209;;3090000
4210;;3100000
4213;;3130000
4214;;3140000
4215;;3150000
4216;;3160000
4217;;3170000
4218;;3180000
4219;;3190000
4220;;3200000
4221;;3210000
4250;;4000000
4251;;4010000
4252;;4020000
4253;;4030000
4254;;4040000
4255;;4050000
4256;;4060000
4257;;4070000
4258;;4080000
4260;;4100000
4261;;4110000
4300;;5000000
4301;;5010000
4302;;5020000
4303;;5030000
4304;;5040000
4305;;5050000
4306;;5060000
4350;;6000000
4351;;6010000
4352;;6020000
4354;;6040000
4400;;7000000
4401;;7010000
4402;;7020000
4403;;7030000
4404;;7040000
4405;;7050000
4406;;7060000
4407;;7070000
4408;;7080000
4410;;7100000
4411;;7110000
4412;;7120000
4413;;7140000
4414;;7150000
4450;;8010000
4451;;8020000
4452;;8030000
4453;;8040000
4454;;8060000
4455;;8070000
4456;;8080000
4458;;8100000
4459;;8050000
4460;;8110000
4500;;9000000
4501;;9010000
4502;;9020000
4503;;9030000
4504;;9040000
4506;;9060000
4507;;9070000
4508;;9080000
4550;;10000000
4551;;10010000
4552;;10030000
4554;;10050000
4555;;10060000
4556;;10070000
4557;;10080000
4558;;10090000
4600;;11000000
4601;;11010000
4603;;11030000
4604;;11040000
4605;;11050000
4606;;11060000
4607;;11070000
4608;;11080000
4609;;11090000
4610;;11100000
4611;;11110000
4612;;11120000
4613;;11130000
4614;;11140000
4615;;11150000
4616;;11160000
4650;;12000000
4651;;12010000
4652;;12020000
4653;;12060000
4655;;12080000
4659;;12130000
4660;;12140000
4661;;12150000
4662;;12160000
4663;;12170000
4664;;12180000
4665;;12190000
4666;;12200000
4667;;12210000
4700;;13000000
4701;;13010000
4702;;13020000
4703;;13030000
4704;;13040000
4750;;14000000
4751;;14010000
4752;;14020000
4753;;14030000
4754;;14040000
4755;;14050000
4756;;14060000
4757;;14080000
4759;;14100000
4760;;14110000
4761;;14120000
4763;;14140000
4800;;15000000
4801;;15010000
4802;;15020000
4803;;15030000
4804;;15040000
4805;;15050000
4806;;15060000
4808;;15080000
4811;;15110000
4812;;15120000
4813;;15130000
4814;;15140000
4850;;23000000
4851;;23010000
4852;;23020000
4853;;23030000
4854;;23040000
4855;;23050000
4856;;23060000
4857;;23070000
4858;;23080000
4860;;23100000
4861;;23110000
4862;;23120000
4863;;23150000
4864;;23140000
4865;;23130000
4900;;16000000
4901;;16010000
4902;;16020000
4903;;16030000
4904;;16040000
4905;;16050000
4906;;16060000
4907;;16070000
4908;;16080000
4909;;16090000
4911;;16110000
4912;;16120000
4913;;16130000
4914;;16140000
4915;;16150000
4916;;16150000
4951;;17010000
4952;;17020000
4953;;17030000
4955;;17050000
4956;;17060000
4957;;17070000
5000;;18000000
5001;;18010000
5002;;18020000
5003;;18030000
5004;;18040000
5005;;18050000
5006;;18060000
5007;;18070000
5008;;18080000
5009;;18090000
5010;;18100000
5011;;18110000
5013;;18130000
5014;;18140000
5015;;18150000
5016;;18160000
5050;;19000000
5051;;19010000
5052;;19020000
5055;;19050000
5056;;19060000
5060;;20000000
5062;;20020000
5063;;20030000
5065;;20050000
5066;;20060000
5067;;20070000
5100;;21000000
5101;;21010000
5106;;21060000
5107;;21070000
5108;;21080000
5109;;21100000
5110;;21110000
5111;;21120000
5112;;21130000
5150;;22000000
5151;;22010000
5152;;22020000
5153;;22030000
5200;;31000000
5202;;31000000
5204;;31000000
5205;;31000000
5206;;31000000
5207;;31000000
5250;;31000000
5251;;31000000
5252;;31000000
5253;;31000000
5254;;31000000
5256;;31000000
5257;;31000000
5258;;31000000
5259;;31000000
5260;;31000000
5261;;31000000
5262;;31000000
5263;;31000000
5264;;31000000
5265;;31000000
5269;;31000000
5270;;31000000
5300;;31000000
5301;;31000000
5302;;31000000
5303;;31000000
5304;;31000000
5305;;31000000
5306;;31000000
5307;;31000000
5308;;31000000
5309;;31000000
5310;;31000000
5311;;31000000
5312;;31000000
5313;;31000000
5315;;31000000
5319;;31000000
5320;;31000000
5321;;31000000
5322;;31000000
5323;;31000000
5324;;31000000
5325;;31000000
5326;;31000000
5327;;31000000
5328;;31000000
5329;;31000000
5330;;31000000
5350;;31000000
5351;;31000000
5352;;31000000
5353;;31000000
5354;;31000000
5355;;31000000
5356;;31000000
5359;;31000000
