Row ID;Row Name;Ignore Fake Target - Human
0;;False
1;;False
2;;False
3;;False
4;;False
5;;False
6;;False
7;;False
8;;False
9;;False
10;;False
11;;False
12;;False
13;;False
14;;False
15;;False
16;;False
17;;False
18;;False
20;;False
21;;False
22;;False
23;;False
24;;False
25;;False
26;;False
27;;False
28;;False
29;;False
30;;False
31;;False
32;;False
33;;False
35;;False
36;;False
37;;False
38;;False
39;;False
40;;False
41;;False
46;;False
50;;False
51;;False
52;;False
53;;False
54;;False
55;;False
60;;False
70;;False
71;;False
72;;False
73;;False
74;;False
79;;False
80;;False
81;;False
84;;False
86;;False
87;;False
88;;False
89;;False
90;;False
91;;False
92;;False
93;;False
94;;False
95;;False
96;;False
97;;False
98;;False
99;;False
100;;False
101;;False
102;;False
103;;False
104;;False
105;;False
106;;False
107;;False
108;;False
109;;False
110;;False
111;;False
112;;False
113;;False
114;;False
115;;False
116;;False
117;;False
118;;False
119;;False
120;;False
125;;False
126;;False
127;;False
128;;False
129;;False
130;;False
131;;False
132;;False
133;;False
134;;False
135;;False
136;;False
137;;False
138;;False
140;;False
141;;False
142;;False
143;;False
144;;False
145;;False
146;;False
147;;False
150;;False
151;;False
152;;False
160;;False
161;;False
170;;False
171;;False
172;;False
173;;False
174;;False
175;;False
176;;False
180;;False
181;;False
182;;False
183;;False
184;;False
185;;False
186;;False
190;;False
191;;False
200;;False
201;;False
202;;False
210;;False
211;;False
212;;False
220;;False
290;;False
300;;False
301;;False
302;;False
303;;False
304;;False
305;;False
306;;False
307;;False
308;;False
309;;False
310;;False
311;;False
312;;False
313;;False
314;;False
315;;False
316;;False
317;;False
318;;False
319;;False
350;;False
351;;False
352;;False
360;;False
361;;False
362;;False
370;;False
371;;False
372;;False
373;;False
380;;False
381;;False
382;;False
390;;False
391;;False
392;;False
401;;False
402;;False
403;;False
404;;False
407;;False
412;;False
415;;False
416;;False
417;;False
420;;False
425;;False
430;;False
435;;False
436;;False
437;;False
438;;False
440;;False
441;;False
442;;False
445;;False
450;;False
451;;False
455;;False
460;;False
