Row ID;Row Name;Interest Category
1500;;4
1501;;5
1510;;9
1520;;2
1530;;4
1531;;8
2000;;1
2010;;1
2020;;1
2030;;1
2090;;1
4000;;1
4010;;1
4020;;1
4050;;7
4100;;7
4130;;7
4131;;7
4132;;7
4133;;7
4134;;7
4135;;7
4136;;7
4200;;7
4201;;7
4300;;7
4310;;7
6100;;1
6200;;7
6201;;7
6202;;7
6203;;7
6300;;7
6301;;7
6320;;7
6321;;7
6390;;7
6391;;7
6400;;7
6410;;7
6500;;1
6600;;7
6610;;7
7000;;1
203000;;7
203100;;7
212000;;7
212001;;7
212002;;7
212003;;7
212004;;7
212005;;7
212006;;7
212007;;7
212008;;7
212009;;7
212010;;7
212011;;7
212012;;7
212013;;7
212014;;7
212015;;7
212016;;7
212017;;7
212018;;7
212019;;7
212020;;7
212021;;7
212022;;7
212023;;7
212024;;7
212025;;7
212026;;7
212027;;7
212028;;7
212029;;7
212030;;7
212031;;7
212032;;7
212033;;7
212034;;7
212035;;7
212036;;7
212037;;7
212038;;7
212039;;7
307000;;7
307001;;7
307002;;7
337000;;7
337001;;7
356000;;7
357000;;7
357001;;7
365000;;7
366000;;7
366100;;7
366110;;7
367000;;7
367001;;7
367002;;7
375000;;7
395000;;7
397000;;7
407000;;7
418000;;7
420100;;7
420101;;7
420102;;7
430000;;7
430001;;7
430002;;7
430003;;7
430004;;7
430005;;7
431000;;7
431001;;7
431002;;7
432100;;7
432101;;7
432102;;7
434000;;7
438300;;7
438301;;7
438302;;7
452000;;7
452001;;7
452002;;7
452003;;7
452004;;7
455000;;7
456000;;7
462000;;7
462001;;7
462010;;7
462011;;7
462020;;7
462021;;7
462030;;7
462031;;7
463000;;7
467000;;7
477000;;7
495000;;7
496000;;7
603000;;7
603070;;7
603370;;7
603670;;7
603950;;7
603970;;7
604070;;7
604100;;7
604300;;7
604310;;7
604370;;7
604383;;7
604550;;7
607000;;7
700000;;1
900000;;6
900200;;1
900400;;1
900500;;1
900600;;9
900700;;2
900800;;1
999900;;2
999901;;4
999902;;5
999903;;8
999904;;9
999910;;2
999911;;4
999912;;5
999913;;8
999914;;9
