Row ID;Row Name;Target Flag State - Multiplayer Start Limit ID [1]
0;;True
981001;;True
981002;;True
981003;;True
981004;;True
981005;;True
981010;;True
981011;;True
982001;;True
1000000;;False
1000001;;False
1000002;;False
1000003;;False
1000004;;False
1000005;;False
1000006;;False
1000007;;False
1000008;;False
1000009;;False
1000011;;False
1000012;;False
1000013;;False
1000090;;False
1000091;;False
1001000;;False
1001001;;False
1001002;;False
1001003;;False
1001090;;False
1100000;;False
1100001;;False
1100002;;False
1100010;;False
1100011;;False
1100012;;False
1100013;;False
1100014;;False
1100015;;False
1100016;;False
1100017;;False
1100018;;False
1100019;;False
1100021;;False
1100090;;False
1100091;;False
1105000;;False
1105001;;False
1105002;;False
1105010;;False
1105011;;False
1105012;;False
1105013;;False
1105014;;False
1105020;;False
1105090;;False
1105091;;False
1110000;;False
1201000;;False
1201001;;False
1201002;;False
1201003;;False
1201011;;False
1201012;;False
1201013;;False
1201014;;False
1201015;;False
1201016;;False
1201017;;False
1202000;;False
1202001;;False
1202002;;False
1202003;;False
1202004;;False
1202005;;False
1202006;;False
1202007;;False
1202011;;False
1202012;;False
1202013;;False
1202020;;False
1202032;;False
1202033;;False
1202034;;False
1203000;;False
1203001;;False
1203002;;False
1203003;;False
1203004;;False
1203005;;False
1204000;;False
1204001;;False
1205000;;False
1205001;;False
1205002;;False
1205003;;False
1205004;;False
1205005;;False
1205006;;False
1205007;;False
1205090;;False
1207021;;False
1207022;;False
1207023;;False
1207024;;False
1207025;;False
1207026;;False
1207031;;False
1208000;;False
1208001;;False
1209000;;False
1209001;;False
1300000;;False
1300001;;False
1300002;;False
1300003;;False
1300004;;False
1300005;;False
1300006;;False
1300010;;False
1300011;;False
1300012;;False
1300013;;False
1300014;;False
1300015;;False
1300016;;False
1300017;;False
1300018;;False
1300019;;False
1300020;;False
1300021;;False
1300090;;False
1400000;;False
1400001;;False
1400002;;False
1400003;;False
1400010;;False
1400011;;False
1400012;;False
1400013;;False
1400014;;False
1400015;;False
1400016;;False
1400090;;False
1500000;;False
