Row ID;Row Name;Lock Camera Param ID
20310000;Rennala, Queen of the Full Moon;2031
20310024;Rennala, Queen of the Full Moon [Boss] - Liurnia (Academy of Raya Lucaria) - Phase 2;2031
20310100;Rennala, Queen of the Full Moon;2031
20310124;Rennala, Queen of the Full Moon [Tier 8];2031
21100000;Beast Clergyman;2110
21100072;Beast Clergyman [Boss] - Crumbling Farum Azula - Phase 1;2110
21101000;Maliketh, The Black Blade;2110
21101072;Maliketh, The Black Blade [Boss] - Crumbling Farum Azula - Phase 2;2110
21102000;Beast Clergyman;2110
21109000;Gurranq, Beast Clergyman;2110
21109042;Gurranq, Beast Clergyman [Tier 16];2110
22000000;Elden Beast;2200
22000078;Elden Beast [Boss] - Elden Throne;2200
30106000;Banished Knight;3015
30106051;Banished Knight [Tier 14];3015
30107000;Banished Knight;3015
30107051;Banished Knight [Tier 14];3015
30108000;Banished Knight;3015
30500000;Commander Niall;3050
30500051;Commander Niall [Boss] - Mountaintops of the Giants (Castle Sol);3050
30500100;Commander O'Neil ;3050
30500140;Commander O'Neil [Boss] - Caelid (Aeonia Swamp Middle);3050
30509999;Commander;3050
31800000;Dog;3181
31800020;Dog [Tier 7];3181
31800021;Dog [Tier 7];3181
31800052;Dog [Tier 17];3180
31809000;Dog;3181
31809020;Dog [Tier 7];3181
31810000;Red Wolf of Radagon;3181
31810020;Red Wolf of Radagon [Tier 7];3181
31810022;Red Wolf of Radagon [Tier 14];3181
31810052;Red Wolf of Radagon [Tier 17];3181
31810065;Red Wolf of Radagon [Tier 10];3181
31811000;Red Wolf of Radagon;3181
31811024;Red Wolf of Radagon [Boss] - Liurnia (Academy of Raya Lucaria);3181
31811032;Red Wolf of Radagon [Boss] - Mt. Gelmir (Gelmir's Hero Grave);3181
31811052;Red Wolf of Radagon [Tier 17];3181
32100000;Nomad Mule;3210
32100010;Nomad Mule [Tier 2];3210
32100012;Nomad Mule [Tier 3];3210
32100030;Nomad Mule [Tier 9];3210
32100032;Nomad Mule [Tier 10];3210
32100210;Nomad Mule [Tier 2];3210
32101010;Nomad Mule [Tier 2];3210
32101110;Nomad Mule [Tier 2];3210
32101210;Nomad Mule [Tier 2];3210
32101310;Nomad Mule [Tier 2];3210
32101412;Nomad Mule [Tier 3];3210
32101520;Nomad Mule [Tier 7];3210
32101612;Nomad Mule [Tier 3];3210
32101720;Nomad Mule [Tier 7];3210
32101820;Nomad Mule [Tier 7];3210
32101933;Nomad Mule [Tier 10];3210
32102030;Nomad Mule [Tier 9];3210
32102132;Nomad Mule [Tier 10];3210
32102240;Nomad Mule [Tier 8];3210
32102340;Nomad Mule [Tier 8];3210
32102542;Nomad Mule [Tier 16];3210
32102650;Nomad Mule [Tier 13];3210
32102764;Nomad Mule [Tier 7];3210
32102860;Nomad Mule [Tier 6];3210
32102968;Nomad Mule [Tier 18];3210
32103010;Nomad Mule [Tier 2];3210
32108900;Nomad Mule;3210
32109000;Nomad Mule;3210
32109010;Nomad Mule;3210
32109100;Nomad Mule;3210
32109200;Nomad Mule [Tier 2];3210
32109300;Nomad Mule;3210
32109400;Nomad Mule;3210
32109500;Nomad Mule;3210
32109600;Nomad Mule;3210
32109700;Nomad Mule;3210
32109800;Nomad Mule;3210
32109810;Nomad Mule [Tier 2];3210
32109900;Nomad Mule;3210
32500000;Draconic Tree Sentinel;3250
32500033;Draconic Tree Sentinel [Boss] - Altus Plateau (Capital Outskirts);3250
32500070;Draconic Tree Sentinel [Tier 16];3250
32500072;Draconic Tree Sentinel [Tier 15];3250
32510000;Tree Sentinel - Shield;3251
32510010;Tree Sentinel - Shield [Boss] - Limgrave;3251
32510030;Tree Sentinel - Shield [Boss] - Altus Plateau (Capital Outskirts);3251
32510034;Tree Sentinel - Shield [Tier 11];3251
32510070;Tree Sentinel - Shield [Tier 16];3251
32511000;Tree Sentinel - Torch;3251
32511030;Tree Sentinel - Torch [Boss] - Altus Plateau (Capital Outskirts);3251
32520000;Loretta, Knight of the Haligtree;3252
32520054;Loretta, Knight of the Haligtree [Boss] - Miquella's Haligtree;3252
32520100;Royal Knight Loretta;3252
32520921;Royal Knight Loretta [Boss] - Liurnia (Carian Manor);3252
34715000;Albinauric;3470
34715100;Albinauric;3470
34715120;Albinauric;3470
34715200;Albinauric;3470
34715268;Albinauric;3470
34715300;Albinauric;3470
34715352;Albinauric;3470
35600000;Godskin Apostle;3560
35600030;Godskin Apostle  [Boss] - Altus Plateau (Windmill Village);3560
35600040;Godskin Apostle  [Tier 8];3560
35600042;Godskin Apostle  [Boss] - Caelid (Divine Tower of Caelid);3560
35600100;Godskin Apostle;3560
35600172;Godskin Apostle [Tier 15];3560
35600900;Godskin Apostle;3560
35600950;Godskin Apostle [Boss] - Mountaintops of the Giants (Spiritcaller Cave);3560
35600972;Godskin Apostle [Boss] - Crumbling Farum Azula;3560
35700000;Godskin Noble;3570
