Row ID;Row Name;Player Light Scale
30000000;;1.2
30010000;;1.2
30020000;;1.2
30030000;;1.2
30040000;;1.2
30050000;;1.2
30060000;;1.2
30070000;;1.2
30080000;;1.2
30090000;;1.2
30100000;;1.2
30110000;;1.2
30120000;;1.2
30130000;;1.2
30140000;;1.2
30150000;;1.2
30160000;;1.2
30170000;;1.2
30180000;;1.2
30190000;;1.2
30200000;;1.2
31000000;;1.6
31010000;;1.6
31020000;;1.6
31030000;;1.6
31040000;;1.6
31050000;;1.6
31060000;;1.6
31070000;;1.6
31080000;;1.6
31090000;;1.6
31100000;;1.6
31110000;;1.6
31120000;;1.6
31130000;;1.6
31140000;;1.6
31150000;;1.6
31170000;;1.6
31180000;;1.6
31190000;;1.6
31200000;;1.6
31210000;;1.6
31220000;;1.6
32000000;;1.2
32010000;;1.2
32020000;;1.2
32030000;;1.2
32040000;;1.2
32050000;;1.2
32060000;;1.2
32070000;;1.2
32080000;;1.2
32090000;;1.2
32100000;;1.2
32110000;;1.2
32120000;;1.2
