Row ID;Row Name;Sell Value
0;;0
23;;100
24;;200
25;;500
26;;500
27;;200
28;;100
29;;500
30;;100
31;;200
35;;200
42;;1
43;;1
44;;1
60;;1
61;;1
62;;1
63;;1
64;;1
65;;1
66;;1
67;;1
68;;1
69;;1
70;;1
71;;1
72;;1
73;;1
74;;1
75;;1
76;;1
77;;1
78;;1
79;;1
90;;10000
91;;1000
92;;1
93;;1
98;;500
99;;50
111;Festering Bloody Finger;100
150;Furlcalling Finger Remedy;10
190;Rune Arc;200
480;Roped Freezing Pot;1
810;Rowa Raisin;10
811;Sweet Raisin;10
812;Frozen Raisin;10
820;Boiled Crab;50
830;Boiled Prawn;50
900;Neutralizing Boluses;100
910;Stanching Boluses;100
920;Thawfrost Boluses;100
930;Stimulating Boluses;100
940;Preserving Boluses;200
950;Rejuvenating Boluses;200
960;Clarifying Boluses;200
1100;Pickled Turtle Neck;200
1110;Immunizing Cured Meat;100
1120;Invigorating Cured Meat;100
1130;Clarifying Cured Meat;100
1140;Dappled Cured Meat;200
1150;Spellproof Dried Liver;100
1160;Fireproof Dried Liver;100
1170;Lightningproof Dried Liver;100
1180;Holyproof Dried Liver;100
1190;Silver-Pickled Fowl Foot;100
1200;Gold-Pickled Fowl Foot;200
1210;Exalted Flesh;200
1220;Deathsbane Jerky;200
1235;Raw Meat Dumpling;100
1290;Starlight Shards;50
1310;Immunizing White Cured Meat;100
1320;Invigorating White Cured Meat;100
1330;Clarifying White Cured Meat;100
1340;Dappled White Cured Meat;100
1350;Deathsbane White Jerky;200
1400;Fire Grease;100
1410;Lightning Grease;100
1420;Magic Grease;100
1430;Holy Grease;100
1440;Blood Grease;100
1450;Soporific Grease;200
1460;Poison Grease;100
1470;Freezing Grease;100
1480;Dragonwound Grease;200
1490;Rot Grease;200
1500;Drawstring Fire Grease;100
1510;Drawstring Lightning Grease;100
1520;Drawstring Magic Grease;100
1530;Drawstring Holy Grease;100
1540;Drawstring Blood Grease;100
1550;Drawstring Soporific Grease;200
1560;Drawstring Poison Grease;100
1570;Drawstring Freezing Grease;100
1590;Drawstring Rot Grease;200
1690;Shield Grease;100
1700;Throwing Dagger;10
1710;Bone Dart;10
1720;Poisonbone Dart;10
1730;Kukri;10
1740;Crystal Dart;20
1750;Fan Daggers;20
1760;Ruin Fragment;10
1830;Explosive Stone;50
1831;Explosive Stone Clump;50
1840;Poisoned Stone;50
1841;Poisoned Stone Clump;50
2020;Rainbow Stone;10
2030;Glowstone;10
2050;Grace Mimic;10
2100;Soft Cotton;10
2120;Soap;10
2130;Celestial Dew;100
2900;Golden Rune [1];200
2901;Golden Rune [2];400
2902;Golden Rune [3];800
2903;Golden Rune [4];1200
2904;Golden Rune [5];1600
2905;Golden Rune [6];2000
2906;Golden Rune [7];2500
2907;Golden Rune [8];3000
2908;Golden Rune [9];3800
2909;Golden Rune [10];5000
2910;Golden Rune [11];6250
2911;Golden Rune [12];7500
2912;Golden Rune [13];10000
2913;Numen's Rune;12500
2914;Hero's Rune [1];15000
2915;Hero's Rune [2];20000
2916;Hero's Rune [3];25000
2917;Hero's Rune [4];30000
2918;Hero's Rune [5];35000
2919;Lord's Rune;50000
2920;Holding Rune;1000
2950;Remembrance of the Grafted;20000
2951;Remembrance of the Starscourge;40000
2952;Remembrance of the Omen King;30000
2953;Remembrance of the Blasphemous;50000
2954;Remembrance of the Rot Goddess;50000
2955;Remembrance of the Blood Lord;30000
2956;Remembrance of the Black Blade;30000
2957;Remembrance of Hoarah Loux;30000
2958;Remembrance of the Dragonlord;30000
2959;Remembrance of the Full Moon Queen;20000
2960;Remembrance of the Lichdragon;30000
2961;Remembrance of the Fire Giant;30000
2962;Remembrance of the Regal Ancestor;30000
2963;Elden Remembrance;50000
2964;Remembrance of the Naturalborn;30000
2990;Lands Between Rune;3000
3030;Cuckoo Glintstone;50
3050;Glintstone Scrap;100
3051;Large Glintstone Scrap;100
3060;Gravity Stone Fan;100
3070;Gravity Stone Chunk;100
3310;Warming Stone;50
3311;Frenzyflame Stone;100
3320;Scriptstone;10
3350;Bewitching Branch;100
9015;Wait!;0
10000;Glass Shard;0
10070;Lost Ashes of War;500
10100;Smithing Stone [1];100
10101;Smithing Stone [2];200
10102;Smithing Stone [3];300
10103;Smithing Stone [4];400
10104;Smithing Stone [5];500
10105;Smithing Stone [6];600
10106;Smithing Stone [7];700
10107;Smithing Stone [8];800
10140;Ancient Dragon Smithing Stone;1000
10160;Somber Smithing Stone [1];200
10161;Somber Smithing Stone [2];400
10162;Somber Smithing Stone [3];600
10163;Somber Smithing Stone [4];800
10164;Somber Smithing Stone [5];1000
10165;Somber Smithing Stone [6];1200
10166;Somber Smithing Stone [7];1400
10167;Somber Smithing Stone [8];1600
10168;Somber Ancient Dragon Smithing Stone;2000
10200;Somber Smithing Stone [9];1800
10900;Grave Glovewort [1];50
10901;Grave Glovewort [2];100
10902;Grave Glovewort [3];150
10903;Grave Glovewort [4];200
10904;Grave Glovewort [5];250
10905;Grave Glovewort [6];300
10906;Grave Glovewort [7];350
10907;Grave Glovewort [8];400
10908;Grave Glovewort [9];450
10909;Great Grave Glovewort;500
10910;Ghost Glovewort [1];100
10911;Ghost Glovewort [2];200
10912;Ghost Glovewort [3];300
10913;Ghost Glovewort [4];400
10914;Ghost Glovewort [5];500
10915;Ghost Glovewort [6];600
10916;Ghost Glovewort [7];700
10917;Ghost Glovewort [8];800
10918;Ghost Glovewort [9];900
10919;Great Ghost Glovewort;1000
15000;Sliver of Meat;10
15010;Beast Liver;10
15020;Lump of Flesh;10
15030;Beast Blood;50
15040;Old Fang;50
15050;Budding Horn;100
15060;Flight Pinion;10
15080;Four-Toed Fowl Foot;10
15090;Turtle Neck Meat;10
15100;Human Bone Shard;10
15110;Great Dragonfly Head;10
15120;Slumbering Egg;10
15130;Crab Eggs;10
15140;Land Octopus Ovary;10
15150;Miranda Powder;10
15160;Strip of White Flesh;10
15340;Thin Beast Bones;10
15341;Hefty Beast Bone;10
15400;String;10
15410;Living Jar Shard;200
15420;Albinauric Bloodclot;100
15430;Stormhawk Feather;50
20650;Poisonbloom;10
20651;Trina's Lily;10
20652;Fulgurbloom;10
20653;Miquella's Lily;100
20654;Grave Violet;10
20660;Faded Erdleaf Flower;10
20680;Erdleaf Flower;10
20681;Altus Bloom;10
20682;Fire Blossom;10
20683;Golden Sunflower;10
20685;Tarnished Golden Sunflower;10
20690;Herba;10
20691;Arteria Leaf;100
20710;Dewkissed Herba;10
20720;Rowa Fruit;10
20721;Golden Rowa;10
20722;Rimed Rowa;10
20723;Bloodrose;10
20740;Eye of Yelough;100
20750;Crystal Bud;10
20751;Rimed Crystal Bud;10
20753;Sacramental Bud;100
20760;Mushroom;10
20761;Melted Mushroom;10
20770;Toxic Mushroom;10
20775;Root Resin;10
20780;Cracked Crystal;10
20795;Sanctuary Stone;10
20800;Nascent Butterfly;100
20801;Aeonian Butterfly;100
20802;Smoldering Butterfly;10
20810;Silver Firefly;10
20811;Gold Firefly;10
20812;Glintstone Firefly;10
20820;Golden Centipede;100
20825;Silver Tear Husk;10
20830;Gold-Tinged Excrement;10
20831;Blood-Tainted Excrement;10
20840;Cave Moss;10
20841;Budding Cave Moss;10
20842;Crystal Cave Moss;10
20845;Yellow Ember;10
20850;Volcanic Stone;10
20852;Formic Rock;100
20855;Gravel Stone;100
51760;;10
999999999;;0
