Row ID;Row Name;Behavior Judge ID
0;;0
10;;0
11;;0
100;;0
400;;0
401;;0
402;;0
403;;0
404;;0
405;;0
406;;0
410;;0
411;;0
412;;0
413;;0
420;;0
421;;0
422;;0
442;;0
500;;0
501;;0
502;;0
503;;0
504;;0
505;;0
506;;0
507;;0
510;;0
511;;0
512;;0
513;;0
520;;0
521;;0
522;;0
530;;0
531;;0
540;;0
541;;0
542;;0
550;;0
560;;0
561;;0
600;;0
601;;0
602;;0
900;;0
1000;;0
1010;;0
1500;Flask of Crimson Tears;0
1501;Flask of Crimson Tears +1;0
1502;Flask of Crimson Tears +2;0
1503;Flask of Crimson Tears +3;0
1504;Flask of Crimson Tears +4;0
1505;Flask of Crimson Tears +5;0
1506;Flask of Crimson Tears +6;0
1507;Flask of Crimson Tears +7;0
1508;Flask of Crimson Tears +8;0
1509;Flask of Crimson Tears +9;0
1510;Flask of Crimson Tears +10;0
1511;Flask of Crimson Tears +11;0
1512;Flask of Crimson Tears +12;0
2100;Hemorrhage - Bullet;0
2105;Poison/Scarlet Rot - Bullet;0
2110;;0
2120;;0
2121;;0
2130;;0
2140;;0
2141;;0
2200;;0
2201;;0
2202;;0
2203;;0
2204;;0
2900;;0
2999;;0
3000;;0
3005;;0
3010;;0
3011;;0
3012;;0
3020;;0
4000;;0
4001;;0
4002;;0
4003;;0
4004;;0
4005;;0
4050;;0
4100;;0
5000;;0
5010;;0
5011;;0
5012;;0
100000000;;0
100000010;;10
100000020;;20
100000030;;30
100000040;;40
100000050;;50
100000100;;100
100000105;;105
100000110;;110
100000115;;115
100000120;;120
100000125;;125
100000130;;130
100000140;;140
100000150;;150
100000155;;155
100000160;;160
100000165;;165
100000180;;180
100000200;;200
100000203;;203
100000210;;210
100000213;;213
100000220;;220
100000230;;230
100000233;;233
100000240;;240
100000250;;250
100000300;;300
100000305;;305
100000310;;310
100000315;;315
100000320;;320
100000323;;323
100000325;;325
100000328;;328
100000330;;330
100000333;;333
100000340;;340
100000350;;350
100000355;;355
100000360;;360
100000365;;365
100000380;;380
100000381;;381
100000400;;400
100000410;;410
100000420;;420
100000430;;430
100000440;;440
100000450;;450
100000460;;460
100000470;;470
100000480;;480
100000500;;500
100000501;;501
100000505;;505
100000506;;506
100000509;;509
100000510;;510
100000511;;511
100000515;;515
100000516;;516
100000517;;517
100000520;;520
100000530;;530
100000540;;540
100000550;;550
100000560;;560
100000561;;561
100000590;;590
100000591;;591
100000600;;600
100000605;;605
100000610;;610
100000630;;630
100000632;;632
100000635;;635
100000640;;640
100000642;;642
100000645;;645
100000650;;650
100000660;;660
100000665;;665
100000700;;700
100000705;;705
100000710;;710
100000730;;730
100000732;;732
100000735;;735
100000740;;740
100000742;;742
100000745;;745
100000750;;750
100000760;;760
100000765;;765
100100000;Default - Dagger - 1H - R1 #1;0
100100010;Default - Dagger - 1H - R1 #2;10
100100020;Default - Dagger - 1H - R1 #3;20
100100030;Default - Dagger - 1H - R1 #4;30
100100040;Default - Dagger - 1H - R1 #5;40
100100050;Default - Dagger - 1H - R1 #6;50
100100100;Default - Dagger - 1H - R2 #1;100
100100105;Default - Dagger - 1H - R2 #1 - Charged;105
100100110;Default - Dagger - 1H - R2 #2;110
100100115;Default - Dagger - 1H - R2 #2 - Charged;115
100100120;Default - Dagger - 1H - R1 - Dash #1;120
100100125;Default - Dagger - 1H - R1 - Dash #2;125
100100130;Default - Dagger - 1H - R1 - From Roll;130
