Row ID;Row Name;Available: Small Shield
10;test gem 1;True
20;test gem 2;True
30;test gem 3;True
40;Ash of War: Lion's Claw;True
41;Ash of War: Lion's Claw;True
80;Ash of War: Lion's Claw;True
81;Ash of War: Lion's Claw;True
82;Ash of War: Lion's Claw;True
83;Ash of War: Lion's Claw;True
84;Ash of War: Lion's Claw;True
85;Ash of War: Lion's Claw;True
86;Ash of War: Lion's Claw;True
87;Ash of War: Lion's Claw;True
88;Ash of War: Lion's Claw;True
89;Ash of War: Lion's Claw;True
90;Ash of War: Lion's Claw;True
100;Ash of War: Lion's Claw;True
101;Ash of War: Impaling Thrust;True
102;Ash of War: Piercing Fang;True
103;Ash of War: Spinning Slash;True
104;Ash of War:;True
105;Ash of War: Charge Forth;True
106;Ash of War: Stamp (Upward Cut);True
107;Ash of War: Stamp (Sweep);True
108;Ash of War: Blood Tax;True
109;Ash of War: Repeating Thrust;True
110;Ash of War: Wild Strikes;True
111;Ash of War: Spinning Strikes;True
112;Ash of War: Double Slash;True
113;Ash of War: Prelate's Charge;True
114;Ash of War: Unsheathe;True
115;Ash of War: Square Off;True
116;Ash of War: Giant Hunt;True
117;Ash of War: Torch Attack;True
118;Ash of War: Loretta's Slash;True
119;Ash of War: Poison Moth Flight;True
120;Ash of War: Spinning Weapon;True
121;Ash of War:;True
122;Ash of War: Storm Assault;True
123;Ash of War: Stormcaller;True
124;Ash of War: Sword Dance;True
125;Ash of War: Sacred Blade;True
126;Ash of War: Ice Spear;True
127;Ash of War: Glintstone Pebble;True
128;Ash of War: Bloody Slash;True
129;Ash of War: Lifesteal Fist;True
130;Ash of War: Eruption;True
131;Ash of War: Prayerful Strike;True
132;Ash of War: Gravitas;True
133;Ash of War: Storm Blade;True
134;Ash of War: Phantom Slash;True
135;Ash of War: Earthshaker;True
136;Ash of War: Golden Land;True
137;Ash of War: Flaming Strike;True
138;Ash of War: Thunderbolt;True
139;Ash of War: Lightning Slash;True
140;Ash of War: Carian Grandeur;True
141;Ash of War: Carian Greatsword;True
142;Ash of War: Vacuum Slice;True
143;Ash of War: Black Flame Tornado;True
144;Ash of War: Sacred Ring of Light;True
146;Ash of War: Shield Bash;True
147;Ash of War: Barricade Shield;True
148;Ash of War: Parry;True
149;Ash of War: Buckler Parry;True
151;Ash of War: Carian Retaliation;True
152;Ash of War: Storm Wall;True
153;Ash of War: Golden Parry;True
154;Ash of War: Shield Crash;True
155;Ash of War: Through and Through;True
156;Ash of War: Barrage;True
157;Ash of War: Mighty Shot;True
158;Ash of War: Enchanted Shot;True
159;Ash of War: Sky Shot;True
160;Ash of War: Rain of Arrows;True
161;Ash of War:;True
163;Ash of War:;True
164;Ash of War: Hoarfrost Stomp;True
165;Ash of War: Storm Stomp;True
166;Ash of War: Kick;True
167;Ash of War: Lightning Ram;True
168;Ash of War: Flame of the Redmanes;True
169;Ash of War: Ground Slam;True
170;Ash of War: Golden Slam;True
171;Ash of War: Waves of Darkness;True
173;Ash of War: Determination;True
174;Ash of War: Assassin's Gambit;True
175;Ash of War: Golden Vow;True
176;Ash of War: Sacred Order;True
177;Ash of War: Seppuku;True
178;Ash of War: Cragblade;True
179;Ash of War: Shared Order;True
180;Ash of War: Barbaric Roar;True
181;Ash of War: Beast's Roar;True
182;Ash of War:;True
183;Ash of War: Braggart's Roar;True
184;Ash of War: Troll's Roar;True
185;Ash of War: Endure;True
186;Ash of War: Vow of the Indomitable;True
187;Ash of War: Holy Ground;True
190;Ash of War: Quickstep;True
191;Ash of War: Bloodhound's Step;True
192;Ash of War: Raptor of the Mists;True
194;Ash of War: White Shadow's Lure;True
195;Ash of War: Sword Dance;True
196;Ash of War: Firebreather;True
197;Ash of War: Blood Blade;True
198;Ash of War: Thops's Barrier;True
1000;Ash of War: Lion's Claw;False
1001;Ash of War: Impaling Thrust;False
1002;Ash of War: Spinning Slash;False
1003;Ash of War:;False
1004;Ash of War: Glintblade Phalanx;False
1005;Ash of War:;False
1006;Ash of War: Eruption;False
1007;Ash of War: Gravitas;False
1008;Ash of War: Storm Blade;False
1009;Ash of War: Earthshaker;False
1010;Ash of War: Flaming Strike;False
1011;Ash of War: Thunderbolt;False
1012;Ash of War: Carian Greatsword;False
1013;Ash of War: Storm Stomp;False
1014;Ash of War: Determination;False
1015;Ash of War: Holy Ground;True
1016;Ash of War: Quickstep;True
1017;Ash of War: Raptor of the Mists;True
10000;Ash of War: Lion's Claw;False
10100;Ash of War: Impaling Thrust;False
10200;Ash of War: Piercing Fang;False
10300;Ash of War: Spinning Slash;False
10500;Ash of War: Charge Forth;False
10600;Ash of War: Stamp (Upward Cut);False
10700;Ash of War: Stamp (Sweep);False
10800;Ash of War: Blood Tax;False
10900;Ash of War: Repeating Thrust;False
11000;Ash of War: Wild Strikes;False
11100;Ash of War: Spinning Strikes;False
11200;Ash of War: Double Slash;False
11300;Ash of War: Prelate's Charge;False
11400;Ash of War: Unsheathe;False
11500;Ash of War: Square Off;False
11600;Ash of War: Giant Hunt;False
11800;Ash of War: Loretta's Slash;False
11900;Ash of War: Poison Moth Flight;False
12000;Ash of War: Spinning Weapon;False
12200;Ash of War: Storm Assault;False
12300;Ash of War: Stormcaller;False
12400;Ash of War: Sword Dance;False
20000;Ash of War: Glintblade Phalanx;False
20100;Ash of War: Sacred Blade;False
20200;Ash of War: Ice Spear;False
20300;Ash of War: Glintstone Pebble;False
20400;Ash of War: Bloody Slash;False
20500;Ash of War: Lifesteal Fist;False
20700;Ash of War: Eruption;False
20800;Ash of War: Prayerful Strike;False
20900;Ash of War: Gravitas;False
21000;Ash of War: Storm Blade;False
21200;Ash of War: Earthshaker;False
21300;Ash of War: Golden Land;False
21400;Ash of War: Flaming Strike;False
21600;Ash of War: Thunderbolt;False
21700;Ash of War: Lightning Slash;False
21800;Ash of War: Carian Grandeur;False
21900;Ash of War: Carian Greatsword;False
22000;Ash of War: Vacuum Slice;False
22100;Ash of War: Black Flame Tornado;False
22200;Ash of War: Sacred Ring of Light;False
22400;Ash of War: Blood Blade;False
22500;Ash of War: Phantom Slash;False
22600;Ash of War: Spectral Lance;False
22700;Ash of War: Chilling Mist;False
22800;Ash of War: Poisonous Mist;False
30000;Ash of War: Shield Bash;True
30100;Ash of War: Barricade Shield;True
30200;Ash of War: Parry;True
30500;Ash of War: Carian Retaliation;True
30600;Ash of War: Storm Wall;True
30700;Ash of War: Golden Parry;True
30800;Ash of War: Shield Crash;True
30900;Ash of War: No Skill;True
31000;Ash of War: Thops's Barrier;True
40000;Ash of War: Through and Through;False
40100;Ash of War: Barrage;False
40200;Ash of War: Mighty Shot;False
40400;Ash of War: Enchanted Shot;False
40500;Ash of War: Sky Shot;False
40600;Ash of War: Rain of Arrows;False
50100;Ash of War: Hoarfrost Stomp;False
50200;Ash of War: Storm Stomp;False
50300;Ash of War: Kick;False
50400;Ash of War: Lightning Ram;False
50500;Ash of War: Flame of the Redmanes;False
50600;Ash of War: Ground Slam;False
50700;Ash of War: Golden Slam;False
50800;Ash of War: Waves of Darkness;False
50900;Ash of War: Hoarah Loux's Earthshaker;False
60000;Ash of War: Determination;False
60100;Ash of War: Royal Knight's Resolve;False
60200;Ash of War: Assassin's Gambit;False
60300;Ash of War: Golden Vow;False
60400;Ash of War: Sacred Order;False
60500;Ash of War: Shared Order;False
60600;Ash of War: Seppuku;False
60700;Ash of War: Cragblade;False
65000;Ash of War: Barbaric Roar;False
65100;Ash of War: War Cry;False
65200;Ash of War: Beast's Roar;False
65300;Ash of War: Troll's Roar;False
65400;Ash of War: Braggart's Roar;False
70000;Ash of War: Endure;False
70100;Ash of War: Vow of the Indomitable;True
70200;Ash of War: Holy Ground;True
80000;Ash of War: Quickstep;False
80100;Ash of War: Bloodhound's Step;False
80200;Ash of War: Raptor of the Mists;False
