Row ID;Row Name;Is Hit Carver Generation Blocked
0;;False
1;;False
2;;False
3;;False
4;;False
5;;False
6;;False
7;;False
8;;False
9;;False
10;;False
11;;False
12;;False
13;;False
14;;False
15;;False
16;;False
17;;False
18;;False
19;;False
20;;False
21;;False
22;;False
23;;False
24;;False
25;;False
26;;False
27;;False
28;;False
50;;False
51;;False
52;;False
53;;False
54;;False
55;;False
56;;False
57;;False
58;;False
59;;False
60;;False
61;;False
62;;False
63;;False
64;;False
65;;False
66;;False
67;;False
68;;False
69;;False
70;;False
71;;False
72;;False
73;;False
74;;False
75;;False
76;;False
77;;False
78;;False
79;;False
80;;False
81;;False
82;;False
83;;False
84;;False
85;;False
86;;False
87;;False
88;;False
89;;False
90;;False
91;;False
92;;False
93;;False
94;;False
95;;False
96;;False
97;;False
98;;False
99;;False
100;;False
101;;False
102;;False
131;;False
1000;;False
1001;;False
1002;;False
1005;;False
1006;;False
1007;;False
1008;;False
1009;;False
1010;;False
1011;;False
1013;;False
1014;;False
1015;;False
1016;;False
1017;;False
1018;;False
1019;;False
1020;;False
1021;;False
1022;;False
1023;;False
1024;;False
1025;;False
1026;;False
1027;;False
1028;;False
1029;;False
1030;;False
1031;;False
1032;;False
1033;;False
1034;;False
1035;;False
1036;;False
1037;;False
1038;;False
1039;;False
1040;;False
1041;;False
1042;;False
1043;;False
1044;;False
1045;;False
1046;;False
1047;;False
1048;;False
1051;;False
1052;;False
1053;;False
1054;;False
1055;;False
1056;;False
1057;;False
1058;;False
1059;;False
1070;;False
1071;;False
1072;;False
1073;;False
1074;;False
1075;;False
1076;;False
1077;;False
1078;;False
1080;;False
1081;;False
1082;;False
1083;;False
1084;;False
1085;;False
1086;;False
1087;;False
1088;;False
1089;;False
1090;;False
1091;;False
1092;;False
1093;;False
1094;;False
1095;;False
1096;;False
1097;;False
1098;;False
1099;;False
1101;;False
1102;;False
1103;;False
1104;;False
1105;;False
1106;;False
1107;;False
1108;;False
1109;;False
1111;;False
1112;;False
1113;;False
1114;;False
1115;;False
1116;;False
1120;;False
