Row ID;Row Name;Item ID 1
0;;100000
1;;240
2;;0
100;;12
200;;403
300;;12302
310;;12307
2000;;1001
2001;;1051
2010;;400
2020;;12
2230;;109
2520;;12
2700;;251
2900;;22000
2910;;22001
3000;;9200
3010;;9201
3020;;9202
3030;;9203
3040;;9204
4820;;3360
4900;;8182
4910;;8183
4920;;8184
5000;;1000
5010;;109
5020;;374
5030;;375
5040;;1110
5200;;2
5210;;3
5220;;6
5230;;10
5240;;20
5250;;30
5260;;40
5270;;50
5280;;100
5400;;190
5401;;150
5410;;190
5411;;150
5420;;150
5430;;190
5431;;150
5440;;190
5441;;150
5450;;190
5451;;150
5500;;150
5510;;-1
5510;;150
5520;;-1
5530;;150
5540;;150
5550;;150
5620;;150
5630;;150
5640;;150
5650;;150
5670;;150
5680;;150
6000;;0
9000;;500
9010;;500
9020;;501
9030;;330
10000;;10040
10010;;8148
10011;;2950
10020;;0
10030;;2060000
10031;;32090000
10040;;2952
10041;;8150
10050;;10040
10060;;11110000
10061;;590000
10062;;590100
10063;;590200
10064;;590300
10070;;2957
10080;;2964
10090;;6921
10100;;3190000
10101;;10080000
10110;;2960
10120;;2955
10121;;8152
10130;;0
10140;;8954
10141;;22100
10150;;2958
10160;;2956
10170;;10030
10180;;2959
10181;;10080
10182;;0
10190;;4381
10191;;18100000
10200;;2954
10201;;8153
10210;;6010000
10211;;6270
10220;;2953
10221;;8151
10230;;2963
10240;;0
10250;;6300
10260;;8040000
10261;;10060
10270;;0
10280;;10010
10281;;201000
10290;;16130000
10300;;2951
10301;;8149
10310;;2961
10320;;209000
10330;;2962
10340;;8185
10341;;1090000
10350;;5020
10730;;520000
10731;;520100
10732;;520200
10733;;520300
10740;;247000
10800;;4100000
10810;;4380
10811;;11800
10820;;3150000
10821;;32050000
10830;;4080000
10840;;21120000
20000;;258000
20010;;234000
20020;;241000
20030;;5050
20040;;202000
20050;;219000
20060;;218000
20070;;231000
20080;;256000
20090;;239000
20100;;3060000
20101;;570000
20102;;570100
20103;;570200
20104;;570300
20110;;217000
20120;;8960
20130;;246000
20140;;243000
20150;;224000
20160;;257000
20161;;10010
20170;;8050000
20171;;1070000
20172;;1070100
20173;;1070200
20174;;1070300
20180;;10010
20181;;8961
20190;;10909
20191;;2000100
20200;;228000
20210;;5060
20211;;8172
20220;;2160
20300;;1020
20310;;4010
20320;;0
20330;;4020
20340;;8161
20341;;8163
20350;;2110
20360;;2080
20370;;1010
20380;;4510
20390;;2170
20400;;44010000
20410;;15020000
20420;;6010
20430;;215000
20440;;4022
20450;;1110
20460;;4520
20470;;3170000
20480;;5040
20481;;6240
20490;;13020000
20600;;15060000
20610;;2190
20620;;8951
20630;;23020000
20640;;8010000
20650;;8956
20660;;10060
20661;;9060000
20670;;10165
20671;;10106
20672;;3070
20673;;8955
20680;;4701
30100;;18080000
30110;;10060
30120;;7500
30130;;8030000
30170;;2090
30171;;212000
30185;;11009
30186;;11008
30200;;11029
30201;;11030
30202;;11031
30205;;11004
30206;;11016
30210;;10060
30225;;4110
30240;;2090
30241;;213000
30245;;6110
30250;;4302
30255;;4700
30260;;10060
30261;;4431
30265;;200000
30300;;6950
30310;;10164
30311;;10105
30312;;3060
30313;;3070
30315;;23060000
30316;;32040000
30320;;11006
30321;;11000
30325;;10010000
30326;;6230
30335;;32080000
30336;;2914
30350;;1010000
30375;;10165
30376;;10105
30377;;23080000
30380;;11018
30381;;11025
30385;;2090
30386;;5030
30390;;10060
30395;;10030
30400;;10060
30405;;18040000
30406;;8975
30410;;11010
30411;;11028
30415;;11011
30416;;11026
30420;;10060
30425;;3210000
30426;;18160000
30505;;10090000
30506;;15140000
30510;;10060
30515;;6970
30516;;950000
30517;;950100
30518;;950200
30519;;950300
30525;;11005
30526;;11007
30530;;16120000
30550;;10060
30555;;11013
30556;;11017
30600;;9070000
30620;;18140000
40100;;30600
40104;;11000
40108;;60000
40112;;11400
40116;;50600
40118;;20100
40120;;10700
40132;;6480
40136;;6920
40138;;7220
40140;;40200
40142;;10160
40144;;10160
40146;;10160
40170;;12200
40172;;12300
40174;;5000
40200;;22700
40202;;10500
40204;;50100
40206;;31000
40208;;70100
40210;;30000
40218;;6320
40220;;4450
40224;;65000
40236;;7320
40238;;12400
40250;;4490
40252;;10161
40254;;10161
40256;;10162
40258;;10162
40260;;10161
40262;;10161
40264;;10161
40272;;22600
40290;;10163
40300;;60400
40302;;30800
40304;;21200
40306;;22400
40308;;50700
40310;;50400
40312;;6340
40314;;20800
40316;;30700
40318;;21700
40320;;10164
40332;;40100
40334;;40000
40370;;6330
40372;;21600
40400;;6030
40402;;20500
40404;;22200
40406;;22800
40408;;21400
40410;;50500
40412;;40500
40414;;60700
40416;;7230
40418;;11200
40420;;6850
40422;;10163
40424;;10163
40426;;10167
40428;;10200
40500;;10100
40502;;10100
40504;;10100
40506;;10100
40508;;10100
40510;;60600
40512;;65300
40514;;6060
40516;;11300
40520;;10100
40522;;10100
40524;;85000
40526;;10100
40528;;10100
40570;;2900
40572;;2900
40574;;2900
40578;;2900
40590;;10164
40592;;10164
40600;;10165
40602;;10165
40610;;5110
40612;;2900
40614;;2900
40616;;2900
40618;;2900
40630;;11500
40632;;2900
40634;;2900
40636;;2900
40638;;2900
40640;;2900
40642;;10164
40644;;2900
40646;;40400
40648;;6780
40650;;2900
40652;;5100
40660;;21300
40662;;2900
40664;;2900
40666;;2900
40668;;10165
40670;;10165
40680;;2900
40682;;2900
40684;;2900
40686;;10800
40772;;7903
50000;;9100
50010;;9101
50020;;9102
