Row ID;Row Name;Reinforcement Level
10;Longsword +6 - test gem 1;6
20;Blank +6 - Lion's Claw;6
21;Blank +6 - Lion's Claw;6
22;Blank +6 - Lion's Claw;6
23;Blank +6 - Lion's Claw;6
80;Longsword +0 - Lion's Claw;0
81;Heavy Longsword +0 - Lion's Claw;0
82;Keen Longsword +0 - Lion's Claw;0
83;Quality Longsword +0 - Lion's Claw;0
84;Fire Longsword +0 - Lion's Claw;0
85;Flame Art Longsword +0 - Lion's Claw;0
86;Lightning Longsword +0 - Lion's Claw;0
87;Sacred Longsword +0 - Lion's Claw;0
88;Magic Longsword +0 - Lion's Claw;0
89;Cold Longsword +0 - Lion's Claw;0
90;Poison Longsword +0 - Lion's Claw;0
100;Bastard Sword +0 - Lion's Claw;0
101;Longsword +0 - Impaling Thrust;0
102;Uchigatana +0 - Piercing Fang;0
103;Longsword +0 - Spinning Slash;0
104;Bastard Sword +0 - Spinning Slash;0
105;Lance +0 - Charge Forth;0
106;Bastard Sword +0 - Stamp (Upward Cut);0
107;Greatsword +0 - Stamp (Sweep);0
108;Longsword +0 - Blood Tax;0
109;Longsword +0 - Repeating Thrust;0
110;Battle Axe +0 - Wild Strikes;0
111;Halberd +0 - Spinning Strikes;0
112;Uchigatana +0 - Double Slash;0
113;Prelate's Inferno Crozier +0 - Prelate's Charge;0
114;Uchigatana +0 - Unsheathe;0
115;Longsword +0 - Square Off;0
116;Lance +0 - Giant Hunt;0
117;Torch +0 - Torch Attack;0
118;Twinblade +0 - Loretta's Slash;0
119;Longsword +0 - Poison Moth Flight;0
120;Longsword +0 - Spinning Weapon;0
121;Longsword +0 -;0
122;Banished Knight's Halberd +0 - Storm Assault;0
123;Banished Knight's Halberd +0 - Stormcaller;0
124;Longsword +0 - Glintblade Phalanx;0
125;Longsword +0 - Sacred Blade;0
126;Short Spear +0 - Ice Spear;0
127;Longsword +0 - Glintstone Pebble;0
128;Longsword +0 - Bloody Slash;0
129;Caestus +0 - Lifesteal Fist;0
130;Great Mace +0 - Eruption;0
131;Great Mace +0 - Prayerful Strike;0
132;Blank +0 - Gravitas;0
133;Longsword +0 - Storm Blade;0
134;Nightrider Glaive +0 - Phantom Slash;0
135;Great Mace +0 - Earthshaker;0
136;Great Mace +0 - Golden Land;0
137;Longsword +0 - Flaming Strike;0
138;Short Spear +0 - Thunderbolt;0
139;Uchigatana +0 - Lightning Slash;0
140;Longsword +0 - Carian Grandeur;0
141;Longsword +0 - Carian Greatsword;0
142;Longsword +0 - Vacuum Slice;0
143;Twinblade +0 - Black Flame Tornado;0
144;Short Spear +0 - Sacred Ring of Light;0
145;Short Spear +0 - Spectral Lance;0
146;Kite Shield +0 - Shield Bash;0
147;Kite Shield +0 - Barricade Shield;0
148;Kite Shield +0 - Parry;0
149;Buckler +0 - Buckler Parry;0
151;Kite Shield +0 - Carian Retaliation;0
152;Kite Shield +0 - Storm Wall;0
153;Kite Shield +0 - Golden Parry;0
154;Kite Shield +0 - Shield Crash;0
155;Lion Greatbow +0 - Through and Through;0
156;Longbow +0 - Barrage;0
157;Longbow +0 - Mighty Shot;0
158;Longbow +0 - Enchanted Shot;0
159;Longbow +0 - Sky Shot;0
160;Lion Greatbow +0 - Rain of Arrows;0
161;Longbow +0 -;0
163;Longsword +0 -;0
164;Longsword +0 - Hoarfrost Stomp;0
165;Longsword +0 - Storm Stomp;0
166;Longsword +0 - Kick;0
167;Longsword +0 - Lightning Ram;0
168;Longsword +0 - Flame of the Redmanes;0
169;Longsword +0 - Ground Slam;0
170;Longsword +0 - Golden Slam;0
171;Great Mace +0 - Waves of Darkness;0
172;Caestus +0 - Hoarah Loux's Earthshaker;0
173;Longsword +0 - Determination;0
174;Longsword +0 - Assassin's Gambit;0
175;Longsword +0 - Golden Vow;0
176;Longsword +0 - Sacred Order;0
177;Longsword +0 - Seppuku;0
178;Greatsword +0 - Cragblade;0
179;Longsword +0 - Shared Order;0
180;Longsword +0 - Barbaric Roar;0
181;Longsword +0 - Beast's Roar;0
182;Longsword +0 -;0
183;Longsword +0 - Braggart's Roar;0
184;Longsword +0 - Troll's Roar;0
185;Mace +0 - Endure;0
186;Kite Shield +0 - Vow of the Indomitable;0
187;Kite Shield +0 - Holy Ground;0
188;Great Club +0 - Endure;0
189;Caestus +0 - Endure;0
190;Longsword +0 - Quickstep;0
191;Longsword +0 - Bloodhound's Step;0
192;Longsword +0 - Raptor of the Mists;0
193;Longsword +0 - Royal Knight's Resolve;0
194;Longsword +0 - White Shadow's Lure;0
197;Twinblade +0 - Spinning Slash;0
198;Short Spear +0 - Spinning Slash;0
199;Short Spear +0 - Loretta's Slash;0
200;Short Spear +0 - Storm Assault;0
201;Short Spear +0 - Stormcaller;0
202;Longsword +0 - Sword Dance;0
203;Bastard Sword +0 - Sword Dance;0
204;Short Spear +0 - Sword Dance;0
205;Torch +0 - Firebreather;0
206;Longsword +0 - Blood Blade;0
207;Dragon Towershield +0 - Shield Bash;0
208;Buckler +0 - Shield Bash;0
209;Dragon Towershield +0 - Barricade Shield;0
210;Buckler +0 - Barricade Shield;0
211;Buckler +0 - Parry;0
212;Dagger +0 - Parry;0
213;Falchion +0 - Parry;0
214;Dragon Towershield +0 - Shield Crash;0
215;Buckler +0 - Shield Crash;0
216;Kite Shield +0 - Thops's Barrier;0
217;Short Spear +0 - Determination;0
218;Short Spear +0 - Black Flame Tornado;0
219;Lance +0 - Black Flame Tornado;0
