Row ID;Row Name;Material ID 1;Material ID 2;Material ID 3;Material ID 4;Material ID 5;Material ID 6;Unk1;Unk2;Unk3;Unk4;Unk5;Material Amount 1;Material Amount 2;Material Amount 3;Material Amount 4;Material Amount 5;Material Amount 6;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9
0;Stock +0;1250;-1;-1;-1;-1;-1;False;False;False;False;False;1;-1;-1;-1;-1;-1;4;15;15;15;15;0
1;Stock +1;10100;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
2;Stock +2;10100;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
3;Stock +3;10100;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
4;Stock +4;10101;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
5;Stock +5;10101;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
6;Stock +6;10101;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
7;Stock +7;10102;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
8;Stock +8;10102;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
9;Stock +9;10102;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
10;Stock +10;10103;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
11;Stock +11;10103;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
12;Stock +12;10103;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
13;Stock +13;10104;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
14;Stock +14;10104;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
15;Stock +15;10104;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
16;Stock +16;10105;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
17;Stock +17;10105;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
18;Stock +18;10105;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
19;Stock +19;10106;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
20;Stock +20;10106;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
21;Stock +21;10106;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
22;Stock +22;10107;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
23;Stock +23;10107;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
24;Stock +24;10107;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
25;Stock +25;10140;-1;-1;-1;-1;-1;False;False;False;False;False;1;-1;-1;-1;-1;-1;4;15;15;15;15;0
100;;1110;-1;-1;-1;-1;-1;False;False;False;False;False;1;-1;-1;-1;-1;-1;4;15;15;15;15;0
101;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
102;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
103;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
104;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
105;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
106;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
107;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
108;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
109;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
110;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
111;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
112;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
113;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
114;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
115;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
116;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
117;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
118;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
119;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
120;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
121;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
122;;10107;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
123;;10107;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
124;;10107;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
125;;10140;-1;-1;-1;-1;-1;False;False;False;False;False;1;-1;-1;-1;-1;-1;4;15;15;15;15;0
200;;1100;-1;-1;-1;-1;-1;False;False;False;False;False;1;-1;-1;-1;-1;-1;4;15;15;15;15;0
201;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
202;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
203;;10100;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
204;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
205;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
206;;10101;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
207;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
208;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
209;;10102;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
210;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
211;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
212;;10103;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
213;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
214;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
215;;10104;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
216;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
217;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
218;;10105;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
219;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
220;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;4;-1;-1;-1;-1;-1;4;15;15;15;15;0
221;;10106;-1;-1;-1;-1;-1;False;False;False;False;False;6;-1;-1;-1;-1;-1;4;15;15;15;15;0
222;;10107;-1;-1;-1;-1;-1;False;False;False;False;False;2;-1;-1;-1;-1;-1;4;15;15;15;15;0
