Row ID;Row Name;Unk1;Bonus Souls - Singleplayer;Bonus Souls - Multiplayer;Humanity Drop Point 1;Humanity Drop Point 2;Humanity Drop Point 3;Humanity Drop Point 4;Humanity Drop Point 5;Humanity Drop Point 6;Humanity Drop Point 7;Humanity Drop Point 8;Humanity Drop Point 9;Humanity Drop Point 10;Sub - Bonus Souls - Singleplayer;Sub - Bonus Souls - Multiplayer;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Coordinate: X;Coordinate: Y;Coordinate: Z;Map Area;Map Block;Map Region;Map Index;Unk10;Unk11
0;;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
1;;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
10000800;[Stormveil Castle] Godrick the Grafted;1;20000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;10000800;0;10000801;-1;-1;0;10000800;-233.64;73.69;349.6;10;0;0;0;0;0
10000850;[Stormveil Castle];0;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;10000850;82100;10000851;1000101;1000100;0;10000850;-16.94;-2.75;-17.6;10;0;0;0;0;0
10010800;[Chapel of Anticipation] Grafted Scion;1;3200;3200;0;0;0;0;0;0;0;0;0;0;0;0;0;10000850;82100;10000851;1000101;1000100;0;10010800;-16.94;-2.75;-17.6;10;1;0;0;0;0
11000800;[Leyndell, Royal Capital] Morgott, the Omen King;1;120000;120000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11000800;67.41;79;-455.18;11;0;0;0;0;0
11000850;[Leyndell, Royal Capital] Godfrey, First Elden Lord;1;80000;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11000850;-131.56;31.01;-386.36;11;0;0;0;0;0
11050800;[Leyndell, Ashen Capital];1;300000;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11050800;41.02;65.12;-421.28;11;5;0;0;0;0
11050850;[Leyndell, Ashen Capital];0;150000;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11050850;-132.34;31.03;-386.62;11;5;0;0;0;0
12010800;[Ainsel River];1;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12010800;-193;-224.5;59.76;12;1;0;0;0;0
12010850;[Ainsel River];1;58000;58000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12010850;-224.54;-317.06;-306.44;12;1;0;0;0;0
12020800;[Siofra River];1;30000;30000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12020800;1213.21;-619.69;1934.45;12;2;0;0;0;0
12020830;[Siofra River] Dragonkin Soldier;1;16000;16000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12020830;1240.1;-748.45;1738.16;12;2;0;0;0;0
12020850;[Siofra River];1;10000;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12020850;995.94;-617.5;1146.54;12;2;0;0;0;0
12030390;[Deeproot Depths];1;25000;25000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12020390;-884.208;96.718;-320.673;12;3;0;0;0;0
12030800;[Deeproot Depths];1;40000;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;30020800;30020800;30020800;30020800;0;12030800;-370.111;149.469;-203.445;12;3;0;0;0;0
12030850;[Deeproot Depths];1;90000;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;30020800;30020800;30020800;30020800;12032859;12030850;-448.771;149.344;-273.109;12;3;0;0;0;0
12040800;[Ainsel River - Boss] Astel, Naturalborn of the Void;1;80000;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;30020800;30020800;30020800;30020800;0;12040800;-100;-106.23;-125;12;4;0;0;0;0
