Row ID;Row Name;Unk0;Logic ID;Battle Goal ID;Unk1;Unk2;Unk3;Unk4;Retreat Time after NPC Wall Collision;Goal ID - To Caution (Sound);Animation ID - Attack Cannot Move;Goal ID - To Find (Sight);Call Help - Action Animation ID;Call Help - Call Action ID;Distance - Sight;Distance - Listen;Listen - Sound Cut Distance;Distance - Sense;Retreat Home - Max Distance;Retreat Home - Distance;Retreat Home - Battle Distance;Non-Battle Act Life;Retreat Home - Look for Target Time;Retreat Home - Look for Target Distance;Target - Sight Forget Time;Target - Listen Forget Time;Battle - Start Distance;Call Help - My Peer ID;Call Help - Call Peer ID;Target System - Damage Effect Rate;Team Attack Effectivity;Sight - Angle X;Sight - Angle Y;State 0;State 1;Call Help - Valid Target Min Distance;Call Help - Valid Target Range;Call Help - Forget Time by Arrival;Call Help - Min Wait Time;Call Help - Max Wait Time;Goal Action - To Caution (Sound);Goal Action - To Find (Sight);Call Help - Reply Behavior Type;Ignore Navmesh;Skip Arrival Visibility Check;Think Attribute - Do Admirer;Navigation - Edge;Navigation - Large Space;Navigation - Ladder;Navigation - Hole;Navigation - Door;Navigation - Ignore Navmesh Wall;Navigation - Ordinary Edge;Navigation - Reserve;Sight Distance (Dark);Battle - Start Distance (Dark);Sight Distance (Pitch Dark);Battle - Start Distance (Pitch Dark);Platoon - Reply Time;Platoon - Reply Add Random Time;Sight - Back Offset Distance;Sight - Begin Distance;Target Arrival Distance;Point Arrival Distance;Change State Action - To Find;Change State Action - To Caution;Change State Action - To Battle;Goal Action - To Disappear;Disable Local Steering;Act Type On Failed Path;Interest Category;Goal Action - To Interest;Unk5;Listen - Angle X;Listen - Angle Y;Change State Action - To Interest;Change State Action - to Normal;Unk6;Unk7;Unk8;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk19;Unk20;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27
0;;0;11000;11000;68419604;-1;5;8;0;8;3000;0.1;-1;-1;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65537;5;-1;66048;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;;0;11000;11000;68419604;-1;5;8;0;8;-1;0.1;0;0;30;0;0;0;9999;9999;6;1;7;12;0;16448;20;0;0;100;0;60;45;0;0;0;0;0;0;0;0;128;0;0;0;0;False;False;False;False;False;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;;0;10000;11000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;-1;131072;65537;5;-1;66048;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
10;;0;10000;20000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;9999;9999;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;True;False;True;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;-1;131072;65537;5;-1;66050;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11;;0;10000;20000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;9999;9999;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;True;False;True;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;-1;131072;65537;5;-1;65536;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20;;0;10000;21000;68419604;-1;5;8;5;8;-1;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;True;False;True;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;-1;131072;65537;5;-1;66050;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
50;;0;10000;10000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;True;False;True;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;-1;131072;65537;5;-1;66050;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
100;;0;1540;14000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;True;False;False;True;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65792;5;-1;514;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
540;;0;1540;14000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;True;False;False;True;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65792;5;-1;514;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
541;;0;1541;14000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;True;False;False;True;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65792;5;-1;514;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
542;;0;1542;14000;68419604;-1;5;8;5;8;3000;0.1;0;0;20;0;0;0;75;50;6;1;7;12;0;16448;20;0;0;100;25;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;True;False;False;True;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65792;5;-1;514;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9998;;0;-1;-1;67108864;-1;5;8;5;600;0;0;-1;-1;0;0;0;0;0;0;0;0;3;10;0;16448;0;0;0;100;25;0;0;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;True;10;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;150;-1;514;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9999;;0;11000;11000;68419604;-1;5;8;0;8;-1;0.1;0;0;30;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;0;60;45;0;0;0;0;0;0;0;1;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;-1;131072;65537;5;-1;66048;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1000000;;0;20000;11000;85196820;-1;5;8;0;8;-1;0;0;0;0;0;0;0;9999;9999;9999;1;7;12;0;16448;15;0;0;100;0;0;0;1;0;0;0;0;0;0;0;128;0;0;0;0;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;-1;0;256;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1000100;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;13;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;60;50;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1000101;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;21;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;60;50;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1000102;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;13;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;30;12;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1001000;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;200;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;180;180;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
