Row ID;Row Name;Rider Chr ID;Mount Chr ID;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15
0;;0;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;0;0
80000;Player <> Torrent;0;8000;3010;0;0;900;-1;180;5;5;5;-180;180;0;0;0
300081001;Castle Exile <> Ballista;3000;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
300081011;Castle Exile <> Giant Ballista;3000;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
300081101;Castle Exile <> Dragon-faced Flamethrower;3000;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
300090090;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;-30;30;0;0;0
300090091;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;150;-150;0;0;0
300090092;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30;0;0;0
300090093;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;30;150;0;0;0
315031600;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;-30;30;0;0;0
315031601;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;150;-150;0;0;0
315031602;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;-150;-30;0;0;0
315031603;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;30;150;0;0;0
317031802;Albinauric Archer <> Dog;3170;3180;-1;2;2;512;-1;60;3;0.5;0.65;-180;0;0;0;0
317031803;Albinauric Archer <> Dog;3170;3180;-1;3;3;513;-1;60;3;0.5;0.65;0;180;0;0;0
320032102;Nomad Trader <> Mule;3200;3210;-1;2;2;512;-1;60;3;0.5;0.65;-180;0;0;0;0
320032103;Nomad Trader <> Mule;3200;3210;-1;3;3;513;-1;60;3;0.5;0.65;0;180;0;0;0
330042800;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;-30;30;0;0;0
330042801;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;150;-150;0;0;0
330042802;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30;0;0;0
330042803;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;30;150;0;0;0
350081001;Skeleton (Curved Sword) <> Ballista;3500;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
350081011;Skeleton (Curved Sword) <> Giant Ballista;3500;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
350081101;Skeleton (Curved Sword) <> Dragon-faced Flamethrower;3500;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
405040601;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
405040602;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
405040603;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435043601;Castle Knight <> Knight's Horse;4350;4360;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435043602;Castle Knight <> Knight's Horse;4350;4360;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435043603;Castle Knight <> Knight's Horse;4350;4360;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435143611;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
