Row ID;Row Name;Command ID;Text ID;Table ID;View Condition;Preview Mode;Menu Type;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5
1;;10;0;0;0;0;0;-1;-1;-1;-1;0;0
2;Name;26;291000;0;0;0;0;-1;-1;-1;-1;0;0
3;Body Type;20;291001;10000;100000;0;0;-1;-1;-1;-1;0;0
4;Age;21;291002;1100;100100;0;0;-1;-1;-1;-1;0;0
5;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
6;Origin;23;291010;10003;100200;3;0;-1;-1;-1;-1;0;0
7;Keepsake;24;291011;10004;100300;3;0;-1;-1;-1;-1;0;0
8;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
9;Choose Base Template;25;291020;10002;240;0;1;260;-1;-1;-1;0;0
10;Detailed Appearance;10;291025;0;0;0;1;-1;-1;-1;-1;0;0
11;Age;21;291002;1100;100100;0;1;-1;-1;-1;-1;0;0
12;Voice;22;291003;10001;100400;0;1;-1;-1;-1;-1;0;0
13;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
14;;2;291023;3000;1101;0;1;-1;-1;-1;-1;0;0
15;;10;291021;0;0;0;1;-1;-1;-1;-1;0;0
16;;10;292000;0;0;0;2;-1;-1;-1;-1;0;0
17;;3;293000;1101;130;0;2;-1;-1;-1;-1;0;0
18;;1;293001;99;296112;0;2;-1;-1;-1;-1;0;0
19;;1;293002;96;296114;0;2;-1;-1;-1;-1;0;0
20;;1;293003;97;296116;0;2;-1;-1;-1;-1;0;0
21;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
22;;10;292001;0;0;0;2;-1;-1;-1;-1;0;0
23;;10;293010;0;0;0;2;-1;-1;-1;-1;0;0
24;;1;294050;0;296166;0;2;-1;-1;-1;293010;0;0
25;;1;294051;1;296168;0;2;-1;-1;-1;293010;0;0
26;;1;294052;3;296170;0;2;-1;-1;-1;293010;0;0
27;;1;294053;4;296172;0;2;-1;-1;-1;293010;0;0
28;;1;294054;5;296174;0;2;-1;-1;-1;293010;0;0
29;;1;294055;6;296176;0;2;-1;-1;-1;293010;0;0
30;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
31;;10;293011;0;0;0;2;-1;-1;-1;-1;0;0
32;;1;294060;15;296178;0;2;-1;-1;-1;293011;0;0
33;;1;294061;16;296180;0;2;-1;-1;-1;293011;0;0
34;;1;294062;17;296182;0;2;-1;-1;-1;293011;0;0
35;;1;294063;18;296184;0;2;-1;-1;-1;293011;0;0
36;;1;294064;19;296186;0;2;-1;-1;-1;293011;0;0
37;;1;294065;20;296188;0;2;-1;-1;-1;293011;0;0
38;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
39;;10;293012;0;0;0;2;-1;-1;-1;-1;0;0
40;;1;294070;21;296190;0;2;-1;-1;-1;293012;0;0
41;;1;294071;22;296192;0;2;-1;-1;-1;293012;0;0
42;;1;294072;23;296194;0;2;-1;-1;-1;293012;0;0
43;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
44;;10;293013;0;0;0;2;-1;-1;-1;-1;0;0
45;;1;294080;31;296196;0;2;-1;-1;-1;293013;0;0
46;;1;294081;32;296198;0;2;-1;-1;-1;293013;0;0
47;;1;294082;33;296200;0;2;-1;-1;-1;293013;0;0
48;;1;294083;34;296202;0;2;-1;-1;-1;293013;0;0
49;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
50;;10;293014;0;0;0;2;-1;-1;-1;-1;0;0
51;;1;294090;44;296204;0;2;-1;-1;-1;293014;0;0
52;;1;294091;45;296206;0;2;-1;-1;-1;293014;0;0
53;;1;294092;46;296208;0;2;-1;-1;-1;293014;0;0
54;;1;294093;47;296210;0;2;-1;-1;-1;293014;0;0
55;;1;294094;48;296212;0;2;-1;-1;-1;293014;0;0
56;;1;294095;49;296214;0;2;-1;-1;-1;293014;0;0
57;;1;294096;50;296216;0;2;-1;-1;-1;293014;0;0
58;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
59;;10;293015;0;0;0;2;-1;-1;-1;-1;0;0
60;;1;294100;51;296218;0;2;-1;-1;-1;293015;0;0
61;;1;294101;52;296220;0;2;-1;-1;-1;293015;0;0
62;;1;294102;53;296222;0;2;-1;-1;-1;293015;0;0
63;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
64;;10;293016;0;0;0;2;-1;-1;-1;-1;0;0
65;;1;294110;55;296226;0;2;-1;-1;-1;293016;0;0
66;;1;294111;56;296228;0;2;-1;-1;-1;293016;0;0
67;;1;294112;57;296230;0;2;-1;-1;-1;293016;0;0
68;;1;294113;58;296232;0;2;-1;-1;-1;293016;0;0
69;;1;294114;59;296234;0;2;-1;-1;-1;293016;0;0
70;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
71;;10;293017;0;0;0;2;-1;-1;-1;-1;0;0
72;;1;294120;61;296236;0;2;-1;-1;-1;293017;0;0
73;;1;294121;64;296238;0;2;-1;-1;-1;293017;0;0
74;;1;294122;63;296240;0;2;-1;-1;-1;293017;0;0
75;;1;294123;62;296242;0;2;-1;-1;-1;293017;0;0
76;;1;294124;65;296244;0;2;-1;-1;-1;293017;0;0
77;;1;294125;66;296246;0;2;-1;-1;-1;293017;0;0
78;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
79;;10;293018;0;0;0;2;-1;-1;-1;-1;0;0
80;;1;294130;67;296248;0;2;-1;-1;-1;293018;0;0
81;;1;294131;68;296250;0;2;-1;-1;-1;293018;0;0
82;;1;294132;69;296252;0;2;-1;-1;-1;293018;0;0
83;;1;294133;70;296254;0;2;-1;-1;-1;293018;0;0
84;;1;294134;71;296256;0;2;-1;-1;-1;293018;0;0
85;;1;294135;72;296258;0;2;-1;-1;-1;293018;0;0
86;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
87;;10;293019;0;0;0;2;-1;-1;-1;-1;0;0
88;;1;294140;76;296260;0;2;-1;-1;-1;293019;0;0
89;;1;294141;77;296262;0;2;-1;-1;-1;293019;0;0
90;;1;294142;78;296264;0;2;-1;-1;-1;293019;0;0
91;;1;294143;79;296266;0;2;-1;-1;-1;293019;0;0
92;;1;294144;80;296268;0;2;-1;-1;-1;293019;0;0
93;;1;294145;81;296270;0;2;-1;-1;-1;293019;0;0
94;;1;294146;82;296272;0;2;-1;-1;-1;293019;0;0
95;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
96;;10;293020;0;0;0;2;-1;-1;-1;-1;0;0
97;;1;294150;83;296274;0;2;-1;-1;-1;293020;0;0
98;;1;294151;84;296276;0;2;-1;-1;-1;293020;0;0
99;;1;294152;85;296278;0;2;-1;-1;-1;293020;0;0
100;;1;294153;86;296280;0;2;-1;-1;-1;293020;0;0
101;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
102;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
103;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
104;;10;292010;0;0;0;2;-1;-1;-1;-1;0;0
105;;3;293100;1001;700;0;2;-1;-1;-1;-1;0;0
106;;2;293101;3068;1201;0;2;-1;-1;-1;-1;0;0
107;;1;293102;3071;296118;0;2;-1;-1;-1;-1;0;0
108;;1;293103;3072;296120;0;2;-1;-1;-1;-1;0;0
109;;1;293104;3073;296122;0;2;-1;-1;-1;-1;0;0
110;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
111;;10;292011;0;0;0;2;-1;-1;-1;-1;0;0
112;;3;293110;1003;500;0;2;-1;-1;-1;-1;0;0
113;;2;293111;3080;1201;0;2;-1;3068;299020;-1;0;0
114;;1;293112;3083;296124;0;2;-1;3071;299020;-1;0;0
115;;1;293113;3084;296126;0;2;-1;3072;299020;-1;0;0
116;;1;293114;3085;296128;0;2;-1;3073;299020;-1;0;0
117;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
118;;10;292012;0;0;0;2;-1;-1;-1;-1;0;0
119;;3;293120;1004;600;0;2;620;-1;-1;-1;0;0
120;;2;293121;3074;1201;0;2;-1;3068;299020;-1;0;0
121;;1;293122;3077;296130;0;2;-1;3071;299020;-1;0;0
122;;1;293123;3078;296132;0;2;-1;3072;299020;-1;0;0
123;;1;293124;3079;296134;0;2;-1;3073;299020;-1;0;0
124;;1;293125;3005;296136;0;2;-1;-1;-1;-1;0;0
125;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
126;;10;292013;0;0;0;2;-1;-1;-1;-1;0;0
127;;3;293130;1007;1100;0;2;-1;-1;-1;-1;0;0
128;;2;293131;3086;1201;0;2;-1;3068;299020;-1;0;0
129;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
130;;10;292020;0;0;0;2;-1;-1;-1;-1;0;0
131;;1;293140;3047;296138;0;2;-1;-1;-1;-1;0;0
132;;2;293141;3044;1301;0;2;-1;-1;-1;-1;0;0
133;;1;293142;3048;296140;0;2;-1;-1;-1;-1;0;0
134;;2;293143;3049;1301;0;2;-1;-1;-1;-1;0;0
135;;2;293144;3052;1301;0;2;-1;-1;-1;-1;0;0
136;;1;293145;3055;296142;0;2;-1;-1;-1;-1;0;0
137;;1;293150;3059;296144;0;2;-1;3047;299010;-1;0;0
138;;2;293151;3056;1301;0;2;-1;3044;299010;-1;0;0
139;;1;293152;3060;296146;0;2;-1;3048;299010;-1;0;0
140;;2;293153;3061;1301;0;2;-1;3049;299010;-1;0;0
141;;2;293154;3064;1301;0;2;-1;3052;299010;-1;0;0
142;;1;293155;3067;296148;0;2;-1;3055;299010;-1;0;0
143;;4;293156;20000;1300;4;2;-1;-1;-1;-1;9420;0
144;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
