Row ID;Row Name;Unk1;SpEffect ID 1;Weight;Sell Value;Sort ID;Icon ID;Reference Type;SpEffect Category;Unk2;Is Depositable;Is Break upon Unequip;Is Dropping Disabled in Multiplayer;Is Discardable;Is Droppable;Unk3;Unk4;Unk5;Rarity;Ring Compatibility ID;Achievement ID;SpEffect ID 2;SpEffect ID 2;SpEffect ID 3;SpEffect ID 4
1000;Crimson Amber Medallion;0;310000;0.3;100;400000;18000;2;0;10;True;False;False;True;True;True;False;True;2;1000;-1;0;0;0;0
1001;Crimson Amber Medallion +1;1;310010;0.3;500;400010;18001;2;0;10;True;False;False;True;True;True;False;True;2;1000;-1;0;0;0;0
1002;Crimson Amber Medallion +2;1;310020;0.3;1000;400020;18002;2;0;10;True;False;False;True;True;True;False;True;2;1000;-1;0;0;0;0
1010;Cerulean Amber Medallion;1;310100;0.3;100;400050;18010;2;0;10;True;False;False;True;True;True;False;True;2;1010;-1;0;0;0;0
1011;Cerulean Amber Medallion +1;1;310110;0.3;500;400060;18011;2;0;10;True;False;False;True;True;True;False;True;2;1010;-1;0;0;0;0
1012;Cerulean Amber Medallion +2;1;310120;0.3;1000;400070;18012;2;0;10;True;False;False;True;True;True;False;True;2;1010;-1;0;0;0;0
1020;Viridian Amber Medallion;0;310200;0.3;100;400090;18020;2;0;10;True;False;False;True;True;True;False;True;2;1020;-1;0;0;0;0
1021;Viridian Amber Medallion +1;1;310210;0.3;500;400100;18021;2;0;10;True;False;False;True;True;True;False;True;2;1020;-1;0;0;0;0
1022;Viridian Amber Medallion +2;1;310220;0.3;1000;400110;18022;2;0;10;True;False;False;True;True;True;False;True;2;1020;-1;0;0;0;0
1030;Arsenal Charm;0;310300;1.5;100;400130;18030;2;0;10;True;False;False;True;True;True;False;True;2;1030;-1;0;0;0;0
1031;Arsenal Charm +1;1;310310;1.5;500;400140;18031;2;0;10;True;False;False;True;True;True;False;True;2;1030;-1;0;0;0;0
1032;Great-Jar's Arsenal;1;310320;1.5;1000;400150;18032;2;0;10;True;False;False;True;True;True;False;True;2;1030;-1;0;0;0;0
1040;Erdtree's Favor;1;310400;1.5;500;400160;18040;2;0;10;True;False;False;True;True;True;False;True;2;1040;-1;0;0;0;0
1041;Erdtree's Favor +1;1;310410;1.5;1500;400170;18041;2;0;10;True;False;False;True;True;True;False;True;2;1040;-1;0;0;0;0
1042;Erdtree's Favor +2;1;310420;1.5;3000;400180;18042;2;0;10;True;False;False;True;True;True;False;True;3;1040;17;0;0;0;0
1050;Radagon's Scarseal;1;310500;0.8;3000;400190;18050;2;0;10;True;False;False;True;True;True;False;True;2;1050;-1;0;0;0;0
1051;Radagon's Soreseal;1;310510;0.8;3000;400200;18051;2;0;10;True;False;False;True;True;True;False;True;3;1050;17;0;0;0;0
1060;Starscourge Heirloom;1;310600;0.8;1000;400230;18070;2;0;10;True;False;False;True;True;True;False;True;2;1060;-1;0;0;0;0
1070;Prosthesis-Wearer Heirloom;1;310700;0.8;1000;400240;18080;2;0;10;True;False;False;True;True;True;False;True;2;1070;-1;0;0;0;0
1080;Stargazer Heirloom;1;310800;0.6;1000;400250;18090;2;0;10;True;False;False;True;True;True;False;True;2;1080;-1;0;0;0;0
1090;Two Fingers Heirloom;1;310900;0.6;1000;400260;18100;2;0;10;True;False;False;True;True;True;False;True;2;1090;-1;0;0;0;0
