Row ID;Row Name;Attacker - Character ID;Defender - Character ID;Distance;Angle Difference - Min;Angle Difference - Max;Upper Y Range;Lower Y Range;Angle Difference - To Defender;Throw Type ID;Attacker - Animation ID;Defender - Animation ID;Self Escape - HP;Self Escape - Cycle Time;Sphere Cast - Radius Rate Top;Sphere Cast - Radius Rate Low;Pad Type;Attack Enable State;Attacker - Absorb Dummy ID;Defender - Absorb Dummy ID;Throw Type;Self Escape - Cycle Int;Dummy Has Character Direction Type;Is Turn Attacker;Is Skip Weapon Cast;Is Skip Sphere Cast;Unk;Unk;Unk;Unk;Unk;Attacker - Absorb Dummy ID - Sub;Defender - Absorb Dummy ID - Sub;Distance 2;Angle Difference - Min 2;Angle Difference - Max 2;Upper Y Range 2;Lower Y Range 2;Angle Difference - To Defender 2;Perform - Dummy ID 0;Perform - Dummy ID 1;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8
0;;0;0;0;0;0;0.2;0.2;60;0;0;0;0;0;80;80;1;0;0;0;0;0;0;False;False;False;True;False;False;False;False;0;0;0;0;0;0;0;0;-1;-1;0;0.5;0;0;0;0;0;0
10;;0;0;1.5;-180;180;0.5;0.65;60;10;45080;70630;0;0;70;70;1;0;0;0;0;0;0;False;True;False;True;False;False;False;False;231;0;0;0;0;0;0;0;-1;-1;0;0.5;0;0;0;0;0;0
11;;0;0;1.5;-180;180;0.5;0.65;60;11;45180;70630;0;0;70;70;1;0;0;0;0;0;0;False;True;False;True;False;False;False;False;231;0;0;0;0;0;0;0;-1;-1;0;0.5;0;0;0;0;0;0
20;;0;0;1.5;-180;180;0.5;0.65;60;20;40090;70010;0;0;70;70;1;0;0;0;0;0;0;False;True;False;True;False;False;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10000000;;0;0;1.5;-60;60;0.5;0.65;60;0;31710;70000;0;0;70;70;1;0;1;0;1;0;0;False;False;False;True;False;True;False;False;230;0;1.5;-35;35;0.4;0.55;70;-1;-1;0;0.5;0;0;0;0;0;0
10201020;;0;2010;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10210020;;0;2100;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10250020;;0;2500;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10300020;;0;3000;1.7;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10301020;;0;3010;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10302020;;0;3020;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10306020;;0;3060;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
10306120;;0;3061;1.8;-180;180;0.65;0.65;60;20;40090;11010;0;0;80;80;1;0;0;0;0;0;0;True;True;False;True;False;True;False;False;249;0;1.5;0;0;0.4;0.55;0;-1;-1;0;0.5;0;0;0;0;0;0
