Row ID;Row Name;host;invadeOrb_None;invadeOrb_Umbasa;invadeOrb_Berserker;invadeOrb_Sinners;invadeSign_None;invadeSign_Umbasa;invadeSign_Berserker;invadeSign_Sinners;invadeRing_Sinners;invadeRing_Rosalia;invadeRing_Forest;coopSign_None;coopSign_Umbasa;coopSign_Berserker;coopSign_Sinners;coopRing_RedHunter;invadeRing_Anor;paramReplaceRate;paramReplaceId
0;;0;2;2;2;2;0;0;0;0;2;1;1;0;0;0;0;0;1;0;-1;
1;;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;-1;
2;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;-1;
900;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
1001;;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;-1;
1002;;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;-1;
1003;;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;0;0;-1;
1004;;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;0;0;-1;
1005;;5;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;2;0;0;-1;
1006;;6;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;2;0;0;-1;
1007;;7;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;2;0;0;-1;
1008;;8;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;2;0;0;-1;
1009;;9;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;3;0;0;-1;
1010;;10;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;3;0;0;-1;
1011;;11;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;3;0;0;-1;
1012;;12;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;3;0;0;-1;
1013;;13;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;4;0;0;-1;
1014;;14;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;4;0;0;-1;
1015;;15;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;4;0;0;-1;
2001;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2002;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2003;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2004;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2005;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2006;;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2007;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2008;;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2009;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2010;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2011;;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2012;;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2013;;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2014;;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
2015;;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
5000;;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;-1;
10000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10050;;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;
10100;;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;150;10200;
10200;;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;150;10300;
10300;;3;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;0;150;10400;
10400;;4;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;0;150;10500;
10500;;5;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;0;150;10600;
10600;;6;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;0;0;-1;
100000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;
