Row ID;Row Name;a000_rightArmIO;a000_rightArmFB;a000_leftArmIO;a000_leftArmFB;a002_rightArmIO;a002_rightArmFB;a002_leftArmIO;a002_leftArmFB;a003_rightArmIO;a003_rightArmFB;a003_leftArmIO;a003_leftArmFB;a010_rightArmIO;a010_rightArmFB;a010_leftArmIO;a010_leftArmFB;a012_rightArmIO;a012_rightArmFB;a012_leftArmIO;a012_leftArmFB;a013_rightArmIO;a013_rightArmFB;a013_leftArmIO;a013_leftArmFB;a014_rightArmIO;a014_rightArmFB;a014_leftArmIO;a014_leftArmFB;a015_rightArmIO;a015_rightArmFB;a015_leftArmIO;a015_leftArmFB;a016_rightArmIO;a016_rightArmFB;a016_leftArmIO;a016_leftArmFB
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;;10;0;10;0;15;0;15;0;10;0;10;0;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;
2;;15;0;15;0;15;0;15;0;15;0;15;0;0;20;0;20;0;10;0;10;0;17;0;17;0;17;0;17;0;17;0;17;0;25;0;25;
3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;;10;0;10;0;5;0;5;0;10;0;10;0;10;0;10;0;5;0;5;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;
102;;15;0;15;0;10;0;10;0;15;0;15;0;15;0;15;0;10;0;10;0;15;0;15;0;15;0;15;0;15;0;15;0;15;0;15;0;
103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
201;;10;0;10;0;15;0;15;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
202;;15;0;15;0;15;0;15;0;15;0;15;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
