Row ID;Row Name;resId;textId;seId;canMixMapName
0;;0;-1;-1;0;
1;DEMIGOD FELLED;1;331301;888880000;0;
2;LEGEND FELLED;2;331302;888880000;0;
3;GREAT ENEMY FELLED;3;331303;888880000;0;
4;ENEMY FELLED;4;331304;888880000;0;
5;YOU DIED;5;331305;999999999;0;
7;HOST VANQUISHED;7;331307;444444441;0;
8;BLOODY FINGER VANQUISHED;8;331308;444444440;0;
9;DUTY FULFILLED;9;331309;444444446;0;
11;LOST GRACE DISCOVERED;11;331311;444444444;1;
17;MAP FOUND;17;331317;888888887;0;
21;GREAT RUNE RESTORED;21;331321;888888891;0;
22;GOD SLAIN;22;331322;888880001;0;
23;DUELIST VANQUISHED;8;331323;444444440;0;
24;RECUSANT VANQUISHED;8;331324;444444440;0;
25;INVADER VANQUISHED;8;331325;444444440;0;
30;FURLED FINGER RANK ADVANCED;30;331330;888888892;0;
31;FURLED FINGER RANK ADVANCED;30;331331;888888892;0;
32;DUELIST RANK ADVANCED;30;331332;888888892;0;
33;DUELIST RANK ADVANCED;30;331333;888888892;0;
34;BLOODY FINGER RANK ADVANCED;30;331334;888888892;0;
35;BLOODY FINGER RANK ADVANCED;30;331335;888888892;0;
36;RECUSANT RANK ADVANCED;30;331336;888888892;0;
37;RECUSANT RANK ADVANCED;30;331337;888888892;0;
38;HUNTER RANK ADVANCED;30;331338;888888892;0;
39;HUNTER RANK ADVANCED;30;331339;888888892;0;
50;YOU DIED;50;331305;999999999;0;
