Row ID;Row Name;disableParam_NT;ContactLandSeId;ContactLandAddSeId;ContactLandPlayNum;IsEnablePlayCountPerRigid;ContactLandMinImpuse;ContactLandMinSpeed;ContactPlayerSeId;ContactPlayerMinImpuse;ContactPlayerMinSpeed;ContactCheckRigidIdx0;ContactCheckRigidIdx1;ContactCheckRigidIdx2;ContactCheckRigidIdx3;ContactCheckRigidIdx4;ContactCheckRigidIdx5;ContactCheckRigidIdx6;ContactCheckRigidIdx7;ContactCheckRigidIdx8;ContactCheckRigidIdx9;ContactCheckRigidIdx10;ContactCheckRigidIdx11;ContactCheckRigidIdx12;ContactCheckRigidIdx13;ContactCheckRigidIdx14;ContactCheckRigidIdx15
3350;;1;-1;-1;1;0;20;0;888804431;10;0;1;2;4;5;6;12;13;14;15;16;17;-1;-1;-1;-1;-1;
3450;;1;999994100;99903000;1;0;0;0;-1;20;0;0;1;3;3;4;7;13;14;20;21;24;29;45;47;25;26;
4200;;0;420004001;99903000;1;0;10;1;-1;20;0;0;11;23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
4201;;1;420104001;99903000;1;0;10;1;-1;20;0;0;7;11;20;23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
4210;;1;421103000;99903000;1;0;10;1;-1;20;0;0;1;2;11;18;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
4430;;1;888804430;-1;2;1;90;0;888804431;5;0;1;2;3;4;5;6;7;8;9;10;11;-1;-1;-1;-1;-1;
4490;;1;-1;-1;3;1;10;0;-1;5;0;5;6;7;8;9;10;11;12;13;14;15;20;-1;-1;-1;-1;
4491;;1;-1;-1;2;1;20;0;-1;10;0;7;8;9;10;11;12;13;14;15;20;-1;-1;-1;-1;-1;-1;
6000;;0;999994006;99903000;1;0;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6040;;0;999994006;99903000;1;0;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6070;;0;999994006;99903000;1;0;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6072;;0;607104000;99903000;1;0;10;1;-1;20;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
